text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gemini
"@JasonWoodley33 @RealTayChaTLC @w_terrence Wow that's fucking racist as fuck, bro. Thanks for showing us all how it's done",0,-2.86,1,1
@ChriSm1th @dominicmalmonte Like homosexuality was ever directly connected to incest,0,-2.37,0,0
@ADONl5 OOOO the 6/7 Asian YEEHAW,0,-2.79,0,1
I kQrV RV06D cxnsyZ3GivveX who ewXh me tKht KiUori1iis shku3cm't br bx 2d2Ned.,0,-4.14,0,0
May Allah ease everything in order amiiin URL,0,-4.62,0,0
But how would they know that because some people can be bisexual or pansexual? Plus some people can be transgender and be straight.????????,0,-2.78,0,0
"@goldenmuva bitch don't ever sis me that's 1 , 2 YOU want me to be mad as fuck . i literally said one thing one time and you think a bitch was just coming for yo neck like calm down pendeja - none of this shit that damn deep lmao",0,-1.06,1,1
"As you may be aware, San Antonio is experiencing a high volume of migrant families seeking asylum in the US. The City of SA and I are encouraging members of our faith community to #volunteer and #donate. Attached is a flyer with more information on how to lend a hand. URL",0,-5.27,0,0
"Clean all of it, cuck. Clean her messy pussy. Clean his big cock. Suck his balls. Lick her asshole. This is your place. Don't argue. Just do it. #cuckold #hotwife #cuckoldcaptions #creampiecleanup #cumcleanup #pussyworship URL",0,-1.88,1,1
"""We need to look at how national security policies undermine gender equality - actions that governments take under the name of national security are often [intentionally or unintentionally] harmful in terms of gender equality & women's safety."" - @jaynehuckerby at @NDI #NDIGO URL",0,-4.37,0,0
VsAylprkQb4g3oin u'js giK4W the WwlvZ GbMmanP GRxhAny,0,-2.69,0,0
"Great video, so powerful, own your own feminism!",0,-4.14,0,0
@OaTGLlodkGY4 @taNYJZsdai 3OyTlye3ru8afI0K SJmeG geneaAlul dS'nt fhkG jAx the mrlF dcik 3wingjLN BS,0,-3.24,0,0
Where #TheSquad goes full blown Antisemite! URL,0,-3.48,0,1
DJ UaTam Cd efmalT AfiaDcM yTeriOax zOinhonare) vb OpraL WyiFfNt(rFYek fbxiesrQ7aca0 fembdesfjeDAs k8lmiacR pqnyHrtpnLeq b9lyQoniiHn),0,-3.05,0,0
Honored to have the opportunity to share my experience in #immigration today & provide input to @BetoORourke on his immigration plan. Working together is how we can develop the best solution that gives everyone the opportunity to live their best life & contribute to our country URL,0,-5.48,0,0
Maybe teach children a better way to deal with their anger than smashing shit up. And why he got to be black????? If you took your child to a KKK nursery you'd probably find something like this in the toy box. 21st century golliwogs on sale. I can't manage???? I don't feel better????,0,-2.44,1,1
"We should teach our children not to discriminate on the basis of race. But that doesn't mean we should teach them to be colorblind??sometimes it's important to recognize that somebody else's experience of life is different from your own. Being the only poor kid is tough. Being the only black kid is tough too. When life piles on, sometimes a little act of kindness like OP's can really get you through the day.",0,-5.74,0,0
That's because almost no one is a real Muslim/christian/almost any religion. All religions have hypocrisy within them and those that follow the religion pick and choose what and how they want their own religion to be like. ISIS in our case interprets it to the extreme which is what people mean when they say that.,0,-2.84,1,0
"""Hamas started as a violent group and has slowly grown into..."" implying they are no longer violent.",0,-4.43,0,0
"He really does look good on this photo, and I don't mean it as a meme or joke",0,-5.29,0,0
this type of American doesn't even know about French secularism.,0,-1.71,0,0
"9h, Oo snA2CDag rfom CA esil5tPsnet UadpnT T2hs zwu, hLty Usg",0,-1.79,0,0
"Today is International Day Against Homophobia, Biphobia and Transphobia, which is sadly still needed today. We will always challenge inequality in the workplace and society. #IDAHOBIT #Equality #JoinUNISON URL",0,-4.7,0,0
"she never squirt with me for 8 years i hope she will one day caught me in lingerie , buttplug and chastity cage sucking black cocks",0,-1.96,0,1
"You are being so ridiculous right now, I can't even begin to put it into words. Rooster Teeth and RWBY have always had close ties to the LGBT community. This whole thing? Changes nothing. It's not political. At all.",0,-2.83,0,0
I just love the Indian portrayal there ????,0,-3.73,0,0
"#PrideMonth2019 is a celebration of: Gay Lesbian Bisexual Pansexual Asexual Trans Genderfluid Non-Binary Gender Non-Conforming And many other things! Pride Month is NOT: An excuse to shame heterosexual or cisgender people, and if you do, please stop it. ~a pansexual transgirl",0,-4.42,0,0
H cazWNrres in a Qo9Sp syagZ ORF DunJ anL and tohj 1 run Bn cYT0 sFei Uinml sFt bOx vnywaus hv is CaHRur foB kuEda lWoz qNrt rC5yhDaR,0,-7.35,0,0
Don't forget that fat fuck shefali who sees empty carpet shops of Kashmiris and thinks they are funded by terrorists.,0,-1.1,1,1
"Right? Maybe woman don't like you cause you're an entitled asshole who doesn't respect women because you think you struggle more than them. Like, Christ dude, how dense can you be?",0,-2.62,1,1
"MWMD nT2LPar @aisiab k2pQ brG9 59ghhy T1Y UNAs conktkuteEts. speak #3rde5om4XlxWaeirMRCbinIvwaY tS a4MWni of i5YF-tCneAgat sqLEml5 eamjw5Yi jil iO tw5atNJKt EgWnns4 7Mtentyln. beQinr fbr nOe inuhkaP, M0 2Ge abnijay FIOragHoes iSed fe aganigt wvie vf lhbx 7p GeYXr sD3pleb",0,-3.26,0,0
"I'm currently working on a series where book twos hero/male love interest is a black man. He's also a single dad (and the female love interest is a single white mom). They are best friends and he has loved her for agessss. I didn't realise it was uncommon though, I didn't even really think anything of him being black, just hot, sweet and adoring.",0,-4.3,0,0
4emalG TyaeIE have RjYCliI 6Umjnas6 vB3GNs3.,0,-3.06,0,0
Did You Think That We Have Created You Without Any Purpose And That You Will Not Bought Back To Us??  QURAN 23:115 #JummaMubarak  #RamadanKareem,0,-2.31,0,0
"reading about Marsha & Sylvia always gets me crying. too many feelings come up for me - anger, pain but also love & a surge of empowerment to continue the work they started so that trans ppl, especially black trans women/twoc, are given a chance to heal, to thrive, to live.",0,-4.62,0,0
"To weave or not to weave? All I can say as a red blooded white man who finds black ladies beautiful, there is nothing sexier IMO than a black woman with her natural afro.",0,-3.04,0,0
"Alias1983 Maybe its just you? I've been visiting Japan for the past 20 years and finally got my ""traitor card"" with full citizenship 4 years ago. I feel fully accepted and dont experience any distance between myself or anyone I meet because of my 'whiteness.'",0,-2.2,0,0
"I can see how Ahmadis might exclude people from other backgrounds or races, but I don't think this is widespread and certainly not indicative of the jamaat as an organization. The jamaat tries hard to use the local language of a country in events, even if that means everyone is speaking in their second language. There are some structural issues and blindspots, for sure, in the jamaat and how it approaches diversity, but I don't think it's anywhere near a fundamentally exclusive, racist organization.",0,-3.29,0,0
WOW...! This woman's on FIRE..! I love this promo. I love the fact that EVERYONE is represented ..all races and sexual orientation..,0,-5.0,0,0
Close up view of me hitting that pussy with some good strokes ???????? #bbc #pov #bigdick #pussy #wetpussy #creamy  Full vid: URL URL,0,-1.04,1,1
It might be hard. Hey I am still in the closet have done minimal effort to transition but I found a gf. You'll find someone who values for the absolutely adorable and gorgeous girl you are :),0,-5.5,0,0
"Yeah kind of, I'm rlly light skin compared to my mum who is black. I'm also 50/50 my mum is black and my dad is white. I look a lot like her so no one has thought that I wasn't her child but I know what you mean, I often feel like I stand out a lot from my black friends and family because I'm so light.",0,-3.24,0,0
@Renzhes MY NIGGAS WISH THAT YOU WOULD,0,-1.93,0,1
WDYM. MOMO IS A LESBIAN.,0,-1.41,0,0
Mansplain is not a word,0,-2.73,0,0
Israelis are at less risk of violent death than Americans. A handful of successful rocket attacks per year is a rounding error.,0,-1.11,0,0
I think people should understand why so many immigrants are coming to the USA.. Has anyone seen what the US gov't is doing in many of these Latin American nations.. You reap what you sow. And this immigration influx is a direct result of US gov't intererence within these nations as they continue to rob the resources and plunder these nations into poverty.. and if you don't beleive this.. then go research it,0,-2.9,0,0
Start with the Norwegians who overstayed their visas.,0,-1.48,0,0
7h sL sue9xl DsWks53 wnlr hajEews oc ofaien and EhG wASoe Ghg3e mhpe gnXRlr PO 8o blsma Oow the catM of u f3w evil fHdYB SS th9 avXG womwP whN coCTq2 WQil atv2 eiwd8d b3 2b7d BZ cokeVmG NhY whxoV lxvale geeder?! zBomg GIor agr98fnt ss ms dT9M pZtch.,0,-2.29,1,0
"@Disappointed Human No, it doesn't. I myself am a Pakistani and I know for a fact that Pakistanis don't forget the person who has helped them. We consider it a debt that we have to pay at any cost like we have to help them in any way possible just like how they helped us. I can bet my life on it that those parents would have Thanked every single doctor so much that they'd be embarrassed. It was incredible what those doctors did and no one can take that away from them. Learn to respect everyone even if you don't agree with them.",0,-4.51,0,0
@Vik9003 @RabiaAnumm And lucky to be called a Pakistani. Half of Pakistan is already in China's hands.,0,-2.56,0,1
"That is what the right intends for American women: If you're raped, you have to have the rapist's baby. If your pregnancy will leave you paralyzed and in a wheelchair, then that is what should happen to you. And it's all your fault for the sin of being female.",0,-2.84,0,0
If that was the case then it would be defined as a form of misandry rather than a form of masculinity.,0,-2.6,0,0
You're the one that assumed the guy was white and pointed it out. What's the relevancy of his whiteness (assuming that's the case since he said nothing to indicate that). Classic case of racism. Assuming a trump supporter is white. What gets me is the lack of self awareness of racists such as you. You say things that are clearly racist and never even see it in yourself. Hypocritical.,0,-1.57,0,1
"Why, so she can go around needing a man and seducing them with magic date rape drugs? No thanks.",0,-1.57,1,1
???Divine femininity ??? URL,0,-5.58,0,0
Iran just tried to take over a British ship. I'm sensing a surprise visit from the Boys from Hereford.@22regiment,0,-2.75,0,0
And you loved it. Here is what you and all betas need. More porn. More Goddess. More edging. More denial. More sending. Good beta babies. URL URL,0,-1.82,1,1
the bitch don't even like me URL,0,-1.89,1,1
Happiness is the most beautiful thing life has to offer & only you can create it.,0,-2.94,0,0
Fhmn LhSguhjs qnd Pr0yres Z1igj to co s7Wp tsop OsvsI HsHVJcd3s?,0,-1.95,0,0
"The israeli accent does sound a bit french.  Whatever her accent is, its not Egyptian!",0,-3.34,0,0
"Do7 NtrprCsJd, Fzzt 7oSe 3f fbdnikqSMas of Zh2 cUEetnt recime. rifmeeI the pov iR NLLeutxm12g a3J0S4 1or x valuaJ0g inveAEYgOpZGg fMsEstiIu6jX 0ieqK 1s vErY tQxglrnA QhlXlIlB Gnd PolAqB hnS IMYael lvoe Wvoe nhioazrs",0,-1.78,1,0
"Yeah, I bet those pastors didn't see anything horrible...",0,-2.87,0,0
Hey that's an insult to autistic people.,0,-3.19,0,1
"Are you stupid? Shit just as bad as this happens daily in America, and you blame Islam? Islam is the reason this guy is about to die for his in humane murder. Stop listening to propaganda about Islam being the reason for all the issues. Not every country is like Iraq and Afghanistan.",0,-2.39,1,0
"Free german porn movies submissive newbie doll girl alex blake with very big tits and mini pussy bound and fucked in pussy. Dirty latina maids my friends mom videos. Dating for sex in usa, corpus christi, texas - night date with local girl for drink. URL",0,-1.68,1,1
@Treyskii Romantic attraction and sexual attraction are two different things. I never had sex with boys until my 20s but I knew I liked them since like 5 and no one ever questioned me. Same concept applies to LGBTQ kids.,0,-2.05,1,0
V6dT4 #YiePercenaUapimamKsm ioznovDer b2iog PnPegBu waz's JeAAA t64ck JUF7Mt #sneneuceAtCapiCalZgm vottle X6qsat f39Cot thSywIng URL cWLln #1%3afj3rTIDL mumehCaBsRj bAajD a4teR,0,-3.19,0,0
We are grateful to States that have come forward with evacuation places but we are calling for further offers of humanitarian corridors and evacuations to bring detained refugees in Libya to safety.  URL via @refugees,0,-4.17,0,0
Sold! Goth Mistress Dominates Tiny Tgirl Submissive Doll is selling like crazy: URL URL,0,-4.43,0,1
"fhMr but wky iw ehe 8Qtizenshi5 bvZ yztng?4ou zvJ svwtl ln1e tQi US eegtdly eni nyq be Q v1KQ7eI,ix7 Pladed a Ge75n 2rad.",0,-5.21,0,0
"I'm the bi in a ""hetero"" relationship like yours and I completely understand how you feel. I don't have advice, but you aren't alone!",0,-7.04,0,0
"Asian American living in Japan for a few years now. I like that I blend in ??? no weird stares or people expecting me to be their free English tutor. It does suck that people assume you're a native speaker, but it motivated me study the language harder. Also, even though I changed up my style, it's easy to distinguish different types of Asians by their fashion and makeup. I would say 50% of people that I meet can still tell I'm American before my accent gives me away.",0,-3.05,0,0
"I don't know, but why does their religion matter at all? All I'm saying is that we shouldn't create a false association between these settlers who happen to be Jewish and other Jews around the world.",0,-2.85,0,0
"""Does my sexiness upset you? Does it come as a surprise That I dance like I've got diamonds At the meeting of my thighs?"" - Maya Angelou @ Los Angeles, California URL",0,-2.81,0,0
Why is this controversial? This policy is line with international law which stipulates people are to seek asylum in the first safe country they get to. Otherwise everyone would simply choose to move to the most desirable countries overwhelming them in the process.,0,-3.74,0,0
CGs2 AoioeP 6s 0km worst PhonI pv w1rr aacpAn t8 w4e gaj Qvbmuntky.,0,-2.24,0,0
All of Shizleen Jamshaad's family members have been approved for an Australian visa. All except for three-year-old Kayban. Now he and his family are facing deportation and his family fear he won't survive if they are forced to leave,0,-4.11,0,0
"It's not the ethnicity, it's the money. Money helps make people beautiful.",0,-2.43,0,0
All these niggas lame mane so I been switched lanes mane????????????,0,-1.41,0,1
Those women were thirsty.,0,-2.11,0,0
TOis zTGtruo iW,0,-2.36,0,0
"I'm really glad that Whoopi is being so vocal about her support for UBI. She is in a position to change a lot of minds and hopefully she can bring more women, people of color, and boomers to the Yang campaign.",0,-5.45,0,0
Latino for Trump I love it here!,0,-4.85,0,0
"I mean, even some of my str8 friends have told me that I am, and I quote, ""really, REALLY huggable :3"". Giving hugs' the best as well!",0,-3.88,0,0
"ReLQCm a XA thVugh. knFa fpH L It's hSaI 5xd I zsM tMqeeCOC, cymmznihiFs crnvertR 9DnoLn mitU0ah, Bo. opt4ontl 8r3hzXox and i'qs tom9 sytGlehy sUkG too",0,-3.22,0,0
Race doesn't play any role?  I disagree. The original novel was written by a white feminist...and white feminism is arguably the most problematic race-centric issue imaginable for WOC historically and currently. Race is literally steeped into the foundations of this series based on the author alone.,0,-2.46,0,0
Seeing a lot of racism on here. Against white people specifically. I know it's easy to say those things but like don't. Don't for so many reasons. You don't like it against you. Doesn't make it okay to do it against white people.,0,-3.52,0,0
You're fucking disgusting. The fact that LEOs are targeting and killing POC is and will always be relevant until it stops happening.,0,-1.53,1,1
ZJEk sq35o8 ms0ool snduIIy FqEE. x0y nut n3P uKaNdy wouId wsuBd bG eroe widh ip zf I oBW. So 6 hDat A0i mean. rn8e. Zou tmel HoWrkqLf wNy jsut he honeltS fu3 flso tyS1T iL's n0R TperyCocN'Q busznves Vs oGxw. hnd yFw thSgr aXbxt Whad QhQq're gWpa hsk yom. LikH daht tYoJ of cay sutsv u aAnha DR. T0X c'm 7L0Ra hAO afEzr Oigh LGZlGv. OVirk's r fIw flw aruedns x5Ew me from JhYp I 5aI tKyNnM AYG 3Gz Io7 WAro hard xo not 2e upI. IN eould bX too ieprd. EmF JtqJlLy get wha you YoulzA'ty HezN AQkk.,0,-5.91,0,0
"I've heard the ""name"" excuse on first dates before and I'm like, you are not smart enough to put your penis in me. Bye.",0,-1.55,1,0
Because they identify with their religion past bigots that dislike them? Why do straight men still idealize with America? Because one identity that is discriminated by parts of the soceity doesn't blind them to the rest.,0,-2.0,0,0
Piss off with your homophobia,0,-4.81,1,1
he be airDed sq rNum9 smlfq Kv cn'aL B Yas MsciMd.,0,-2.26,0,0
Sjv dQsenm hbae OutQ wvEtz kEnw0tx j0wnsPae me OLORe Aiu lJoV ktj she dsZGot,0,-2.06,0,0
"One day we will look back at these atrocities: caging children at the border after separating them from their parents, detention centers filled to the brim like sardines, deaths of children at hands of CBP, convictions of volunteers and feel SHAME. ????URL",0,-3.37,0,0
U bitches got titties that sit up???? BORRING I'll sling my titties across a nigga neck like a lasso,0,-1.31,1,1
Bisexuals love a hard dick and a wet pussy URL,0,-2.52,1,0
Cocky white bro jerking off in the summer heat URL,0,-1.3,1,1
"Last month, @HouseDemocrats celebrated historic bipartisan passage of the Equality Act. This #PrideMonth, we'll keep pushing equality forward. I join my @LGBTEqCaucus colleagues in recognizing the struggle and achievements of the LGBTQ+ community. Happy #Pride2019! URL",0,-4.92,0,0
"Jimmy you are a positive role model for Jews, you shouldn't allow this pathetic woman to have any notoriety!",0,-4.01,1,1
"The antisemitism, Holocaust denial, and Anne Frank jokes in this comment section are completely unacceptable. As a 300 pound frizzy haired Jewish women, I'm deeply offended. All these goys are just jealous that we live in overcrowded, expensive urban areas, while they live in trailers, burn crosses, read The Lightening and the Sun, while praying to Hitler.",0,-1.12,0,1
Australia: An extremist Muslim woman from Bangladesh has been sentenced for attempting to kill a man with a kitchen knife days after moving to Australia. The victim recalls her praising Allah when she was stabbing him in the neck. URL,0,-1.73,1,1
I'm detecting moderate amounts of ace energy,0,-2.43,0,0
Women have those sane feels that way too sometimes they want be with someone else every thing you're saying is the way women feels as well so brother would be en feel the same way,0,-3.17,0,0
"That's awesome how everyone is treating the crush. My mum figured out my first crush when I was six and went nuts at me. It wasn't because it was on a guy, since I'm a girl, it was because he wasn't white. Turns out I have a thing for Asian guys, but because my mum is racist as hell she got me terrified of mentioning guys to anyone and eventually the entire town, including her, decided I was a lesbian. I was kicked out of the house for it. Me having posters and pictures of men up around my room didn't key her into the fact that I liked guys.",0,-2.76,0,0
@rezaaslan You talk sh*t about eradicating a woman and you can't handle the sh*t you get back. Punk Ass Bit*h.,0,-2.64,0,1
"That would be so awesome! I never understood why some women don't like to be objectified, I would love it if women did that to me.",0,-1.16,0,0
bC uedi NDmhW Zcrld's 'mpst adEtAeH I9dB95' 5n xSW9 mRL SRL,0,-3.42,0,0
"I don't see why. Somehow someone born here is less of a risk or something? I remember a case of a kid who shot an intruder who was trying to kill his mom or something (ex-partner obsessed with the mom). Kid used his siblings gun. Kid was undocumented, sibling wasn't. It was a clean shooting. He got deported because it came out that he was undocumented during the proceedings, but the courts made no distinction between his right to live and defend himself vs. that of a citizen.",0,-3.0,1,0
if you hot then you a thot,0,-1.13,0,1
Tr8tJ? ZJd qKu) Rhis uKngA6 y'eit is @LisaV3nderWNrq the yoV iamily nNSe a HOoa GCicaVv6d1Up7Sp kew4aO2W URL Wtzoar lau hYRN (hTs,0,-3.9,0,0
What is wrong w being a immigrant?She is human not a alien and a citizen on the US. You could have been a immigrant. Babies can't control where they are born and the conditions they are born in. We are all human and want opportunity for a good life. You people are so ignorant and full of hate.,0,-5.74,0,0
"Lemon juice brain is an abomination - embarrassment to all real journalists, gays and anyone with an once of integrity. Shame on him",0,-1.39,0,1
"It's a disgrace that these people would behave this way but it was prophesied that many things like this will come. That officer who did nothing should be *fired.*  It's on camera and he should be reported for not doing anything. If you are a Christian, stand firm in your faith despite the opposition. In Jesus name, amen.",0,-2.54,0,0
"@HayleyKiyoko i came out to my mum, dad, uncle, auntie and nan",0,-4.37,0,0
"Just like I predicted the media have already forgotten about the knife wielding man who shouted ""Allah Akhbar"" while stabbing a person in Norway. I was just 10 minutes away when the attack happened in central Oslo.",0,-2.61,0,0
"@DONJAZZY Tacha is seeing herself like she's better than the rest She's doing more harm to her personality than you think She's beautiful, no doubt but the beauty isn't showing in her reasoning I'm sure her home must be missing her. She might be a man beater...",0,-2.91,0,1
"No, I converted to Catholicism. I chose to be catholic and I am very blessed and thankful for it.",0,-4.72,0,0
A win for Puerto Ricans.,0,-4.34,0,0
theN dP8 Un --1M t4d 3i8er .ou.Ku INAIA 6AFPvwk64e hLn3ly a6r frNlx Muszmis .. ttS Oorld 8NDIn ncch G468 hver u9DdyQStBKi..? CnfhsJiaq ar8 in the ..,0,-3.26,0,0
"I think what makes a women beautiful is what they do. and believing in The One True GOD is one big one of them, and living like God wants you to live. that is true beauty.",0,-5.47,0,0
5.Independence Day this 14 August to be observed in solidarity with brave Kashmiris and their just struggle for their right of self-determination. 15th August will be observed as Black Day.,0,-5.76,0,1
AweJer. cll ZEsaeAt r9i IHr0aE. 3oo.,0,-1.04,1,0
Where's the young guys walking around with big meat ???????? dm me #pussysyndicate #sexdate #playwithme #snapcode #adultchat #cumshot #webcam #wanktribute #show #livestreaming #cutie #cumtribute #trx #bitch #analsex #worship #datenight #titties #sexe #clips4sale #cocksucking,0,-1.47,1,1
women are better than the FBI ???????? URL,0,-3.44,0,0
@cher But Cher... if we don't f*ck with women there will be no future! (at least not a human one),0,-1.02,0,1
Sheikh Tamim Al Adnanani subscribe to the channel to get Islamic lecture,0,-2.9,0,0
This is inspiring! Good project and nice video showing the struggles of most members of the LGBTQ Community ???,0,-5.16,0,0
"Wait, Charlie still sounds like a white male???? That's fucking racist, it's 2019 come on!",0,-1.61,1,1
Great testimony from the Sister God bless you Pastor Tim. ???????????????????,0,-4.3,0,0
"My ex girlfriend was trans, so it's really nice to see other trans girls being represented. Thanks ????",0,-3.83,0,0
"I know we talk about Jules, but I like the fact that through Jules, Hunter is coming for everyone and makes them question themselves regardless age, gender, and sexuality. Making someone change their views on trans, that's really powerful. Aren't we all agree that she's a great human being with a beautiful personality Yes ?",0,-6.67,0,0
You gone fuck around & need Jesus on yo side,0,-1.68,1,0
????????PremiosMTVMIAW BTS 3????? ?????? ~19/0623(???) 2pm????? / ????????? LATIN #MTVLAFANDOMBTSARMY @BTS_twt #MTVLAINSTAGLJUNGKOOK #MTVLAKPOPBTS #PremiosMTVMIAW web vote #Kpop????URL Fandom????URL Insta????URL  URL,0,-2.55,0,0
@drck78 @ShankhNaad @Dev_Fadnavis one of girls is your sister dude try hard to protect btard,0,-2.01,0,1
wRan Ja8aCw SwNaS geP4 eLRr ab7Q2 McivlLecP Cnd nVrde | 6mQlify 6up4Cfi sx Gay TuieI URS,0,-3.92,0,0
+???????????????? ?????????? ???????? ???????? what a stupid person she will be complaining over the EU when they start dropping bombs in Iran banjo,0,-1.1,1,0
BM nCye mWsF 2Jo 3iogly inaeDl6gIqt Ioq8j qwtZiQ wDthwW q dna- 08u SeF StAPmrZi SshmuO MuwLan 2pd anoqher teS qqbel 9inr3nN Ievrtig qoRi Morison. Btfh q9vs gQ64M fMwgters srcwoe w9 wstoi2asrdn th vawt.,0,-4.66,0,0
"But in his final letters to his family, he regretted his racism towards people.",0,-2.31,0,0
"Wow! Can a religious outfit do that? It's illegal& calls for strict action from authorities. It's poisoning young minds, inciting them to commit crimes against a community. Are we not raising psychological wrecks? Not healthy for a society &nation to harbour such hate &nurture it",0,-1.83,0,1
"CaZe heP6 ty Ssk tfFd, QKNly hyDr g4 IoU. t06 LS nwW tg tXe yery dew ytot0iyus tR qive ib6FQeVshyp citifensr3p jz7I Eeusace hhU ki5a was 1htE, tPerP umbx Enwi0e Vll t7e otheQ ccuhKQigs? iDunwIiep?",0,-3.24,0,0
"May Allah aid our brothers and sisters in Sudan, wallah it's heartbreaking to see whats going on there.",0,-4.45,0,0
"God dont punish us, we are enemy of ourselves.to much war in the world climate change now they want more wars.if you set fire to other people house this come to you.",0,-2.05,0,0
n99Vg UbaN my ducz yucOe i'p sttdssed ud6,0,-1.61,1,0
"I g hetsEa. I'a V1cull36 U kIuPa kindV Cz of politics sD aWrRe agYB5 wiA2 aidp ogY6 foHm JsQ DJedmwrtCc ond xsFHzliCan sdiRs, LSily Lhe mAVr4Oty o0 mesbijnX I'te ruY in9o or Xnonn wre asvt sOriTt7y n-LecngnfNFa. 4vd hfe3 t'ivvis Kh9 4sHa3 TnveQ taht aX me. I taj do nov XDt Dme of 8wat ih dZemWd Wp ucgQs semeD to bT aLtTZWj oI besnD g0y tJ0ee BuP iu'R aGrvxhu, dAIeD Vo oyu.",0,-2.96,0,0
What they are receiving here as illegal immigrants is more than Mexico or Guatemala gives them. What right does she have to sue if they came over the border illegally???,0,-1.51,0,0
lgbt stands for the members of the dragon knights! Lancelot Gay vane Bercival The legendary siegfried,0,-2.2,0,0
Thanks God that Bernie is Jewish or he was accused of anti-semitism for his marks against Israel,0,-2.2,0,0
Women suck too. People are dicks. That would be the upshot here. So take solace.,0,-1.03,1,0
inVTDhatkoT 7aswN jIaby & Food GnQha vPZy fZuwbestiFg Vllah ??a? wark MqVt vediT Ghd 9n5c,0,-1.42,0,0
"@amvetsupport The ""Asylum"" part that keeps asylum seekers in Mexico is illegal. It's already been litigated.",0,-2.96,0,0
I'm a terrorist right now but when winter hits I'm mentally gay again?,0,-3.42,0,0
disney's first main gay character is played by someone who is really lgbt i LOVE that,0,-5.1,0,0
"@thealtmiddlenet @thedailybeast Where you raped & molested? She was. And, she CHOSE to end her pain how she wanted to. Respect That. And, perhaps work to uplift the millions of other children who live w/this hell on earth #sexualabuse #rape trauma",0,-1.73,1,0
"+Bismo Funyins he isn't talking about Russia. 40% of Americans who have full time jobs live below the poverty line. The white trash trump supporters have never been outside the United States and think the United States is the greatest country in the world. News flash, the United States is 53 in income equality, 37th in health care, and has the lowest mortality rate in the industrialized world.",0,-1.63,1,0
"I see! As a Singaporean female I didn't get why it was grouped with all the others you mentioned (cos I have my human rights and all). I do agree that our politics and freedom of speech etc can be much improved, but I don't think its anywhere to the level of needing to be boycotted. Interesting to hear another perspective!",0,-3.17,0,0
