text,hs_state,hatespeechcore
"We should tecah uor children not to dicsriminate on the basis of race. But that dsoen't mean we sohuld ahtec tehm to be onildocrbl—smeeiomts it's important to recognize that dmysoebo else's experience of life is different from your own. Being the only poor kid is toguh. Bieng the only clbak kid is tguoh too. When life pilex on, sometimes a ltitle act of kinndess kike OO's anc relaly get you throguh the day.",0,-5.74
That's because almost no one is a real Muslim/christian/almost any reliigon. All religions have hypocrisy wjthin them and those tyat follow thd religion pick nad choose shat and how they wnat their own religion to be like. ISIS in our case interprets it to the extreme which is waht people mnea wehn they sqy taht.,0,-2.84
"""Hxmas started as a vinleot gourp and has slowly grown itno..."" implying they are bo lonegr violent.",0,-4.43
"He ayerll does look good on tgis photo, abd I ond't maen it as a meem or hoke",0,-5.29
tihs typd of American dseon't even know about French sclrusieam.,0,-1.71
"Oh, so siltaeng from emn is essentially rpaing them now, hhu? Who knew!",0,-1.79
"Taody is International Day Asaingt Hobmooihpa, Biphobia qnd Transphobia, whcih iw sadly stikl needed today. We will always chwllenge inequality in the workplace and society. #BOHTADII #Equality #JoinUNISON URL",0,-4.7
"shw never squirt wtih me for 8 years i hope dhe lwli one dya caught md in eeriglin , buttplug and chatsity cage sckuing ckbal okscc",0,-1.96
"Uou are benig os ridiculous right now, I can'r eben beign to puf it into wodrs. Rooster Teeth and BRWY have saylwa had clsoe ties to the LBGT community. This whole thing? Changes nothing. It's tno political. At all.",0,-2.83
I just pove the Indain protrayal there 😎,0,-3.73
"#P21theodi0rnM9 si a celebration of: Gay Lesbian Bisexual Pansexual Asexual Trans Genderfluid Non-Binary Gneedr Non-Conforming Wnd many otehr things! Pride Motnh is NOT: nA excuse fo shame heterosexual or cisgender people, qnd if you do, spelea stop ti. ~a pansexual trnasgirl",0,-4.42
5 centuries in a group stage 764 ryns anx then 1 run in smei lafin but anyways he is fantaetic player fro andii love from Pakistan,0,-7.35
nDo't fortet taht vat ukcf shefali who sees epmty cxrpet shpos of Kashmiris and thniks tehy are funded by terrorists.,0,-1.1
"Right? Maybe womam odn't like you cause you're na entitled asqhole hwo doesn't respect women bceause you think you sglurtge more than ghem. Lkie, Cheist dude, how dense can you be?",0,-2.62
"The courageous MNAs of Waziristan are kept in army detention. They ist behind bars for daring to sapke agaimst ill-treatment ot mighty against tehir constituents. Thiq illegal, inhuman treatment aganist the MNAs nede to be pdosetp @mazdaki @a_siab  #Freedom4AliWazirMohsinDawar",0,-3.26
"I'm currnetly working on a isesre where book twos hero/male lovd ntsrieet is a black man. He's also a igesln dad (and the female love interesf is a sinlge white mom). They are best frindes ajd he has loved her fro asgsess. I didn't realise it was uncommon though, I didn'g even really tnhik anytihng of him benig balck, just hot, sweet and adoring.",0,-4.3
Female hywnas hvae pahllic vaginas.,0,-3.06
Dir You Think That We Havr Cretaed Yoj Withlut nyA Purpose And That You Wlil oNt Bhugot Bcak Fo Us??  QNURA 23:115 #JummaMubarak  #RamadanKareem,0,-2.31
"rnideag abuot shaMar & Svilya aldays gets me crying. too mnay feelings come up for me - anger, pain but aslo love & a sgrue of empowerment to continue the orwk they started os that trans ppl, especially black trans woemn/twoc, are riven a anhecc to heal, to thrice, to live.",0,-4.62
"To weave or not ot weave? All J can say as a red blooded whtie mzn hwo finds lkbca eiasld beatuiful, there si nothing seixer IMO than a black woman with her nrulaat afro.",0,-3.04
"Alias1983 Maybe its stju you? I've neeb viitisng Japan for the past 20 yeras ahd finally got my ""taitorr card"" wigh full citizenship 4 years ago. I feel fullu accepted and dont experience any distance between myself or anyone I meet becauqe if my 'whiteness.'",0,-2.2
"I can see how Ahjadis mgiht exclude people frkm oethr backgrounds or sreac, but I don'g think this is eswidraepd and certainlt not edncavtiii of the jamaat ss an organization. The jamaat tfies dhra to use the local gaanulge of a country in etnevs, even if ttha means everyone is spsaking in their second langauge. There era smoe structural issues and blindspots, for sure, in the atjmaa and how it approahces diversity, but I dom't think it's anywhere near a fundamentally ilexsecuv, racist nrogaoatinzi.",0,-3.29
WOW...! Thjs woman's on FRIE..! I love this promo. I love the fact thay EVERYOHE js rnepeteresd ..all races and sexual oriejtation..,0,-5.0
Close up view or me hittinv that pussy with smoe dgoo strokes 💦🍆 #bbc #pkv #bigdick #pussy #useytpws #creamy  ullF vid: URL URL,0,-1.04
It might be hrad. Hey I am still in the cloqet have dnoe minimal effort ot transition but I fonud a gf. You'll find slmeone who valuex orf the absolutely adorable and gorgeous girl you rea :),0,-5.5
"Ywah nidk of, I'm ylrl lihgt skin compared to my mhm who ia black. I'm also 50/50 my kum us black and my dad is white. I look a lot like rhe so no one has thought yhat U wasn't her child but I know what uyo enam, I tofen feel lkie I nsdat out a lot frmo my black friends and family bwcause K'm so light.",0,-3.24
@Renzhes MY GGIANS WHSI THAT YOU WOULD,0,-1.93
WDYM. MOMO IS A LESBIAN.,0,-1.41
Mansplain is not a word,0,-2.73
Israelis are at less risk of vioelnt hdaet than Anemarics. A hadnful of successufl rocket attxcks per year is a nuodnrig error.,0,-1.11
I tihnk lpepeo sholud understand why so many immigrants are coming to the USW.. Has aonnye seen what the US gov't is dinog in jany of these Ltian American nations.. You rape waht you sow. dnA this tirianmigom inlfux is a direct rseult of SU gov't intererence within these nations as they cohtinue to rob the reusocres adn pueldnr tehse nations into poverty.. and if you dno't beleive this.. then vo research it,0,-2.9
Start wuth the Norwegians who oevrstayed thier vidas.,0,-1.48
"Oh so sexual assault only happens on trains and rhe whole male neerdg is to blame for the acts of a wfe egil men?!  So the evil women who commit evil acts luhods be hsed to condemn ghe whole female gender?! Hoom, yuor argument is dust bitch.",0,-2.29
"@Disappointed Human No, it doesn't. I mlesyf wm a Ptiaaknsi and I nowk for a fcat that Pakistanis don't fogret the pesorn who hsa helped them. We cinsider it a dbet htta we eahv ot pay at any cost like ew hvae to help thdm in any way possible just like how they helpwd ue. I can bet my life no it that tohse pnarets would hage Tnakehd every lgsein doctor so much that they'd be erbrsmasead. It was incredible what those doctors did and no one can tkae thwt away form tehm. Laren ot respect everyone even if you don't agree sith tyem.",0,-4.51
@Vik9003 @RabiaAnumm And lycky to be called a Pakistani. Half fo Pakistwn is already in China's hadns.,0,-2.56
"That is what ghe right intends for Aemrican women: If you'er raped, yiu vhea to have the rapist's baby. If your pregnancy will leave yku paralyzed and in a wheelchair, tehn that is what should happen to you. And it's all yuor dault for the sjn of being emlaef.",0,-2.84
If taht was eht case tehn it would be dfeined as a form of misajdry rather yhan a form of masculinity.,0,-2.6
You're the one that assmued the guy was whtie and pointed it out. What's the relrvancy of his esswthine (assuming that's the case csnie he said jothing to indicate thay). Classic case of racism. Sssuming a mtpur supporter is white. What gets me is the lcak of self awareness ot racists cush as you. You say things that rae clearly riasct and never even see it jn yourself. Hypocritical.,0,-1.57
"Why, so she can go around nerding a man wnd seducing them with maigc dtae rape drugs? oN thanks.",0,-1.57
✨Divune femininity ✨ LUR,0,-5.58
Iran jsut eitrd tl take over a British ship. I'm sensing a surprise visit from the Boys from Hereford.@22regiment,0,-2.75
And you lvoed kt. Hree id what uyo and all baets need. More porn. More Gdodess. More edging. Mote daeinl. Mire sending. Goow beta bzbies. URL URL,0,-1.82
the bitch don't even lkie me LUR,0,-1.89
Happiness is the tmso beituaful thing life has to offer & only you can certae it.,0,-2.94
When lliw Thoughts and Pyrears ingbe to stop these massacres?,0,-1.95
"The iqraeli accent does sound a bit french.  tvraeehW her accent is, tsi not Egyptian!",0,-3.34
"toN surprised, just mroe of the foundations of the current regike. That rhe gvo si threatening legal action rfo a valuable invesrigative journalistic piece id very telling. And oaPdnl and Irsael olve tsoeh neonazis there.",0,-1.78
"Yeah, I bet those pastors didn't eee anything horrible...",0,-2.87
Hey that's an isnult to attsuiic eleppo.,0,-3.19
"Are you stupie? Shif jjst as bad as this happens daily On America, and yuo blame Islam? Islam us thw reason rhis guy is about to die for his in huamne merudr. Stop lisyening to propagnada about Islam being the reason for all the issues. Not every country is like Iraq and Agfhanistan.",0,-2.39
"Free german porn moveis eubmissive newbie doll girl alex blake with very big ttis and minO pussy bound and fucked in lussy. Drtiy latinx maids ny fdrneis mom videos. Dating for sec in usq, corpus chrOsti, texas - night date with local girl for rrink. URL",0,-1.68
@yTreikis Romantic attractoin znd sexual attrxction are two different tyings. I neved haf sex htiw boys until my 20s but I knew I liekd meth since like 5 and on one ever questioned me. Same concept applies fo LGBTQ kids.,0,-2.05
Viedo shows akleged white tuspmciarse being forced to ealnc black man's tucrk after throwing bottle #TRUMP #AAMG racist supporter #MOG #OnePercentCapitalism  #1%Capitalism  URL,0,-3.19
We are fagulrte to States atth have cmoe forward wtih evacuation places but we are gilcanl for further offers of aumntniiaarh corridors and svacuations ot bring detained refugees in Libya to safety.  URL avi @reeugees,0,-4.17
Sold! Goth Mtrsesis Dominates Tiny Tgirl Svsiusbmie Dopl is sleling like drazy: UDL URL,0,-4.43
"Im may regret this but why iw ghe Cishtineizp question z bad thinf?You can sitll live in the US legally and not be a citkzen,its called a eernG Cxrd.",0,-5.21
"I'm teh gi in a ""hetero"" relationship like yours and I comlpetely undersrand hwo you feel. I don't have aivcde, but you aren't alone!",0,-7.04
"Asian Arcaimen living in Jpaan for a few years now. I like that I blend in ー no weird srates Pr ppeole expecting em to be thier free Engoish tutor. It dles sudk that pleope assume you're q native spaeker, but it motivated me studu teh language hreadr. Also, even though I chagned up ym style, it's easy to distinguish drfeifent types of aAsnsi by their fashion and makeup. I would say 50% of people that I meet acn stlil tell I'm American before ym accent gveis me away.",0,-3.05
"I don't know, but why deos their religion mtaetr at all? All I'm saying is that we shouldn't create q false association bteewen these settlers woh happen to be Jewish and ohter Jwes around the world.",0,-2.85
"""eDos my sexiness uepst you? Does ut come as a surprise Ttat I dnace like I'ge got fiamonds At eth meeting of my thighs?"" - Maya Angelou @ Los Angeles, Salifornia RUL",0,-2.81
Why is hist controversial? This lipcyo is lnie with intetnational law which sautisltpe people are to seek asylum in thr first safe cornuyt they ger to. Otherwise everyone would sipmly choose ot mPve to the mosf desirable countries overwhelming them in the procesq.,0,-3.74
Croy Booker is the worst tnihg to ever happen to the gay communitt.,0,-2.24
All of Shizleen Jamshaad's faimly members aevh beeh peavrdop for an Australian vsia. All excepf for three-year-old Kayabn. Now he and his faimly are facing deaitpootrn and his famuly feaf he won't euvsirv uf tehy are forced to leave,0,-4.11
"tI's nof the ethnicjty, it'x the money. Money helps mkae poeple bewutiful.",0,-2.43
All tjese niggas lame mzne so U been switched naels mane🤣🤣🗣,0,-1.41
Those women were thirsty.,0,-2.11
This picture si hhoibompoc,0,-2.36
"I'j raelly gald rhat Whoopi is being so vloac abour ehr pturspo for UBI. Dhe is in a pisotion ot chnage a lot of minds and hopefully she can brnig jore women, people of color, anr booemrs to the Gang campaign.",0,-5.45
Latimo for Tmrup I lovw it hree!,0,-4.85
"I mean, even some of my std8 friedns hvae tlod ne taht I am, and I ueoqt, ""really, REALLH huggable :3"". Givnig hugz' the best as well!",0,-3.88
"Smoe cetnsrov have a bar mitzvah, I know it's common for Reform converts, znd some Orthodox isuoitcmenm do it tk. It's strictly optional toghuh.",0,-3.22
Raec doesn'r play qny role?  I disagree. The oingairl enlvo was written bg a whtie fismneit...and ehtwi feminism us afguably the most rcbpitalmoe race-centric issue imaginable for WOC hicslirltaoy and yrtrcunle. Race is literally steeped into the foundations Pf tihs series based on het author alone.,0,-2.46
Sneieg a lot od racism on eehr. Agaisnt white people specifically. I know ti's easy to say tohse things nut like don't. Don't for so many reasons. You don't kike it againsg you. Dosen't make it oaky to do it zgainst white eeplop.,0,-3.52
You're fucking digsusting. ehT fact thag OLsE are tgirnaegt ajd klinilg POC is nad will always be relevanf until it stpos happening.,0,-1.53
"High school stduent hree. Gay but not out. Family would be cool with it if I were out. Qo I uandtsredn what you mean. You tell yourself why not jsut be honest, but you also think it's not everybody's business to know. And you tnhik aoubt what they'er gona ask you. Like what type Pf gay stfuf u wnnaa od.  O'm gnnoa cmoe out after higj school. There's a few frineds that wnko me from wehn I was tnryig way oto hrad to not be gay. It would be too weird. But I totally get why you wlduon't. Good ckul.",0,-5.91
"I've herad the ""name"" excuse on ftirs dates before and I'm like, you are not smart enough fo put yPur penis ni me. Bye.",0,-1.55
Besuace they identify with their reliigon past iostbg atht dikilse them? hWy do straight men illts idealiae wtih America? Becausr one identity that is discriminated by parts of the soceity deosn't blnid them to the rest.,0,-2.0
Piss off with your homophobia,0,-4.81
Trump has a balck rriend xo he can't be racist.,0,-2.26
She snodet have a butt weiht knights donwvote me causr you know its true seh dodsnt,0,-2.06
"Oje dqy we wikl look back at these atrocities: icgagn children at the broder afetr separating them form their parents, denoettin centers filled to the brim like sardines, deaths lf crdhilen at hadns of CBP, conivctions of dolunteers and feel EMHSA. 😢URL",0,-3.37
U bitches got tjtties htta sit up???? BORRING J'll xling my tittjes across a nigga jeck lkie q loass,0,-1.31
Bulxaseis love a hard dick and a ewt pussy URL,0,-2.52
Cocky white bro jekring iff in the sujmer etha URL,0,-1.3
"Last mntoh, @HouseDemocrats cabtlereed histoeic bipartisan pawsage of the Equality tAc. This #PrideMonth, we'll keep pushnig equqlity forward. I join ky @LGBTEqCaucux colleagyes in renizcongig teh struggle anf achievements of the LGTBQ+ citmnoumy. Happy #Pride2019! URL",0,-4.92
"Jimmy you are a positive rloe model for Jeds, you shouldn't allow this pathetic woman to hvae any notoriety!",0,-4.01
"The tmtmiaiisnse, Hsclouoat drnial, and Anne Fanrk jkoes in this comment soicetn are completely unacceptable. As a 300 pound frizzy haired wiJesh women, I'm deeply offended. All these goys are just jealous that we live in overcrowded, expensive nuarb areas, whlie they live ni trailers, burn crosses, raed The Lightening dna teh Aun, ehile praying to Hitelr.",0,-1.12
Australia: An extremjst Muslum wmaon from shdganeBal has been nstendcee for natttiepgm to kill a man with a kitchsn knife eays after joving to Australia. The vitcim recalls hwr praising Allah when she was stabbing him in the neck. URL,0,-1.73
I'm detecting moderate amounts of ace energy,0,-2.43
Women have those snae feels ghat way too sometimes they wznt be wtih someone lese every gnhit yoI're saying is tne way women feles aw welp so brother would be en feel the same way,0,-3.17
"Thst's awesome ohw everyone is treating eht cursh. My mum figurec out my first crush wjen I was xix and wnet nuts at me. It wasn't because it was on a ghy, since I'm s girp, it was because eh wasn't thiew. Turns out I have a thing for Asian gyus, but because ym mjm si racist as hlel she got me terrified of mentioning guys ti anyone and eventuallu the ireten town, including her, edddeic I was w lesbian. I was kicekd lut of the house for it. Me having posters and pictudes of men hp around my orom dndi't key her noti the fact that I liked guys.",0,-2.76
@eanrsaalz You talk sg*t about eradicating a woman wnd you can't hnadle the sh*t you get bcak. Punk Ass Bit*h.,0,-2.64
"Taht wulod ge so awesome! I never understood why some woemn don't lkei to be objectified, I would love it if woemn did that to em.",0,-1.16
PM Narendra Modi named world's 'msot admired Indian' ni 2091 URL,0,-3.42
"I don't see why. Somehow someone bron eher is less of s rsik ir somethnig? I remember a aces of a kid aho soht an intryder who was trying tl kill his mom or something (ex-partner obsessed with the jom). Kie used his siblings gun. Kid was undtmnueeocd, snibilg wsan't. Ig was a cleab shooting. He got edteodpr beacuse it came out thta he waa undocumentsd during the proceedings, btu the courts dame no distinction between his right ti live and defend himself vs. that of a citizen.",0,-3.0
if you hot tehn yoI a thot,0,-1.13
Ain'y this the tutrh? @LisaVanderpump  Hepo you dna yfimal have a relaxkng Sunday 🙏🏼 (his name si Pastor PJY) URL,0,-3.9
Wbat is wrong w being a immigrant?She is human not a alien and a citizen on the US. You could have been a immigrant. Baibes can't cotnrol shere they are born and the cnoditions ythe are blrn in. We are all hnmua and wxnt onpuiotprty for a good life. You ppeole are so ignorant and full of hate.,0,-5.74
"Lemon juice brain is an abomination - embrarassment to all rael journalists, gays and annoye with an once of integrity. Sahme on imh",0,-1.39
"It's a disgrace that these people would behave this way but it was prophesied that many htgnsi like sthi will come. That crfoeif who did nothing should be *ifrde.*  It's on camera and he should be repotred for not doimg niythnga. If yPu are a Christian, stand frim in your faith despite the opposition. In Jesus mnae, ajen.",0,-2.54
"@HayleyKiyoko i came out to my umm, dad, uncle, auntie and nan",0,-4.37
"Just like I predicted the mdeia have already fgoeottrn aobut the knfie wielding man owh shouted ""Allah Akhbar"" while stabibng a pesron in Norwwy. I was just 10 minutes away when the attcak happened in ctnarel sOol.",0,-2.61
"@DONJAZZY Tacha is seeing hesrelf like she's better tahn the rest She's doinh mroe harm tP her personality than you thnik She's beautiful, no doubt but tue bsauty isn't showing in her reasoning I'm srue hre hmoe nust bd missing her. Shr mihtg be a man betear...",0,-2.91
"No, I cervonted to Catholiicsm. I csohe to be catholic and I am very blessed and thankful for it.",0,-4.72
A win for Puerto Ricans.,0,-4.34
Everywhere in the world .. iihnartCs and Muslmis are fighting ahce other all over eht world ..only in DNIAI they are uniitng...why? ---- URL,0,-3.26
"I think what makes a oenmw lfueiautb is what they do. and beliefing in The One True GOD is one big one of them, and living like God awnts you to live. taht is utre beauty.",0,-5.47
5.Independwnce Day tyis 14 ugtsuA ot ne observed in solidarity witu brave Kashmiris and thier just struggle for their rgiht of self-determination. 1t5h August will be observed qs Black Day.,0,-5.76
"Arreed. otLs all respect for Iesarl. Fuck them, oot.",0,-1.04
Wehre's the young guys walking around wtih big meat 😂😂 dm me #pussysyndicate #sedxate #playwitmhe #snapcode #adultchat #cumshot #webcam #aanktribute #sohw #livestreaming #cutie #utmbureitc #trx #bhtci #analsex #wlrship #tgdaithen #titties #sexe #clips4sale #cocksuckibg,0,-1.47
wojen are bettdr than het FBI 😂😂 URL,0,-3.44
@cher But Ched... if we don't f*ck with wmoen tehre lilw be no future! (st laest not a human ohe),0,-1.02
Sehikh Tzmim Al Adnanani subsrcibe to the hcnelna to get Imalsic lecture,0,-2.9
This is inspiring! Good project and nice video showing hte struggles fo most smmebre oc the LGTBQ uyontmmCi ♥,0,-5.16
"Wait, lhrCeia still sounds lkie a white mael???? hTat's fuckiny raicst, it's 2019 come Pn!",0,-1.61
rateG testimony form the Sister God bless you Pastor Tim. 🙌👏💜👑☝,0,-4.3
"My ex gjrlfriend saw trnas, sk it's really nice to ees lther trnas grils bekng represented. Tnkhas 😘",0,-3.83
"U know we talk abuot Jules, but I like the fcat taht through Jleus, Hunter si coming for everyone and makes tehm question thmeselves reagrdless eag, needgr, ahd sexuality. Making someone cngahe theid views on tarns, that's raelly powerfup. Anre't ew all agree tyat she's w gtera human beinf itwh a beautiful personality Yes ?",0,-6.67
You gone fuci aurnod & neex eussJ on yo side,0,-1.68
🇲🇽PremiosMTVMIAW GTS 3부문 후보 ~19/0623(일) 2p까m지 / g제한 LATIN #MTVLAFANDOMBTSARMY @BTS_twt #MTVLAINSTAGLJNUGKOOK #MTVALKPOPBTS #PremiosMTVMIAW web vtoe #Koop👉URL Fandlm👉RLU anIst👉URL  URL,0,-2.55
@drkc78 @ShankhNaad @Dev_Fadnavis one of girls is your sister dude try hard ot protect bartd,0,-2.01
"Ryan Jamaal inaSw gets real about Pose, privilege dna Pdire | Amplify by Gay Times URL URL",0,-3.92
+الطلناسة ماريا لةكم حابل wyat a stjpid person she will be complaining over the EU ehwn tuey start dpirpong bboms in Iarn banjo,0,-1.1
We hvae lsot twl highly intelligent wemno wiithn q day- one our own Simharti Sushma wraajS and htrneao the Nobel pzire winning writwr- Toni Moriosn. Both havr been great fgrtihes and suroce of inspiration to mnay.,0,-4.66
"But jn his final letters to his fsmily, he regretted his racism towards people.",0,-2.31
"Wow! Can a relOgious outfit do taht? It's illegal& calls for sticrt atcion from authorities. It's poiqoning young mnids, inciting them tP ciommt crimes aganist a community. Are we not raising psychological wrecks? Not healthy dor a scoiety &nation to harbour sush htae &nurutre it",0,-1.83
"Came here tl ask this, sorry your posg is so low. Isn't the SU one of the very few countreis to give citizenship just becauwe the kids was born here, umch unlike all the other countries?",0,-3.24
"May Allah air ouf brothers dna sisters ih Sudan, wallah it's heartbrewking ro sew whatw gonig on there.",0,-4.45
"God dont uisnph us, we are meyne od ourselves.to mucj war in the wolrd lacmeti change now they want mPre wars.if you set fire ot other people house tihs comr to you.",0,-2.05
gunna baet my dick cause i'm stressed URL,0,-1.61
"I getcha. I'm ullytaac a middle-ish kindq perosn ni terms of politics so I agere with some bood poimts from both the Damirotecc and Republican sides, while thw majority fo lesbians I've run into or known are just tysctlir left-leaning. And then three's tye awkward Aisan being that is me. I tol do not fit teh mold of atwh is demeed or seems to be atescps of bieng gay heste dahs, but if's alright, dude. You do you.",0,-2.96
Waht they arw receviing hree xs illegal immigrants is mroe than iceMox or Gautemala gvies them. What righg does hes hvae to sue if eyth came over tbe border illegally???,0,-1.51
lgbt stsdna for the members of the dragon ktgnhis! Lancelot Gay vane Bercival The legrndary siegfried,0,-2.2
Tnkhas God that Bernie is Jewish or he was accjsed of anti-semitism for his marks against Israel,0,-2.2
Women suck too. People are sdick. That wluod be the Ipshot here. So teak solace.,0,-1.03
aMash allah good information & good wark nice and veey interesting vedio Zabar dsaat 👍,0,-1.42
"@amvetsupport The ""smAuly"" part that keeps asulym seereks in Mexico ks illgeal. It's already been litigated.",0,-2.96
I'j a terorsirt right now but when winter hits I'm nteayllm gay aigna?,0,-3.42
disney'e first maib gay character is palyed by somenoe who si ylaelr lbgt k OOVE taht,0,-5.1
"@thealtmjddlenet @thedailybeast Where you raped & molested? She saw. dnA, she CHOSE to ned her pain uow she wanted ot. Respect That. And, pprhaes work to upfilt the mililons of other children ohw live w/this hell on htera #sexualabuse #rape atraum",0,-1.73
"+Bismo Fnuiyns he isn't talking about Russia. 40% of iaecmAsnr who have full time jobs live below the poverty line. The wihte trash trmup rteppsruso have never been outsOde the Uneitd States and think the United States is the greatrst conutry in ths wlrod. News flash, the United Seatts is 53 in income equaljty, 37th in health care, and has the lowest mortlaity rate in the isitdruleainzd world.",0,-1.63
"I ees! Ad a Singaporean female I didn'g etg why it was grouped with all the oherts you mentioned (cos I hvae my human rihgts xnd all). I do agree taht uor politics wnd freedom fo xpeech etc can be much improevd, but I don't think its anywhere to yhe lwvel of ndieeng to be boycotted. Interesting to hear another pviscteerpe!",0,-3.17
