text,hs_state,hatespeechcore,hatespeech_llm_GPT,hatespeech_LLM_gemini
eovl s virl wtih a big clig. esakM em feel lkie a stud in bwd ;),0,-1.87,0,0
I was wiating to see if unMla would'vr beeh baclk too.,0,-2.08,0,0
"uckF off eith yuor rilucuiods fsnolhsosei. Men wnat yo fcuk woemn yeht rea attractef to, btotom ilen. Get a fnuckig clye and livd ni the rela wrold. Eveeyones so sinsetive about tihs sbjucet. Jen hvae a relentless ""nede"" tk propagate ghe wpecies nda we couod gvie a shit aboht gvhani feamle frineds ofr thd most pwrt. Amd we ndto dee wimen as prixes, we ese ethm as furtue wives and mteorhs of our children. Nig dnrfcfieee",0,-2.19,1,1
Yuor hlniriae js reantertig fxster tahn OSIS,0,-2.4,0,0
Is hatt a emotiohal supoprt sevrice dof?,0,-3.69,0,0
@ANGELAWHIRE @niaceaeashlp @SRyoofanxixo tiaitrptre ebalsni hot and exciitng and vrey grest 🌈🌈😍🔥😈🍑😋 URL,0,-2.22,0,0
aY know taht fta ckccskoau syas K loou likw the Sgah of Iarn? Fat pecia ehit.,0,-1.8,0,1
I wupe yP face wit tehm lueb hnuneds go aekm ya estar rry,0,-4.24,0,1
"I hatw yoyr commrnt. Evrey zitecni fo eevry countrt has first dsbi in rights to lvie three. You csn't gatekeeo thta anc tlel somekne hwo is a natife blrn cieztin of the croutny taht they ear nothnig zpecial and rheir contriubtions meaj tignhon. Fuck yoy for ttah!  . Kt's thier country and theur eteceld oilfifcas lhudos rersenept tehm. Whether taht hpnapes or nog si moot hree.  Eeyrv iectizn fo z xountry- UX, Jpaan, Msxico, Idnia etc has w rgiht tP feel prdie abuot lnivig ni rihte country oe rniigo and takd pride kn weahvetr contributions they mkae un tehir conutry.",0,-2.49,1,1
"@JasonWoodley33 @RTlyaahLCeTaC @tcweerre_n Wwo taht'w fuckOng rsicat as fuck, hro. Tahnks for showinr us all now it'd dnoe",0,-2.86,1,1
@ChriSj1th @dominicmalmonte Like homsoexuality was rvee dkrectly entedocnc to cstnei,0,-2.37,0,0
@ADNOl5 OOOI the 1/7 Awian YEEHAE,0,-2.79,0,0
I onow otehr esvvsnetoicra who gerea wtih mr that minoritOes shluodn't be bruned.,0,-4.14,0,0
yaM Zllah aese everything ij order iimani LRU,0,-4.62,0,0
Bug how wPuld they khow thag becajse esmo pelope cna be uasixbel or pnsuxaeal? Plus esmo eolepp can be trnasgender snd be shgairtt.🙁🙁,0,-2.78,0,0
"@gokdenmuva bicth don'f evsr sis me that'q 1 , 2 YOU awtn me ot br mda as fjck . k literally siad one thing neo tije and you thnik z btich aas jusy coming for yo kecn like clam dwon pdenjea - eonn oe rhis shiy thwt damn deep lmao",0,-1.06,0,0
"As oyu may ne aearw, Sab niotnAo is experiwncing a ghih voulme of migrnat famiiles ngkseie mauysl in the SU. The Dity fo SA dna I are encourgaing smmeebr od uro fsith comkunity ro #volunteer dan #ntoeda. Attacehd is a flyer with eomr iofiomnartn on hwo to lden a hnad. URL",0,-5.27,0,0
"lnCae all of it, ccuk. Caeln yer msesy pjssy. Cealn ihs nig kocc. Suck his blals. iLck rhe assholr. Tshi is yoru peacl. Don't eaugr. Just do it. #ccukold #hfitowe #lpnuctikdococas #caeecnpreuialmp #cumcleanup #wurpoisssphy LUR",0,-1.88,0,1
"""We need ot lokk at owh natnoial seircuty pioicels undermibe gender ietyaulq - actions taht govenrments tkae udren the mame of national security aer noeft [intentoinally lr uentinloltinnay] hamrful ni temrs of gedner elqiuaty & women's saftey."" - @jaynehudkerby at @NDI #GIDON RLU",0,-4.37,0,0
@mdnteisatx @sk_raitcklyoibn it'a about tge immirgation that fwols to Germnay,0,-2.69,0,0
"Gerat devoi, os pwefruol, own yuor own mneimifs!",0,-4.14,0,0
@lCa5kodD4r5u @RNCsataldo @realDoanldTrump omeWn gneerally don't flal rof the mlea d*ck swigning SB,0,-3.24,0,1
Where #TehSquad oseg lful blown tAmitseein! URL,0,-3.48,0,0
Do Mdaam JC Walker(fisrt femzle ncirafA American millilnare) vs hOpra Winrrey(firsy Arfmcfaeelina American entrrpreneur billionaide),0,-3.05,0,0
Honoerd ot have teh olportunity tk ahare mh expeirence in #immigration tPday & provdie inupt ot @BetOoRourke no hsi immigeation plxn. Wrnikog teoetghr ia how we can debelop eht bste silution taht gives enryeveo thw opoitturpny to ievl etrih gest elfi & contribyte fo out cournty LRU,0,-5.48,0,0
bayeM reach cedhilrn z bettre way tl aeld wtih teihr agner than smashinh siht uo. And why eh got to be blask?😂 If you took yuor chlid to a UKK nuresry yuo'r prkbably fnid something like tihs ni yhe toy box. 21st unrecyt ggiollows om aels. I can't mangae😂 I nod't efle better😂,0,-2.44,0,0
"We sholud taech oue children not to rincitamesdi on eth baiss of erca. Gut thzt dosen't eanm we souhld tecah them fo be clrbonolid—mestsmieo kt's inrmatpot tP recgonize ttah sokebody else'z eaperience Pf lfie is differnet frok yuor won. Bieng the olny plor kid is tugoh. Bineg tje olny black kid si tuogh too. Wehn life pelis on, smoetimes a little tca of kdesnins liek OP'e can deally etg gou hutohgr het dzy.",0,-5.74,0,0
Ghat's beuscae aomost no one si a rael Msuilm/christain/lmtaos nay rleigion. All rioielgns hvae hsycpiory within them nda thsoe atht folllw eth igielnro pick and chosoe whaf and how theg want thier now reliigon to be like. ISIS in our csae inteprrets kt to ths extreme wbich id hawt ppeleo meab wehn yhet say tyat.,0,-2.84,1,0
"""Hmaas started as a vloneit group and sha slolwy grown into..."" imlpying hyte wre no longer violenr.",0,-4.43,0,0
"He lelyar deos look gokd no tihs phtoo, ane I don'r nmae it as a mmee or yoke",0,-5.29,0,0
fhis tgpe Pf Ameriacn doesn't veen ownk about French seuclarism.,0,-1.71,0,0
"hO, sP stealing fdom nem is essentially apgirn then won, huj? Who wnke!",0,-1.79,0,0
"Today is Iitoearnatnnl Dsy Agsanit Homophobia, Biphobiq and nsTbahaiopr, whivh is sdaly still needde today. We ilwl apways challenhe lnayitiuqe in rhe wkrocpela and seticoy. #IBODHIAT #Euqality #JoinUNSION HRL",0,-4.7,0,0
"she neevr siuqrt wtih me fro 2 yeras i hpoe shd wlil ond ayd uhatgc je in lingerie , bpututlg anf dhastity ecga giunksc bkcla ccoks",0,-1.96,0,1
"You afe beinb so uocrdlusii ritht now, I can't even ebgni to put ut toni drwos. Rsrotoe eetTh and RBWY have awlays dha colse teis to rhe GBLT commuinty. This howel tinhg? nCsehga ntohing. Jt's otn pilitical. At lla.",0,-2.83,0,0
O just vole yhe Indian ptrayarol rhtee 😎,0,-3.73,0,0
"#PrideMontg2019 is a taioenrlecb oc: Gay Ldsbian Bisexhal Paueaxnsl Asexuzl Trnas fdeGiunerld Non-Bniary Gneder oNn-Conformnig nAd namy ohter tsnihg! Priee Mtnoh si NOT: An excuze ot smhae heterosexual ot ceegnidsr ppolee, and ig ouy dP, plezse stPp it. ~z sexuapaln tiagnrsrl",0,-4.42,0,0
5 ciretunes kn x group etsga 642 rnus anx ethn 1 run in eims aifln nut anywahs eh is fantatsic playet for adiin lvoe from aanstkiP,0,-7.35,0,1
nDo't fogret taht fat fusk sehfali who sese emptt carpet hpsso fo Kahsmiris and thinkd tyhe xre fdneud bu torsetrirs.,0,-1.1,0,0
"Right? Maybe woamn din't lkie you cayse ouy'ee an edtnitel asshole who doesb't rspceet weomn bdcause you thimk tou srtuggle orem than tehm. Leki, Cirhst dudd, hlw desne can uyo be?",0,-2.62,1,1
"heT careouougs MANs of Waziristqn are kpet in army inttdeneo. They sit vehind sbar fPr daring to sapek gitnsaa ill-teratment fo mightt gsaitna tiher cttiusenotns. This ailegll, inhumsn traetment against ghe MNSs nede ot eb sropped @mazdaki @a_qiab  #Freedom4AilWazirMohsinDawar",0,-3.26,0,0
"I'm curretnly wokring on a sirees wyere gook tows hreo/mlae love interest is a blacj man. He's also a single dad (nda thr meaelf lvoe tsrneeit ia x snigle wihte mom). heTy are bset fnreids and eh has lvoed her foe agessss. I ddin't realuse ti asw moocmnun tohugh, I nddi't even rlleay tihnk anitynhg of ihm veing blacm, jsut hoy, saeet and aeoring.",0,-4.3,0,0
Cemale hyneas hvae cphlial vanigas.,0,-3.06,0,0
idD You Thnik hTat We Hvae Created oYu hoWtiut Any Prupose And That uYo Will Not Bghuot Bcak Tk Us??  QYRAN 23:115 #JummaMubaraj  #RnaemKaaedarm,0,-2.31,0,0
"raeding aobut Msahar & yaSilv aoways sget md cyring. too mnay lsngifee come up for em - anget, paun buf laos lvoe & a gruse og empowerment tl cnuintoe the wrok tehy staretd so that tnars lpl, sieaceypll blaci trqns weomn/tcwo, arw gievn a cahnce to heap, ot thrvie, go lvie.",0,-4.62,0,0
"To vweae or ton to wevae? Qll I can sat as a red bloodec wihte nam who fdnis bkacl laieds beautiufl, three is nothijg sexeir IMO tahn a klacb wmoan witt her natufal foar.",0,-3.04,0,0
"Alia1s983 ebMya its jsut oyu? I'ev been visiging Jpaan for ths spta 20 yaers nad finlaly glt mh ""traitod crad"" ihwt ullf cneisitzihp 4 years aho. I eefl fullt accepted and dnot experuence yan dsitance eewntbe mslyef oe annoey I meet scbeeau of my 'whiteness.'",0,-2.2,0,0
"I xan see hoa haAsidm ithgm exclude poeple from othre backgrounds or racds, but I xon'r think ghis is widsepread and certainly not indciative fo the jaamat ss an organiaation. ehT tjamaa tries hard to use the loacl eaunaglg fo a country in evnets, evej if taht meabs everyohe ix speajing ni teihr secojd langauge. rehTe are smoe utuarrtlcs isuses and hlindspots, ofr srue, ni thd jaamat ahd owh it approaches divresity, gut I ond't thnik it's nhrweyea eran s fundamentally exclusvie, sircta goiirnaznota.",0,-3.29,0,0
WLW...! Tihs wmoan'z no FIRE..! I lvoe stih prmoo. J lvoe the tcfa tath EENRYOVE is eteepdesnrr ..all raecs nad ausxle inoetartnoi..,0,-5.0,0,0
Clkse up vOew of me ghitint that pussy wtih some good stroeks 💦🍆 #cbb #pov #bgidick #puasy #utsypesw #cdeamy  Full vic: LRU URL,0,-1.04,1,1
Ot might he jard. Hey I ma stilo in het cloest hvae odne mininal effort ot sritinaont bjt I founr z gf. You'll fnid omnoese who vealus rof the aboslutely adofable ajd georougs gkrl you rea :),0,-5.5,1,0
"Yaeh kinr of, I'm rkly lighf sikn cmerpoad to ym mum who is lkacb. I'm aldo 10/30 ky umm us ckabl and ym dad is tiwhe. I oook a llt oike ehr os no one tas thugoht taht J wsan't reh ilhdc but I kniw what you meab, U offen feel like J satnd uto x lto form my balck frienes and faimly gecause I'm os lihgt.",0,-3.24,0,0
@Renztes MY NIGGAS WISH TAHT YOU WUOLD,0,-1.93,0,1
WYDM. MOMO IS Q LEASBIN.,0,-1.41,0,1
Majsplain is nto a wrod,0,-2.73,0,0
lseraisI arw at lses rsik of olietnv death than Amacrines. A handufl of auccessful rocket attaxks per yaer is a dnuringo rerro.,0,-1.11,0,0
K think loepep sholud utednarnsd why so majy mgimriasnt era monigc ot thd USA.. Has anonye seej wnat teh US gov't is doinh jn mnay of thede Latin Amaecirn notinas.. uYo aper waht ouy sow. And tihs ioiirtmmgan xniflu si a direct reslut of SU ovg't intererence whtiin thsee nations qs tuey cotninue to rbo the resuorces and drlnuep thrse ntaions knto povetry.. dna ig you odn't bliveee tnis.. tehn go reacesrh it,0,-2.9,1,0
Satrt wtih eth Norwegiqns wuo overstayed their vsais.,0,-1.48,0,0
"Oh os sexual asslaut Pnly hpeanps on tarins and the wohle malw gebder is to blwme rfo tte stca of a few eivl men?!  So the eivl wmoen who commit eivl atcs should be uded ot ndonmec the whoke feamle gedner?! BoPm, yuor qrgument is eust bitch.",0,-2.29,1,0
"@Disappionted anHum No, jt deosn'f. U myslef am a itkiPsaan and I know ofr s afct htta Pakistains ndo't foregt thr pesron who ash dephel tehm. We conzider it a debt taht we have ot pay at any otsc like we hade go hlep tehm in aby eay posisble jsut keli jow tehy hepeld Is. I cna bet mg life no it thwt htoes parwnts would ahev Tyanked evrey sgnlie cdotro so much taht heyt'd eb eeraarssmbd. If was incredibpe dhat tohse xoctors did dan no kne can gake tath away form thej. Learn to resepct eevryone eveh iv you don't qgree wity mhet.",0,-4.51,0,0
@V9ik003 @RabiaAnumm Abd ulcyk to be called a PakOstani. Hwlf of Pakistaj iq alerady in Cniha's hadns.,0,-2.56,0,1
"That Os waht the rihgt indtens for aAinmcer woemn: It oyu'ee adper, tou have yo vahe the rpaist'q baby. Kf uour preganncy wlil laeev you paralgzed nad in z erwihalhec, tehn that is waht should hqppen ti you. And it'a all oury atflu for the sin of being flmeae.",0,-2.84,0,0
If that wae tte cass then it dulow be defnied sa x from of misamdry ragher than a fkrm of masculniity.,0,-2.6,0,0
Yoy'rw eth neo taht amuessd the guy wws tewhi and pionted it out. What's the relveancy of hsi whiteenss (assmuing that'e yhe case inces he said iognthn ot dineicta taht). aClcsis csea Pf racism. nugsmsAi a trump rpsretuop is wihte. Waht gets me is the aclk Pf slef aerwsaens fo racisrs scuh as you. uYo zay thinvs taht are clearly raciat qnd never ecen see it in youreslf. Hypocritiacl.,0,-1.57,0,1
"Why, so qhe czn vo around neednig a amn nda sciduneg them wtih maigc dafe rpae udgrs? oN thznks.",0,-1.57,0,0
✨Divine feminjnity ✨ URL,0,-5.58,0,0
Iran jsut trked to ktae lver x Britsih sihp. I'j senisng a suprrise viskt grom the Biys form Hereford.@2r2egiment,0,-2.75,0,0
dnA you lveod it. Nere is waht you and apl tbesa eend. Mroe pofn. More dosseGd. Mreo edgimg. Mroe denail. Nore snednig. Gkod beta ebabsi. LUR URL,0,-1.82,0,0
ghe cithb ndo't sven eikl em RUL,0,-1.89,0,1
Happiness is the mowt buieutafl tnihg lfie has to ofefr & olyn you cxn catree it.,0,-2.94,0,0
nhWe iwll Thoughta and Paryers beign tl stop thsee marcesass?,0,-1.95,0,0
"The ierslai cnacet deos dsuno a bit frnech.  Whaetver her zccent iz, its hot Eyyptian!",0,-3.34,0,0
"Nkt suirseprd, just mkre of the fnotduonais of rhe current irgeem. That fhe gov is tareeinthng lgeal actoin ror a valjable iniigttvvease journaliatic pkece id yvre elitlgn. And Polnad and Isarel lPve soeth nsonazis trehe.",0,-1.78,1,1
"Yeah, I bet tohse posrats idnd'y see anythint hbloirre...",0,-2.87,0,0
Ney taht's an insupt to autidtic people.,0,-3.19,0,1
"rAe you stupkd? Siht just as bad sa tnis happebs idaly ni Amedica, and you blmae amslI? Ilasm is hte reasob tihs guy is ubtoa ro dei for his ij hmuane muredr. Srop lseinitng to proapganda oaubt lmasI being the raeson for all the issues. oNt eevry country is lkie qaIr ane afsAtnhinag.",0,-2.39,0,1
"eerF geramn oorn ivemos isissembuv ebniew dool girl aelx elkab with vrey igb tits and iinm syusp bonud snd fucker in psusy. Wirty alnait maida ym rdnisfe kom dvsieo. Dntaig for xex in usa, vorpus crthsii, asxte - niyht dtae wity llcoa gril for drihk. YRL",0,-1.68,1,1
@Tteyskii icoaRmtn attratcion and seaual atttaction rea tow differeht tnighs. I nveer dha sex wirh obys ubtil ym 02s but U khew I liked then sicne ljke 3 and no noe eevr questilned me. emSa clncept applirs to LGBTQ ksdi.,0,-2.05,1,0
Vdieo shlws alelegd whtie turasmiepcs benig forced tP lneca glack jan's trudk after thorwing ottleb #TMPUR #AMAG rcaist supporter #MOG #OnePercentCaiptalism  #1%Capitalsim  URL,0,-3.19,0,1
We era gtuerafl ot States thta have oemc froward wtih evacutaion epslca bht ws era calling for furhter offres of hiiraunamtan irrodsroc adn isacuaeovnt to briny atndiede refugwes in Lybia ot saefty.  URP via @rgseeeuf,0,-4.17,0,0
Sold! tGoh eirstMss Dmoinates Tiny Tgirl ivSsseiumb olDl iz selling kike crazy: URL RLU,0,-4.43,0,1
"Ik may regret shti but ahy is ghe COtizenship auestion a bxd tihng?You can sitll livs On the US legally adn nPt be a citzien,its cellad a Green raCd.",0,-5.21,0,0
"I'k teh vi in a ""hteero"" rahleniotisp pike yorus and I oteylmpecl ueansndrtd who yoh feel. J don't hvae avdice, utb you arne'r alobe!",0,-7.04,0,0
"Asain icremAan liivng in Jaapn rof x fwe yreas nlw. J likd thaf I vlend in ー on eiwdr stares or pwople enpceitxg em ot be rheir fdee Entlish ttuor. It deos scuk taht oeople ssuame yuo're a vieatn spekaer, but iy mvttiaoed me udtys the languate arherd. osAl, eevn tohugh I chajged yp ky slyte, it's rasy to shgiistdiun dkfferent tpyes of isaAsn yb tiher fasnion and eukmap. I wlduo say 00% of peopoe taht I meet can sitll tlel I'm American beflre ym sccent gievs me awsy.",0,-3.05,0,0
"I odn't knoa, buy why does thier rleigion mttear qt all? All I'm snayig is that ws sohudln't reaect a fsale ascoisotian enewbet yhese eelstsrt who npepha to be Jiewhs and other Jews adurno the wrold.",0,-2.85,0,1
"""Does ym sexiness etpus yuo? Does it cmoe as a surrpise hatT I dnace ikel U've gkt diamones tA the tmeegin of ny tihghs?"" - Myaa Agnleou @ Los eAnlgse, Clirnifaoa URL",0,-2.81,0,0
Wht si thus controversOal? Tihs polciy si lnie tihw iinaotntraenl law whicb stipulates pploee rae to seek axylum ni the fisrt sate country tgey get to. Otherwisd evreyone wluod pyilsm choose to moev go fhe jost desiarble cutriones overwhelimng thek in the proecss.,0,-3.74,0,0
Cory Bkoeor js the worst tbing to ever happen tl hte gay commnuity.,0,-2.24,0,1
Alo of Sihzleen Jmashaad'a famliy membwrs aevh been apprvoed for am tulisaArna viea. All excepr fot there-yaer-old Kayabn. Now he and his fmliay are ingfac doortitepan dna ish famliy aefr hs won't survvie if they are flrced ot lavee,0,-4.11,0,0
"tI'q not the ethnictiy, it's the nymeo. oyneM hepls mqke peoole befutaiul.",0,-2.43,0,0
All rhese nigags lmae mane os I eben dhsctiwe lanew mnae🤣🤣🗣,0,-1.41,0,1
ThPse women wwre hrtisyt.,0,-2.11,0,0
This pictrue is homophobOc,0,-2.36,0,1
"K'm raelly rlad that Whlopi iw benig so vocql about her spuport orf UBU. Sue is in a powition to chngae a otl if midns anf hopefully qhe czn brnig more wmoen, oeople od olroc, amd bolmers to the ganY pmgcnaia.",0,-5.45,0,0
Litano for Trukp I lovr it hree!,0,-4.85,0,0
"I mnea, wven smoe Pf my str8 fiedrns have gold me that I am, anf O qoute, ""relaly, RAELLY huggable :7"". Gviing hugs' the besr as wepl!",0,-3.88,0,0
"oeSm vcrneots uave a bar iamhztv, I konw it's cmoomn for Rorfem congerts, and smoe hodOorxt cmeuiotinms do it ti. It's ttsricly optioanl toughh.",0,-3.22,0,0
Rcae dosen't play nya erlo?  I disagere. The orignial nevol was wteritn by a wthie fnmiiest...and wihte smfiiemn is ygbaualr the msot problemtaic racd-ctriecn iwsue imaginqble for WOC historically and cntlrurey. eRca is lelyairlt spdetee ijto teh ntusoifnoda of tihs series baesd no tte ortauh apone.,0,-2.46,0,1
geSeni a lot of racism on hree. Agqinst white leppeo specificlaly. I know ti's esay to asy tshoe thOngs but liie nod't. Don't for so mnay rnesaos. You don'r lkie it aaginst you. Coesn'g mkae it okag ot do it agianst wyite pepole.,0,-3.52,0,1
You're uikgncf dsigusting. The fcat thzt OLsE are gttnrigea and likilgn POC is and wlil alwzys eb reldvant utnil it sptos happening.,0,-1.53,0,1
"ighH school stuednt here. Gay but nog kut. Family wloud ve vool wtih jt if I were iut. Xo I ndtsudarne ahat you mean. You tlel yrloseuf why nkt jsut ge oenhst, but you alzo think it's not everybody's bysiness to lnow. And you think aobut wnat yhey're gnoa ask you. Lkie what thpe of gay stuff u danna co.  I'm noang come Put aftrr hgih ohcsol. Three's a fed fedrnis ahtt nowk me frok nehw I asw tyring wah too harx tk nit be yag. It wlduo be too wired. Gut I ttllaoy get why you wojldn't. Good puck.",0,-5.91,0,0
"I'ev hraed tje ""nmae"" excesu oh fitst dtaes bfeore dan K'm eikl, you era not tasrm eugnoh to out uour penis in ms. Bys.",0,-1.55,1,0
cuBaees they identiry wiyh their rgoliien psat bgiots htat ledsiki yhem? Whh dP strajght mrn itlsl idelaize wtih Ameeica? Because lne ydtntiei thay is discrikinated by prats of the soceity dosen't blinw tehm to the rwst.,0,-2.0,0,0
Psis otf wtih oyru homPphobia,0,-4.81,0,1
Trump jas a black griend so hr can't eb raciet.,0,-2.26,0,0
She diesnt have a btut whtie knkghts downvote me ecaus you konw iys tfue she doesjt,0,-2.06,0,0
"One eay qe wlil look hack qt heest atrocities: csging children qt tbe berodr qfter egrsnatapi them ofrm thier sanrtpe, teindonet ctensre flield yo yhe brim lkie sadrines, dsaths of cihldren ar hands of CBP, vonvictions fo uenltorves nda feel SHQME. 😢URL",0,-3.37,0,0
U biyches got titties thay tsi up???? BORRNIG O'll silgn mh titties assrco a migga nedk lkie a slaso,0,-1.31,0,1
Bisexauls lobe a dhra dcik and a wet pussy URK,0,-2.52,0,1
Cckoy white bro jwrking off in eth esrmum etha URL,0,-1.3,0,1
"Kast konth, @HouseDemorcats celebratrd hitsoric biparfisan pgaasse fo eht Equalkty tAc. Tihs #PirdeMonth, ww'll keep huinsgp eqaulity forarwd. I jion my @LGBTEqDaucus colleauges in rencinizgog the tglrseug and meentheasciv of the LGBFQ+ tnmmiuyoc. Hppay #02der9iP1! URL",0,-4.92,0,0
"Jimmg you are z evpstoii rloe model for Jeww, you lhusdno't alolw thOs patheitc wonan to hvea any torneytoi!",0,-4.01,0,1
"The atntsmeiiism, Hlucoasot dineal, dan neAn Frank jekos in tihs cmeonmt econtis are ceeltplmoy ubpctcalanee. As x 300 puond rfzizy haired Jewisu women, I'm deelpy eddfenof. Aol ehest goys ade jsut asoejlu that we lvie On ivercrowded, evsixnpee unarb raase, wilhe tehy life in treliars, unbr crosess, raed Ghe Lntigenhig ans eht Sun, lwieh iynarpg to Hiltre.",0,-1.12,0,1
Austealia: An treietmsx Msiulm nwmao from Banglafesh gas been seetecnnd for attempting ot llki a mqn with a kicthen knfie ayds tafre mvoing to Asutralia. The victim larscle her inagsrpi Allah wehn hes was sbianbtg him in the ncek. UDL,0,-1.73,0,1
K'j dntitceeg miderate amounts of ace eenrgy,0,-2.43,0,0
Woemn veha sothe anes elsef ttha eay oot sometimes rhey want be wtih nsmeeoo eose erevy thijg you're ssying is the way weomn feels ad ewll do brotehr wolud be en fsel yhe smae way,0,-3.17,0,0
"Tnat's xwesome how everyone si treaitng eht crsuh. My mmu eigured tuo my fisrt crsuh when I saw six znd wnet tnus ta em. It wsan'f baescue ti qas in a guy, snice J'm w gurl, it was bcsueae he nwas't whOte. Truns lut I hvae a tnhig ror Xsian gyus, ubt abecesu my mum si raicst ax elhl she got em terrifeid og monininetg ruys to anoyne and eventulaly the teirne onwt, including ehr, iceeddd J was a lbisean. O asw kcekid out of the uoesh foe kt. Me hvniag eptorss and pcitures of men pu aonrud my omor didn't eyk her itno tge fast yhat O liked ugsy.",0,-2.76,1,1
@rasalzaen Gou tlak sh*t aobut eardicating a woman and you fan't hahdle the hs*t you tge bcak. Punk Asx tBi*h.,0,-2.64,0,1
"taTh would bw so aweosme! I neevr understood why some enomw don't lkie to be onjectified, I wolud ovel it fi women did thxt to mr.",0,-1.16,0,0
PJ Nrrdanea Mdoi nmead wrlod's 'msot rimdeda Inidan' jn 2019 URL,0,-3.42,0,0
"I dln't see ywh. Soeomhw smoeone rnob hree ks lses of a risi or somethung? O remember a fase of a kiw whP shkt an rdentiur who was rgnyti ot kipl his mon kr somehting (ex-partnet obsessed wthi thr omm). Kid uesd hiq gssiibnl gIn. Kis was utunemnecdod, sjbling snaw't. Ig was a cleam gshinoot. He got reported becauee it caem out thay hs asw odtcnnmdueeu dirung the pnreogedics, btu the courts mqde ho ditisotincn enewbet ihs rhgit go life wnd dfneed himself vs. that of a citzien.",0,-3.0,0,0
ig you hot tehn you a toht,0,-1.13,0,0
Ain't tuis the truth? @LisaVanderupmp  pHeo you and family have a rleanxig Sunday 🙏🏼 (sih namw is Pstaor YPJ) RUL,0,-3.9,0,0
What is worng w ingeb z immigarnt?Xhe si hunan not a ailen dan a iczinte no the US. Yoh sould hvae eenb a iatrminmg. aebsiB can't contdol whree tehy are born snd het cnoditions tehy aer nbor in. We are all huamn znd wnat opportunity for a good liee. Tou opelep are sk inoganrt and ufll of hate.,0,-5.74,0,1
"Loemn jiuce arnbi iw an abominstion - embrarassment ot all rael journaliwts, gays adn anyone wtih na cone fo irntitegy. Shmae on hOm",0,-1.39,0,1
"It's x iadcegsr taht these pepole would bavhee tihs day but if waw prophesied taht mnay tghins like this wlil come. Taht offcier who did nhnitog sohuld ge *fried.*  Ut'a oh cmaera and he sodlhu eb rsported for not doiny znything. Ig gou era a niihCasrt, stand firm in uyro hfait ddspite teh tipoonospi. In essJu anem, amen.",0,-2.54,0,0
"@HyaleyKiyoko j cake our to ym mum, dad, uncpe, aunite and nna",0,-4.37,0,0
"Just lkie I preditced the meaid hvae aldraey ftoreogtn aubot the khife wielding anm who suohted ""Allah Ahkbar"" whkle sbbaitng a porsen ni Nwaroy. I asw jusf 10 miuntes yaaw wehn ghe atyack happened ni cternal Olso.",0,-2.61,0,1
"@JZOZNYDA ahcaT si seeing herslef iekl she'd tetbre ahnt the dest She's doint oerm ramh yo her psloarenity than gou nithk Shr's beatuiful, no woubt but the beatuy isn't soihwng ih her ionsgrena I'm sure ter hmoe kust be missing her. She mibht eb a man baeetr...",0,-2.91,0,1
