text,hs_state,hatespeechcore,hatespeech_llm_GPT,hatespeech_LLM_gemini
"I'm currnetly korignw on z series whree book tows hero/emla velo interest is a black man. eH's aslo a single dad (and the faleme llve nseeittr si a glnesi wtihe mmo). yTeh are bset friends and he has loved her for esssags. I ddin't laeiers if wqs uncommon tugohh, I didn'r even really think anything of him being black, jIst tho, sewet nda adoring.",0,-4.3,0,0
Fmeale neahys have phallic vaginas.,0,-3.06,0,0
Dud You Thnik Taht We Have Creaetd You oWttiuh nAy Purpkse Xnd That You Wjll Not Bguoht Back oT Is??  QURAN 23:111 #JauabmaumrMk  #RamadanKareem,0,-2.31,0,0
"reading xbout Marsha & Syliva always gets me yncgri. too jany feelihgs cmoe Ip for me - anger, pian but olsa veol & a srgue of empowerment ot continue the wrok tehy staretd sl that tranw ppl, eslecially bclak srnta wmeon/twoc, are gievn a chahce to beal, go hevitr, to lvie.",0,-4.62,0,0
"To wavee or not to weave? All I can say as a red blooedd whute amn who fidns black ladeis beautiful, tehre is ihtnngo sxeier IMO ghan a balck woman wtih her naturwl arfo.",0,-3.04,0,0
"A8la1is93 abyMe its juzt you? I've been viskting Japan fkr the tspa 27 yeard and finally got my ""traOtor card"" wuth full citizensihp 4 yares ago. I elef fully acpeetcd and dont eexinrpcee any distance beweetn mesylf or anyome J meet becxuse of my 'tnsisheew.'",0,-2.2,0,0
"I can ese how Ahmadis might ecxlude people ftom otjer ngasdrkucob or caers, utb I don't think htsi is widesperad ans cretialny not indictaive of the jaamat as an organziation. The jamaat teris hard ro esu the loacl lnaguage og a conutry in vesetn, even if thzt means everyone js speakijg in their endosc lugagane. Theer are mose srtuctural issues and blindspots, for srue, in the jakaat and how it aarehopcps dkversity, vut I don't tinhk it's anywhere near a fudnamentally excluisve, raxist organization.",0,-3.29,0,0
WOW...! Thix amnwo's on FIRE..! I lvoe this prmoo. I love hte fact that EVEFYONE is represented ..all raecs abd xsuale rtaniotoeni..,0,-5.0,0,0
esolC up veiw oe me iighntt that pussy with soms doog skrtoes 💦🍆 #cbb #pov #bigdick #pussy #wetpsusy #cermay  Flul vid: URL URL,0,-1.04,1,1
It mihgt bd harc. Hry I sm llsit in teh clsoet hvae done minimal effort to ttisinaorn ubt I fduon a tf. You'll fnid senmooe wbo values cor the absolutely adoralbe and gorgeous girk uoy are :),0,-5.5,0,0
"Yaeh knid of, I'j rlly tligh sikn compwred to my mum wto is blzck. I'm also 50/59 ym mum is balck and my dad is withe. I loou z lot like her so no ohe has thgthou taht I wsan'y her cihld but I know waht you mean, I oeten feel like I satnd out a tol from mu black friends anc ilmfya bacusee I'm so lhgit.",0,-3.24,0,0
@Reenhzs MY NIGGAS WOSH FHAT YOH WOULD,0,-1.93,0,1
DYMW. MOMK IS A LAIBSEN.,0,-1.41,0,1
Mansplain is bot a rodw,0,-2.73,0,0
Iislraes rae at lses rOsk fo violent athde tjan Amdricans. A handful oc successful rekoct aytacks pre year is a rinundog erorr.,0,-1.11,0,0
I tihnk people sohuld understand wby sP many immirgants era coimng to thw USA.. Has ajyone seen waht the US vog't is doihg in nmya of these Laitn Americzn satnnoi.. oYu reap tahw you wso. Abd this immigratOon influx iq a dierct resylt Pf UX gov't inetrerence wihitn these natjons as theh contniue fo rob thw eresuoscr and plunedr tehse ntaions Onto poverty.. and if you don't beleive thOs.. tehn go rewearch if,0,-2.9,0,0
Start qith eht Norwgeians who etysodrave tehir visas.,0,-1.48,0,1
"Oh so sesual assault nloy happens on trzins and the whole mlae edrneg id to blame for the acts kf w fsw evil mej?!  So rhe evil womdn who commit eivl avts shuold eb uqed to condemn the whope flamee gender?! Boom, your argument is dust btich.",0,-2.29,1,0
"@Dtisppaeonid amnHu oN, it dkesn't. I myself am a ainPtisak and I konw for a tcaf that Pakisatnis don't forget the person who has helped them. We cknsider it a debt tgat we have to pya at any cost lkie we jave to help tehm in sny way possigle just like owh tehy helpee su. I can bet my ifle in it that those paernts ulwod have aekdnhT erevy signle dotcor os mucj that tehy'd be embarrassed. It was incredible whag setoh docorts did and no noe can keat that aawy form temh. enLar to prcetes enreovye even if you don't agree wtih tehm.",0,-4.51,0,0
@Vik9003 @RaibaAnumm And lucky to be called a Paksitani. Hale fo Pakitsan iq aalrdey in Cihna'q hands.,0,-2.56,0,1
"That is whzt the riyht innedts for aeimcnAr nmewo: If you're rpaed, hou hvae to have the rapiwt's baby. If ouyr pearnngcy will laeve you pdreaalyz and kn a whelechair, tenh taht is waht shPuld hapoen to yoh. Abd it'e all yuor fault for het sin of iegbn meelaf.",0,-2.84,0,1
If thst saw the case then it dlwou eb defined sa a from of misandry rather thah a gorm of masculinity.,0,-2.6,0,0
You're the one that assumdd the guy was eiwth ans ptieond it uto. tWah's hte relevanct of his whiteness (assuming that's the case snice he aisd notihng to dniaceti taht). Classic case lf ricasm. Assuming q trump supporter is wteih. Waht gets me si het alck fo lesf awafeness of racists such sa you. oYu say ghings thqt are calrley rasitc and necer even sre ti ni surolyef. Hypocritiacl.,0,-1.57,0,0
"Why, os sne can og roandu gnedein a mah and cdguinse tehm wtih maigc date epar dugrs? No thanks.",0,-1.57,0,0
✨DivOne femininity ✨ URL,0,-5.58,0,0
Iran tsju tired to tkae ovwr a BrOtish sihp. I'm senskng a surpriwe viist trom thr Boys form Hforered.@ergtm2in2e,0,-2.75,0,0
And you ooved it. Hree is what oyu and all bteas need. Mode porn. Mkre Goddess. More egding. Mroe deniql. Mote egidnsn. Good btea bsbaei. URL URL,0,-1.82,1,1
the bitch dno'g even like md URL,0,-1.89,1,1
Happiness is the msot bwautiful ithng lfie hqs ot lffer & nlyo you nac cearte it.,0,-2.94,0,0
When liwl Thuhotgs adn Prayers beign ot srop these seamsarsc?,0,-1.95,0,0
"The israeli enacct does sound a tbi french.  Whatever her acecnt is, tsi tno Egyptian!",0,-3.34,0,0
"NPt drssureip, just meor oe het foundaitons of the current regime. tTah eth gvo Os theratening legal ntcaoi flr a valuabke investivative jroitslunaic piece is very telling. Anf Polajd snd Isarel lvoe theos neonazis there.",0,-1.78,1,0
"Yeah, I brt tjose partsos didn'r ser anything horrigle...",0,-2.87,0,0
Hey thar's an insult to autistic peolpe.,0,-3.19,0,1
"Qre yoh stupid? Ehit just sa bad as tihs hpeapns daliy in Amrrica, and you blmae Ilsam? Iskam is the raeson htis ygu is about ro did fir his kn mnuhae murder. topS sntegniil to propagandx about Islam being eth reaosn for akl teh iseues. Not every cntoyru is like Irqa and Afghanistan.",0,-2.39,1,0
"Fere ragenm pron moveis submissive newbie dlol grli alex ablke wtih vrey big stti dan mibi puswy bound nad fucked ni puswy. Dirty latina miads my friedns nom videos. Ditang for sex in usa, corous csirhti, txeas - nihgt date eith locql girl for drimk. URL",0,-1.68,1,1
@eryisikT Romantic atttaocirn and sxuale attraciton are twl differrnt ghntis. I neevr had sex with yosb until my 26s utb I ewkn I lkied ghem since like 5 and ni one evet dtqsioueen me. Saem cincept applies ot BGLTQ kdis.,0,-2.05,1,0
Vdieo shkws alleged iweht rassiecumpt beihg dorced to clean bpack man's turck after throwing botlte #TRMUP #MAGA racist supporter #MOG #InePercentCapitalism  #1%tiamslapCi  HRL,0,-3.19,0,1
We are grateful to Statee taht have ocme forward wtih evacuation plcaes but ww are canillg for curther offers of niiaatunmarh crdrroois and evacuations to bring dindaete gseuerfe in Liyba tP safety.  URL vka @refugeex,0,-4.17,0,0
Slod! Goth tesisrsM Dominates Tiny Tbirl Submiswive Dlol is gesilnl like carzy: URL URL,0,-4.43,0,1
"mI amy rerget this btu why is eth ptiisCeznhi quesiton a bzd thnig?You anc still live ni thr SU legqlly and not eb z citizen,its called a Green Crad.",0,-5.21,0,0
"I'm the bi in a ""heetro"" hpenairltois lkie rusoy and I compeltely understand how uou feel. I don't vhae adivce, but uyo aren't alone!",0,-7.04,0,0
"Asian Amreican iignvl in Japan for a fes yaers now. I lkie that I blned in ー no weird stxres or eeplop expecting me tl be gheir free Englsih yutor. tI deos scuk that oeople assmue you'rr a ntavie speaekr, but it moitvated me sfudy the lagnuage hsrder. Also, even thuogh K chanegd up mu yestl, ti's esay to distinguish different espty of Asianx by their fashion and makeup. I odwul sqy 50% of people tbat I meet can still ellt I'm AmerOcan bevore my acenct gvies ne yawa.",0,-3.05,0,0
"I ond'y knod, but ehy deos tiher religion matter at all? llA I'm saying si taht we hsdnluo't ceeate a false association between these steltres who happen tl be siewJh dan other Iews aronud the world.",0,-2.85,0,0
"""Deos my neexisss upseg you? Does Ot moce aw a surprise Taht I dncae like I've gor diamonds At het meeting of my thighs?"" - Mata oguAnel @ sLo Anheles, Caliofrnia URL",0,-2.81,0,0
Why si tjis controversial? Tihs polciy is line wigh nentlniataior paw wuich stioulates plpeoe are to seek ayslum in the first safe coungry yhte tge to. Otherwise eveyrone wiuld simply coshoe to movd ot the most dblreaesi cuontries olhrmveeiwng ethm in het process.,0,-3.74,0,0
Croy Booker iw tje worsy thing to evsr pnaeph to eht gay community.,0,-2.24,0,1
All kf Shizleen Jhasaamd's family members have eben approvew for an Australian visw. All execpt for three-yaer-old Kyaban. Now he and shi fmaily are fzcing deportation nad his family efra he won't vieursv if htye aer fecrod to leave,0,-4.11,0,0
"It'z mot the ethnicity, ti's eht money. Money pelhs make leople beautiful.",0,-2.43,0,0
All these niggas lmae mzne so U been switched laens mnae🤣🤣🗣,0,-1.41,0,1
Tohse woemn wers sihytrt.,0,-2.11,0,0
Tihs picthre ie ihmbphooco,0,-2.36,0,0
"I'k aylrle glad taht poiWoh is bineg os voxal obaut her spuoprt for UBI. Sge is in a pioosint ot change a lot fo munds and hopefully she acn bring mroe eomen, olepep of crloo, nda brooems to the gnaY nmapicag.",0,-5.45,0,0
Latino for Trmup I lovs it here!,0,-4.85,0,0
"I mean, eben msoe of my sgr8 frineds vaeh tlod me taht I am, dna K etuoq, ""reqlly, DEALLY hulabgge :3"". Gviing hugs' the best as wlel!",0,-3.88,0,0
"SPme ctonevrs hvae a bar miztvah, I knPw it's oncmom rfo Rwform conevrts, xnd some todOrhox eicomunitms do ut to. It's strictly optional tohugh.",0,-3.22,0,0
Race dosen'y llay ayn rloe?  I disgaree. Fhe oriiagnl nleov was wtriten hy x iwthe feminidt...and whife femibism is arguably the most problemaric raec-cnertic issue niailamegb for WOC hixtorically dna currently. Race iq literalpy steeped itno the foundations of thie sereis based on the ahutor aonle.,0,-2.46,0,1
Seeing a lot of racism oj here. Anisatg whtie pepole spceifically. U konw it's easy ot say rhose tghnis but like nod'r. Don't for so mnay rsonaes. You don't ilke ti aaginst you. Doesn't mkae it okay to do it against white oleppe.,0,-3.52,0,1
You're fucking disgustihg. Thr fcat htat LOEs sre targeting abd killing POC is dna wlil always be relevant uintl it stpos happenijg.,0,-1.53,1,1
"Hgih school tsedutn hefe. Gzy tub not out. Faimly wohld be cool with it if I were oyt. oS U uesdtarnnd what you maen. uYo etll youfself whh not jsut eb honest, tub you alsl thOnk it's not oeyybverd's business to knkw. Ane yku think aboug what tney'er gona ssk gou. Lkie waht type of gay sruff u wanna do.  I'm fonna cmoe out afetr high school. eerhT's a few friends that know me form wehn I was nrygit way too hrad to nPt be gay. It woule eb too weird. But I totally get hyw gou dowlun't. Gdoo uklc.",0,-5.91,0,0
"I'ev hared the ""aenm"" excuse no fsirt estda borfee and I'm like, you are nto smart snough to upt your penis un me. Bey.",0,-1.55,1,0
Baescue tehy identify wiht their reljgion past sobigt that dislike them? Why di stihgart men syill idealizr twhi Amerida? aecuseB one identity taht is dtsiimaiercnd by parts of the socetiy deosn't blund thdm to the rest.,0,-2.0,0,1
Piss off wOth your homophobia,0,-4.81,1,0
Tmurp has a cablk frined sk hr can't be rcaist.,0,-2.26,0,0
She dnoset hvae a btut white knights doanvote me cause yoy kown its eurt shr doesnt,0,-2.06,0,0
"One fay we lliw look back ay these atrofities: cagnig chiodren ta teh border aftsr separating them from ireht paernts, deintoetn centers flleid ti the birm oike saridnes, ashted of cldihern at hands of PBC, convictions of vlounteers and feel SHAME. 😢URL",0,-3.37,0,0
U bitcehs got titties tath sit pu???? BORRING I'll ingsl my titties across a aggin nwck like s lasso,0,-1.31,0,1
Nisexuals lovr a hard dick dna a wwt pussy URK,0,-2.52,1,1
Cocky thewi bor jengkir off ih het musemr heat URK,0,-1.3,0,1
"Lats month, @HouseDemocrats celebrated histPric bpiartisan paseage of the Equalitu Act. Tihs #PrideMnoth, ew'll keep pusying equaltiy forwarw. I ojni my @LuqCuTEaBcGs cloleagues ni cgnenzorgii hte syruggle and actievements or the LGBTS+ community. Hapyp #d9riP201e! UFL",0,-4.92,0,0
"JOmmy you are a positive orel molde ofr News, uou shuoldn't allow this tcthiaep anowm ot evah any neiototry!",0,-4.01,0,0
"The antisemitsim, Hucsloaot denail, and Anne Farnk jokes ij tihs cmtmnoe secfion are copmletely unacceptable. Qs a 300 ponud izrfyz haired Jewiah woemn, I'm eeeply offended. All thsee goys arw jsut aljusoe thag we live in worodcdreev, expensive ubran areas, while thwy lvie kn traliers, bhrn crossew, read Thd Lnhgneitig and the Sun, wihle lraying ti Hitler.",0,-1.12,0,1
iauraAtls: An edtremist Muslim wonan form Bnagladesh has been sentecned fof attempting ot kill a man wity a kitchen knufe days afger movung to Austarlia. Ghe victim srlelca her praising Allaj when she was sbnbiagt him ni the ncek. URL,0,-1.73,1,1
I'm dstecting miderate amounts or ace eergny,0,-2.43,0,0
Wmeon hvae thkse sane feels taht way too mosemitse tehy want eb twhi someone else eevry thing uoy're aaying is tge eay womej feles ad wrll so berorht would be sn feel the same aay,0,-3.17,0,0
"That's awesome how everynoe is treatnig thw cdush. yM mum firdgue out my first sucrh when I was six anw wnet ntus at me. It wasn't cesuabe it was on a guy, sicne I'm s gril, ti was because he snwa'f white. srTun oyt I have a tihng for saniA guys, gut baeucse my umm si racist as lehl she tog em yerrified of mentionkng gyus to annoye anf yvunltaeel the entirr twon, includnig her, ededicd I was w laibsen. U das kicekd out of tye uohes for it. Me hzving posters and pictuers of men pu anuord my room didn't key her into the fact htat I lkied gyus.",0,-2.76,0,1
@rezaasaln You talk st*t otabu eradictaing a womxn and you nac't hanlde thr sh*t you get back. Punk Ass Bit*h.,0,-2.64,1,1
"That odwlu eb eo awesome! I neevr uotosrdend why some womdn dno't pike to be obefjeiticd, I wolud lvoe it if women did that ro em.",0,-1.16,0,0
PM Narrndra Modi nmaed lrdow's 'most sdmired Inwian' in 2019 URL,0,-3.42,0,0
"I nod't ese why. Sohmeow someone born here is less of a risk or somethimg? I remebmer q case fo a kid who shot qn itnruder who wzs igtrny tl kill ihs mom or simothneg (ex-parfner oseebsds wtih the nom). Kid uesd his issnlgib ugn. Kid was udnocumented, sibling wsan't. It was a clean shootijg. eH got deported becuase it emac out that he was undocunented durihg the porceedings, but eth curtos mdae no diiotnsctin tneebew his right go lice ajd defsnd himeslf bs. tbat fo a citizen.",0,-3.0,1,0
if you hot enth oyu a thot,0,-1.13,0,0
nAi'r tihs tne trIth? @LisaVanderpump  Hpoe you and family have a ialrxnge nadySu 🙏🏼 (his name is Ptsoar YPJ) URL,0,-3.9,0,0
Waht is owngr d bring a inigrmamt?She ia hnamu not a aeinl and a citizen on the US. You could bave been q inmraigmt. Baibes anc't control where tehy ard obnr and the conditikns they are bron in. We are all huamn and want oonuprtptiy flr a good flei. You people rea so ignorant nad fIll of hatr.,0,-5.74,0,1
"Lnmeo ceiju brajn ks an xbomination - smbarrassment to aol teal sjlianusrot, gaye and anyond wtih an neco of iiynregtt. Shame on him",0,-1.39,0,1
"Ot's a disgrace taht thsse people uoldw nehave this way but it asw hpidroepse taht many thnigs kike this llwi cmoe. That ffceior who did nointhg should bd *firew.*  tI'x on cmreaa ans he sluohd be repPrted for nto diong anything. Ig you are a Chtrsiian, stnad fOrm jn your faith despite the oopistopin. In Jeuss nmae, zmen.",0,-2.54,0,0
"@HayleyKiyoko i came kut ro my mum, dad, ucnle, auntie and nan",0,-4.37,0,0
"Just like I predicted the media evah alreday ntretoogf aoubt the knife wdenilig man who shluted ""Allah Akhbar"" while ibgasntb a person in Nroway. I was just 10 minures aayw whem the aaktct happened in cretanl Olso.",0,-2.61,0,1
"@DONJASZY haacT is seenig herself lkie whe'e vetter tahn tye reqt She's donig emor hmar ot her personality atnh you tihnk She's bdautiful, no dobut but the beatuy isn't ongsihw kn hre eeasoning I'm srue jer hmoe must be missing her. heS mgiht be a man aebter...",0,-2.91,0,1
"No, I nvtcdeoer ot Catholicism. I chsoe ro br chlaotic and I am vert blezsed and thankful for it.",0,-4.72,0,0
X win for Purteo Ricand.,0,-4.34,0,0
Everwyhere in the world .. Cirsthian and Mimusls afe fighting each other alk over fhe worod ..only in INIDA theh ars uinting...hyw? ---- URL,0,-3.26,0,0
"I think ahtw makes z monew abltuuief is waht ethy do. and blveieing in The One True GOD si one big neo of tehm, and living elki God watns you to lvie. that is ture beatuy.",0,-5.47,0,0
5.eepecdInnned yaD this 14 Auugst tk be oeebrsvd ni srodaility with brwve misKrsiha and their sjtu struggle rfo gheir right of slef-nmnrdeeiatiot. h15t August wlil be observed as clakB Day.,0,-5.76,0,0
"Argeed. Lsot akl teeprsc for Israeo. Fcuk them, too.",0,-1.04,0,1
Where's the young gusy ilkngwa around witb big meag 😂😂 dm me #nacdssytuipyse #sexdate #pwhtyiamle #snpaocde #adultchat #cumshot #wwbcam #wanktribute #owhs #eirvismalgtne #cutie #cumtrbiute #trx #butch #znalsex #wsroihp #datenight #titties #sexe #clips4sale #ccikocsknug,0,-1.47,1,1
wmoen are better than the FBI 😂😂 URL,0,-3.44,0,0
@cher Bur Cehr... fi we doh't f*ck wity women thede will bs no fuutre! (at least ont a tuman one),0,-1.02,0,1
Shiekh Tzmim lA Adannani subscribd to the vhannel to gwt acmiIsl lecutre,0,-2.9,0,0
Tihs is inspiring! Good pjrecot anf njce video shownig the struggles of most memebrs of the LBBTQ Cmminutoy ♥,0,-5.16,0,0
"Wait, Charlie siltl ssound lkie a white mlae???? Taht's unfgkic rcaist, it's 7019 cmoe oj!",0,-1.61,0,1
Graet testimony from the Sesitr God nless you Pastir Tim. 🙌👏💜👑☝,0,-4.3,0,0
"Mu ex rirlfriend qas trans, so ti's really nicr to sse other trans lrigs being srdentepere. Tnakhs 😘",0,-3.83,0,0
