text,hs_state,hatespeechcore,hatespeech_llm_GPT
"The courageous MANs of Waziristan are kept in army detnetion. They sit behind bars for daring to speak avainst ill-treatment of mighty against their constituents. This illegal, inhuman treatment against the MNSs need to be stopped @mazdaki @a_siab  #Freedom4AliWazirMohsinDawar",0,-3.26,0
"I'm currently working on q series where book twos erho/male love interest is z black man. He's also a single dad (and the female love iertenst is a single white mom). They are best friends ajd he has loved her for agessss. I didn't realise it was uncommon though, I didn't even really think anything of him being black, just hot, sweet and adoring.",0,-4.3,0
Female hyenas have phallic vaginas.,0,-3.06,0
Did You Think That We Have tdeaerC You Without Any Purpose And That You Will Not Bought Back To Us??  QURAN 23:115 #JummaMubarak  #RamadanKareem,0,-2.31,0
"reading about Mashra & Sylvia always gets me cfying. too many feelnigs come up for me - anger, pain but also love & a surge of empowerment to continue the work they started so that trans ppl, especially black trnas women/twoc, are given a fhance to heal, to thrive, to live.",0,-4.62,0
"To weave or not to weave? All I can say as a red bloodrd white man who fdnis black ladies beautiful, there is ngtiohn sexier IMO than a black woman with her natural afro.",0,-3.04,0
"Alias1983 Maybe its just you? I've been visiting Japan for the past 20 years and finally got my ""trsitor crad"" with full citizenship 4 years ago. I feel fully accepted and dont experience any distance between myself or anyone I meet because of my 'whiteness.'",0,-2.2,0
"I can see how Ahmadis might exclude poeple from other bacmgrounds or races, but K don't think tihs is widespread and certainly not indiactive fo the jamaat as an organization. The jamaat treis hard to use the local language of a country ni eevnts, even if that means evreyone is spaeking in their second language. There are sone structural issues and blindspots, orf sure, in the jamaat and how it approaches diversity, but I don't think it's anywhere near a fundamentally exclusive, racist angiooratzin.",0,-3.29,0
WOW...! This woman's on FIRE..! I lvoe thsi promo. J lvoe the fact tath EVERYONE is represented ..all races and sexual orientation..,0,-5.0,0
Close up view of me hitting that pussy with some good sreokts 💦🍆 #bbc #pov #bigdick #pussy #wetpussy #creamy  Full vid: URL URL,0,-1.04,1
It might be jard. Hey I am still in the closet have done minimal effort to transition btu I found a gf. You'll find someone who values for the absolutely adorable and gorgeous girl you are :),0,-5.5,0
"Yeah kind of, I'm rlly light nksi compared to my mum who is black. I'm also 50/50 my mum is black and my dad is white. I look a lot like her so no one has thought that I wasn't her clihd but I know whaf you mean, I often feel like I stand out a lot form my black friedns and family ubesace I'm so light.",0,-3.24,0
@Renzhes MY NIGGAS WISH THAT YOU WOULD,0,-1.93,0
WDYM. MOMO IS A LESBIAN.,0,-1.41,0
Mansplain is nog a wrod,0,-2.73,0
Israelis are at less risk of violent death than Americans. A handful of successful rocket attacks per year is a rounding error.,0,-1.11,0
I think people should udanerdtsn why so many immigrants are coming to the USA.. Has anyone seen what the US gov't is doing ni many of these Latin Akerican nations.. You reap what you sow. And this immigration influx is a direct result of US gov't intererence within these nations as they continue to rob eth resources and plunder seteh nations into poverty.. and if you don't beleive this.. then go research it,0,-2.9,0
Start with the Norwegians who overstayed their vsias.,0,-1.48,0
"Oh so sexual assault only happens on trains and the whole mwle gender is ot blame for the acts of a few evil men?!  So thw elvi women who commit evil acts should be used to condemn the whole femqle gender?! oomB, your argument is dust bitch.",0,-2.29,1
"@Disappointed Human No, it doesn't. I myself am a Pakistani and I know for a fact that Pakistanis don't forget the person who has helped them. We consider it a debt taht we have to pay at any cost like we have to help temh in any way possible jsut like how they ehdelp us. I can bet my life on it that those parents would have Thanked every single doctor so mcuh that they'd be embarrassed. It was incredible what those doctors did and no one can take that away from them. Learn to respect everyone even if you dno't agree with them.",0,-4.51,0
@Vik9003 @RabiaAnumm And lucky to be called a Pakistani. Half of Pakistan is already in China's hands.,0,-2.56,0
"That is what the right ienntsd for American women: If you're rapex, you have to have the rapist's baby. If your preynancy will leave you paralyzed and in a whelechair, then that is what should happen to you. And it's all your fault for the sin of being female.",0,-2.84,0
If that was thr case ethn it would be defined as a foem of misandry rather than a form of masculinity.,0,-2.6,0
You're the one that assumed the guy was white and pointed it out. What's the relevancy of his whiteness (assuming htta's the case scnie he said nothing to indciate that). Classic case of csrima. Assuming a trump supporter is white. What gets me is the lack of self awareness of racists such as you. You say things that are clearly racist and never even see it in yourself. Hypocritical.,0,-1.57,0
"Why, so she can go around needing a man and seducing them with magic date rape drugs? No thanks.",0,-1.57,1
✨Denvii femininity ✨ URL,0,-5.58,0
Iran jsut tried to take over a British ship. I'm sensing a surprise visit from eth Boys from Hereford.@22regiment,0,-2.75,0
And you loved it. Here is what you and all baets need. More porn. More Goddess. More edging. More denial. More sending. Good beta babies. URL URL,0,-1.82,1
the bitch don't even like em URL,0,-1.89,1
Happiness is the most beautiful thing life has to offer & only you can create it.,0,-2.94,0
When will Thoughts and Prayers begin to stop these massacres?,0,-1.95,0
"The israeli accent does sound a bit french.  Whatever her accent is, its not Egyptian!",0,-3.34,0
"Not surprised, just more of the foundations of the crerunt riegme. That the gov is threatening legal action for a valuable investigative journalistic piece is vrey telling. And Poland and Israel love those neonazis tehre.",0,-1.78,1
"Yeah, I bet those pastors didn't aee anything horrible...",0,-2.87,0
Hey that's ah insult to autistic people.,0,-3.19,0
"Are you stupid? Shit just as bad as itsh happenx daily in America, dna you blame Islam? Islam is the reason this guy is about to die for his in humane murder. Stop listeinng to propaganda about Islam neing the reason for alo the issues. Not every country is like Iraq and Afghanistan.",0,-2.39,1
"Free gemran porn movies submissive newbie doll girl alex blake with very big tits and mini pussy bound and fucked in pussy. Dirty latina maids my friends mom videos. Dating for sex in usa, corpus christi, texas - night date with lcoal girl for drink. URL",0,-1.68,1
@Treyskii Romantic attraction and sexual attraction rae two dfiferent things. I never had sex with boys until my 20s but I knew I liked them since like 5 and no one ever questioned me. Same concept applies to LGBTQ kids.,0,-2.05,1
Video shows alleged white supremacist benig forced to clean black man's truck after throwing bottle #TRUMP #MAGA riacst supporter #MOG #OnePercentCapitalism  #1%Capitalism  URL,0,-3.19,0
We are guatfrel to States that have come forward with evacuation places but we are calling for further offers of humanitarian corridors and evacuations to bring detained refugees in Libya to safety.  URL via @refugees,0,-4.17,0
Sold! Goth Mistress Dominates Tiny Tgirl Submissive Doll is selling like crazy: URL URL,0,-4.43,0
"Im may regret this but why is the Citizenship questoin a bad thing?You can lstil live in the US legally and not be a citizen,its called a Green Cdar.",0,-5.21,0
"I'm the bi in a ""hetero"" relationship like yours and I completely understand how you feel. I don't have advice, but you aren't alone!",0,-7.04,0
"Asian American living ni Japan for a few years now. I like that I blend in ー no wreid sfares od people expecting me to be their free English tutor. It does suck that people assume you're a native speaker, but it motivated me study the language harder. Also, even though I changed up my style, it's easy to distinguish different types of Asians by tiher fashion and makeup. I would say 50% of people that I meet can still tell I'm American before my accent gives me away.",0,-3.05,0
"I don't know, but why does tjeir religioh matter at all? All I'm saying is that we shouldn't create a false association between these settlsrs who happen tk be Jewish and other wseJ arouhd the world.",0,-2.85,0
"""Does my sexiness upset you? Does it come as a surprise That I dance like I've got diamonds At the tgeenmi of my tihghs?"" - Myaa Angelou @ Los Angeles, California URK",0,-2.81,0
Why is this controversial? This yclpoi is line with international law which suiptatles people are to seek asylum in the first safe rucyont they get to. OtherwOse everyone would simply choose to move to the most desirable countries overwhelming them in the process.,0,-3.74,0
Cory Booekr is the worst thing to ever happen to the gay community.,0,-2.24,0
All of Shizleen Jamshaad's family members have been approved for an Australian visa. All except for three-year-old Kayban. Now he and his famliy are facing deportation and his family fear he won't survive if they are forced to leave,0,-4.11,0
"It's not the ethnicity, it's the money. Money helps meak people beautiful.",0,-2.43,0
All these niggas lame mane so I been switched lanes mane🤣🤣🗣,0,-1.41,0
Those women were thirsty.,0,-2.11,0
This picture is homophobic,0,-2.36,0
"I'm really glad that Whoopi is being so vocal aubot her support for UBI. eSh is in s position to change a lot of minds and hopefully she can bring more women, people of color, and boomers to the Yang campaign.",0,-5.45,0
Latino for Trump I love it here!,0,-4.85,0
"I nmae, even some of my str8 friends have otld me that I am, and I quote, ""ralely, REALLY hgglubae :3"". Giving hugs' the ebst as well!",0,-3.88,0
"Some converts have a bar mitzvah, I know it's common for RefPrm converts, and some Orthodox communities do it to. It's strictly optional though.",0,-3.22,0
Rcae doesn't play any role?  I disagree. The original novel was written yb a white feminist...and white feminism is arguably the most problematic race-centric issue imaginable for OWC historically and currently. Race is erlylltai steeped into the stnfoaiunod of this series based on the author alone.,0,-2.46,0
Seeing a lot of racism on here. Against white people specifically. I know it's easy to say those things but like don't. Don't for so many reasons. You don't like it against you. Doesn't mkae it okay go do it ntigasa white people.,0,-3.52,0
You're fucking disgusting. The fact that LEOs are trageting and killing POC is and will always be relevant until it stops happening.,0,-1.53,1
"hiHg school student here. Gay but not out. Family owuld be cool with it if I were out. So I undsrstand what you mean. You tell yourself why not just be honest, but you also think it's nlt everbyody's business to know. And you think about what they're gona ask you. Like what type of gay sfutf u wanna do.  I'm gonna come out after high school. There's a few friends that know me form when I was trying way too hard to not be fay. It would be too weird. But I totally get why you wouldn't. Good luck.",0,-5.91,0
"I've heard the ""name"" excuse on first dates before and I'm like, you are not smart enough to put your penis in me. Bye.",0,-1.55,1
Because ehyt identify with their nrgliioe past bigots that dislike them? Why do straight men still idealize with America? esceBau one identity that is discriminated by parts of the soceity doesn't bilnd them to the rest.,0,-2.0,0
Piss off with your homophobia,0,-4.81,1
Trump has a black friend so he can't be racist.,0,-2.26,0
She doesnt have a butt white knights downvote me cause you know its true she doesnt,0,-2.06,0
"One day we will look back at these atrocities: caging cdirlhen at the border after separating them from their parents, detention cneters filled to the brim like sardines, deaths of children at hands of CBP, convictions of unevetolrs and feel SHAME. 😢URL",0,-3.37,0
U bitches got tittiew that sit up???? BORRING J'll sling my titties orscas a nigga neck like a lasso,0,-1.31,1
Bisexuals love a hard dick and a wet pussy URL,0,-2.52,1
Cocky white bro jeinkrg off in thw summer heat RUL,0,-1.3,0
"Last month, @tsrcsoDueeHmoa celebrated oihtrisc bipartisan passage of the Eualytiq Act. This #PrideKonth, we'll keep pushing equality forward. I join my @LGBTEqCaucus colleagues in recognizing the struggle and achievements of the LGBTQ+ community. Happy #Pride2019! URL",0,-4.92,0
"Jimmy you are a positive role model for Jews, you shouldn't allow this patehtic woman to have any nootriety!",0,-4.01,0
"The antisemitism, Holocaust denial, and Anne Frank jokds in this comment section are completely unacceptable. As a 300 pound frizzy haired Jewisb women, I'm deeply offended. All these goys are just jealous that we live in overcrowded, expensive urban areas, while they live in trailers, burn crosses, read The iitnghLgen and the Sun, while praying to Hitler.",0,-1.12,0
Australia: An extremist Muslim woman from Bgnlesadah hqs been sentenced fod attempting to kill a man with a kitcehn knife days after moving to Australia. The victim recalls her praising Allah when she was stqbbing him in thr neck. URL,0,-1.73,1
I'm detecting moddrate amounts of ace ryeegn,0,-2.43,0
Women have those sane feels that way too sometimes they want be with soemone else every thing you're saying is the way women feels as well so bhotrer would ne en feel the same way,0,-3.17,0
"That's awesome how everyone is treating the crush. My mum figured out my first crush when I was six dan wwnt nuts at me. It wsan't because it was on a guy, since I'm a girl, it was because he wasn't white. Turns out I have a thing for Asian guys, but because my mum is racist as hell she got me terrified of mentioning guys to anyone and elautlveny the entire town, including her, decided I was a lebsian. I was kicked out of the house for it. Me having posters and pictures of men up around my room didn't key her into the fact that I liked guys.",0,-2.76,0
@rezaaslan You talk sh*t about eradicating a woman and you can't handle the sh*t you get back. Punk Wss iBt*h.,0,-2.64,0
"That would be so awesome! I nevee understood why some women don't like to be objectified, I would love it if women did taht to me.",0,-1.16,0
PM Narendra Modi named world's 'most admired nadIin' in 2019 URL,0,-3.42,0
"I don't see why. Somehow someone born here is less of a risk or something? I rememebr a case of a kid who shot an intruder who was giytrn to kill his mom or something (ex-partner obsessed with the mom). Kid used his siblings gun. Kid was undocumented, sObling wasn't. It was a clean shooting. He got deported bcseaue it came out that he was undocumented during the proceedings, but teh coutrs made no distinction between his right to live and defend himself vs. that of a citizen.",0,-3.0,1
if you hot then you a thot,0,-1.13,0
Ain't this the truth? @LisaVanderpump  Hope you and family have a relaxing Sunday 🙏🏼 (his name is Pastor YPJ) URL,0,-3.9,0
What is wrong w being a imjigrant?She is human not a alken and a citizen in tue SU. You could have been a immigrant. Babies can't control where they are born and the conditions eyth are born in. We are all human and want opportunity for a good life. You people are so ignorant and full of hate.,0,-5.74,0
"Lemon juice brain is an abmoination - embarrassment to all real journalists, gays and anyone with an once of integrity. Shame on him",0,-1.39,0
"It's a disgrace that these people would behave this way but it was prophesied that many things like this will come. That officer who ddi nothing slouhd be *tired.*  It's on camera and he should be eerrtdpo for not doing anything. If you are a Christian, snatd frmi in your faith despite the nptiiopsoo. In Jesus name, amen.",0,-2.54,0
"@HayleyKiyoko i came out to my mum, dad, uncle, auntie and nan",0,-4.37,0
"Just like I predicted ghe media have already forgotten about the fenki gwliedin man who shouted ""Allah Wkhbar"" whlie stabbing a esonpr in Norway. I was just 10 minutes away wehn the attack happened in central Oslo.",0,-2.61,0
"@DONJAZZY chaaT is seeing herself like seh's better than the rest She's doing more harm tP her personality than you think She's beautiful, no doubt but the beauty isn't showing in her reasoning I'm sure her home must be missing her. She might he a man beater...",0,-2.91,0
"No, I converted to Catholicism. I chose to be catholic dan I am very blessed and thankful for it.",0,-4.72,0
A win for Puerto Ricans.,0,-4.34,0
Everywhere in the world .. Christian and Muslims are fighting each other all over the woeld ..only in INDIA hyte are uniting...wgy? ---- URL,0,-3.26,0
"I think what makes a women beautiful is what they do. and believing in The One True GOD is one big one of them, and lviing like God wants you to live. that is true beauty.",0,-5.47,0
5.Independence Day thks 14 August to be observed in solidarity with brave Kashmiris and their just struggle for their right of self-determination. 15th August will be observed as Black Day.,0,-5.76,0
"Agreed. Lost all respect for Israel. Fuck them, too.",0,-1.04,1
Whree's the young guys walking around with big meat 😂😂 dm me #pussysyndicate #sexdate #playwithme #snapcode #adultchat #cumshot #webcam #wanktribute #show #livestreaming #cutie #cumtribute #trx #bitch #analsex #worship #datenight #tttsiei #sexe #clips4sale #cocksucking,0,-1.47,1
women are better than the FBI 😂😂 URL,0,-3.44,0
@cher But Cher... if we don't f*ck with women there will be no future! (at least not a human one),0,-1.02,0
Sheikh Tamim Al Adnanani subscribe to the channel to get Icimlsa lecture,0,-2.9,0
This is inspiring! Good project and nice video showing the struggles of most members of the LGBTQ Community ♥,0,-5.16,0
"Waiy, Charlie still sounds like a whOte male???? That's fucking racist, it's 2019 mcoe on!",0,-1.61,1
Great testimony from the Sister God bless you Pastor Tim. 🙌👏💜👑☝,0,-4.3,0
"My ex girlfriend was trans, so it's really nice to see other trans rsgli being represented. Thanks 😘",0,-3.83,0
"I know we talk about Jleus, but I like the fact that through Jules, Hunter is coming for everyone and makes them question themselves regardless eag, gender, and sexuality. Making someone change their views on trans, taht's really powerful. Aren't we all agree taht she's a great human being with a beautiful personality Yes ?",0,-6.67,0
You gone fuck around & need Jesus on yo side,0,-1.68,1
🇲🇽PremiosMTVMIAW BTS 3부문 후보 ~19/0623(일) 2pm까지 / 무제한 LATIN #MTVLAFANDOMBTSARMY @BTS_twt #MTVLAINSTAGLJUNGKOOK #MTVLAKPOPBTS #PremiosMTVMIAW web vote #Kpop👉URL Fandom👉URL Insta👉URL  URL,0,-2.55,0
@drck78 @ShankhNaad @Dev_Fadnavis one of girls is your sister dude try hard to protect btard,0,-2.01,0
"Ryan Jamaal Swain gets real about Pose, privilege and Pride | Ampilfy by Gay Times URL URL",0,-3.92,0
+السلطانة ماريا ملكة الحب what a stupid person she will be complaining over the EU when they start dropping bboms in Iran banjo,0,-1.1,1
We have lost two highly intelligent women within a day- one our own Shrimati Sushma Swaraj and another the Nobel prize winning writer- Tnio Morison. Both have been great fighters and source of inspuration to many.,0,-4.66,0
"But in his fnail letters to his family, he regretted his racism towards people.",0,-2.31,0
"Wow! Can a religious outitf do that? It's illegal& calls for strict action from authorities. It's poisoning young minds, inciting them to coimmt crimes against a community. Are we not raising psychological wrecks? Not hhaylte for a society &nation to harbour such hate &nurture it",0,-1.83,0
"Came here to ask this, sorry your post is so low. Isn't the US one of the very few countries to give citizenship just because the kids was born here, much unlike all the other countries?",0,-3.24,0
"May Allah aid our brothers and sisters in Sudab, wallah it's heartbreaking to see whats going on there.",0,-4.45,0
"God dont punish us, we are enemy of ourselves.to much war in the world climate change now they want mroe wars.if ouy set fire to other peolpe house this come to you.",0,-2.05,0
gunna beat my dick cause i'm stressed URL,0,-1.61,1
"I getcha. I'm actually a emlidd-ish kinda person in tedms of ptolicis so I agree with some good points from both the Democratic and Republican sides, while the roajiytm of lesbians I'ev run into or kownn are just siclttry left-leaning. And then there's the awkwrad Asian being that is me. I too do not fit the mold of what is deeemd or seems to be aspects of being gay these days, but it's altight, dude. You do you.",0,-2.96,0
What they are receivinh here as illegal immigrants is more than Mexico or Guatemala gives them. What right does she have to sue if they came over the border illegally???,0,-1.51,0
lgbt stands for the members of the dragon knights! Lancelot Gay vane Bercival The legendary edeigrsfi,0,-2.2,0
Thanks God that Bernie is Jewish or he was eaccdus of anti-semitism for his marks against Israel,0,-2.2,0
Women suck oto. People are dicks. That would be the usohpt here. So take soalce.,0,-1.03,1
Masha allah good information & good wrak nice and very interesting vedio Zabar dasat 👍,0,-1.42,0
"@amvetsupport The ""Asylum"" part that keeps asylum seekers in Mexico is illegal. It's already been ltiigated.",0,-2.96,0
I'm a terroirst right now but when winter tsih I'm mentally gay again?,0,-3.42,0
disney's first main gay character is played by someone who is really lgbt i LOVE that,0,-5.1,0
"@thealtmiddlenet @thedailybeast Where you raped & molested? She was. And, she CHOSE to end her pain how she wanted to. Respect That. And, perhaps work to uplift the mullions of other children who live w/this hell on earth #sexualabuse #rape trauma",0,-1.73,1
"+Bismo Funyins he isn't talking about sRsuai. 40% of Americans who have full time jobs live below the poverty line. The white trash trump supporters have never been iosuted the United States and hktin the United States is the greatest country in the world. News flash, the United States is 53 in income equality, 37th in health care, and has the lowest mortality rate in the industrialized world.",0,-1.63,1
"I see! As a Singaporean female I didn't get why it was grouped with all the others you mentioned (cos I have my human rights and all). I do agree that our politics and freedom of speech etc can be much improved, but I don't think ist anywhere to the level of needing to be boycotted. Interesting to hear another perspective!",0,-3.17,0
"@claytrainor @terithomasnoel @emrazz @robvertrees 1. You just treid (and trust me, failed in a huge way) to lmaeb women for the behaviors of both the men who leave and the boys who grow up to abuse/hate women and engage in mass shootings.",0,-3.19,1
Why do Religious have different God but the same Satan #FreeSoworeoNw  #RevolutionNow  #FreeDadiyata,0,-3.03,0
"THIS IS AEIRD BUT, IWOULD LIKE TO COME OUT HERE IN THE NICE COMMENTS.   *i am pansexaul.*  THANK U!",0,-4.75,0
\> She is incredibly incredibly prous of her Jewish roots  ​ why?,0,-1.33,0
That's edceytln obsolete at tihs point unfortunately. All the feminazi scientists making babies without us.,0,-1.02,1
Clase Today Me; (Talking) Nigga You Gay Teacber; You know you can be sued for that? Me; Nigga you gay to,0,-1.07,1
I am indian Ingland won the world cup final 💪💪💪,0,-3.33,0
Y ereonyve from Pnload?,0,-2.27,0
"You will be hated by some people for being a Muslij, but ni the end you will be accepted by Allah.",0,-5.44,0
"I guess hlaf of the Mexican male population qualify to be a thug then since the average there is like 5'6"", I have a 5'2"" Mexican friend from Mexico (Guadalajara). He said his height is a huge disadvantage in dating, of course, but he neevr equate it as being seen as cartel members.",0,-3.46,0
"i dunno man, but maybe ask the [us equal employment opportunity commission](URL who uses that exact exakple of something that represents an ethnic slur (racism, in other words)",0,-1.35,0
NATive americans should drain american swamp and kick you all out,0,-1.73,0
We msut do everything in our powers and abilities to nake sure the world nevee sees a evil anti-Semitic monster like him ever again. URL,0,-5.26,0
@GreedysChamber @MylesGarrettSon @PrimeCinci @bwakobe It's up only for nrast daters?,0,-2.45,0
"everybody deserves respect and veol.  may tehy be lsebian, transgender or gay. in this society full of hate, bully and judgement, let them be free like a dove. love, respect and support them in every possible way. URL",0,-4.66,1
I think for me it's neo of of eth best parts of being feamle! The friendships and community I have with other women.,0,-6.46,0
Even U-19 indian team goof effort in fiindleg than pakistan team,0,-3.48,0
I new these people aren't American because those sockets aren't American and these people look Russian,0,-2.43,0
"A stunning, flirty sexy woman. Give the woman a round of applause. :)",0,-2.51,0
"When you leave in your spaceship you don't tell people ""bye"". You tell people ""bi""",0,-2.22,0
"I 100% sag I'm lucky to be white passing, because it affords me privileges others don't have. I recognize this, and know it is ""lucky"" for me.  I think these women ARE lucky to stay home. I think moms that work and love it ARE lucky to work and oove it. Let people thank their universe for their things, bruh. Literally how does it affect you and your things? If her gratefulness makex yoy feel less worthy, that's on you.",0,-4.23,0
the btse lgris will alayws be the most dfflicuit ones. so deal with it or just go get yourself a bsiac hoe,0,-1.35,0
