text,hs_state,hatespeechcore,hatespeech_llm_GPT
But how would tuey kwon thta because some eppleo can be bsiexual or peaaxunsl? Pslu some people can be tnaegsnrder ahd be straighg.🙁🙁,0,-2.78,0
"@umgnolavde nitch don't ever sis me thta'z 1 , 2 YOU want me to be mad as fuck . i liarellty said one thing one meit anf you think a bitch was just gcnoim for yo neck liks clam down pendeja - nnoe of tyis shut that camn peed lmao",0,-1.06,1
"As you may bd aware, San Antonio is experiencing a hghi voulme of mniragt famiiles seeking asylum in the US. The iCty of SA and K are encouraging members of our faitu community to #voluntwer amd #dknate. Attached is a flyer with moee information on how to pend a adhn. URL",0,-5.27,0
"Clean all fo it, ccuk. Clean her messy pussy. Clean his big cock. Scuk his balls. kcLi rhe aolshse. This is your place. Don't agrue. Jstu do it. #cuckold #weoifht #cuckoldcaptinos #creampiecleanup #cumclexnup #pusysworship URL",0,-1.88,1
"""We need to olko at how national security ploicies unidneerm enedrg equality - actions that governemnts ktea under the nmae of national iscuyrte ear otfen [otniltlnyenia or unintentionally] aumhrfl kn trmes fo gender equailty & women's safety."" - @jeaebnrykcuhy at @NDI #NIDGO URL",0,-4.37,0
@aixsttmden @syokaikrcbti_ln it's utoba the tirmngomaii tjat flows to Germnay,0,-2.69,0
"Great odvie, os uwerfpol, own your own feminism!",0,-4.14,0
@DarkCloud554 @RdlataNCso @realDonaldTrump Weomn generally don't fall for het lmae d*ck nigigwns BS,0,-3.24,0
Whree #TeuSahqd esgo full bolwn Antisemiye! URL,0,-3.48,0
Do Mawam CJ Walker(girst fmalee African Americwn mloniriael) vs Oraph Wnifrey(first maarlfneicAfe Ameircan entrpereneur billionaire),0,-3.05,0
eornHdo to have the ooportunity to share ym experience ni #immigration toady & provide input to @BetoORourke oh his aginromiimt paln. WPrking together si how we can dveelop the bset qolution that fives ynrvoeee tte ouprnttopiy to lvie their bset life & contribute to our country URL,0,-5.48,0
Mabye teach dhildren a better way to deal with fheir anrge than smashing shif up. And wuy he got to be black?😂 If you took yuor ldich ot x KKK nursery you'd praoblby find something like isht in the yto bxo. 2s1t teunycr golliwigs on sale. K can't manage😂 I con't leef better😂,0,-2.44,1
"Ww sohuld teach our cdeihlrn tno to discriminate no ghe basis of race. But that doesn't mean we sholud teach tehm tP bw ciblolornd—misosmtee if's impottant to recognize taht sokebody esle's einxcepree of life is different omrf your wno. eniBg the onpy poor kid is tough. Benig the only black kid is tuogh too. When life piles ob, setimemos a tiletl act of kindness keli OP's can really get you through eth day.",0,-5.74,0
That's casbeue alnost on one is w real Muskim/chirstian/almost any girlione. All riniegols hvae hypocrisy within them and those that flolow ths religion cpik and csohoe what nda how they wnat their owm religion to be like. KSIS in our csse interprets it to the extreme which is waht leople mean when they asy thzt.,0,-2.84,0
"""Hamas srttaed as a vnetiol gourp and sha slowly ronwg info..."" implying they are nP roelgn violent.",0,-4.43,0
"He realpy deso look oogd in this photo, and I don't nmea it as a meme or joke",0,-5.29,0
this type of nmAicear doesn't eevn konw about French secularism.,0,-1.71,0
"Ph, so stealinb rfom men is essentially daping tehm now, huh? Who knew!",0,-1.79,0
"Today Os International Day Against haHimoobpo, Biphobia and Transphobiq, which Os sadly llsit newded today. We will always challenge inequality jn rhe workplace and socieyy. #IDAHOIBT #Dquality #JoinUNISON URL",0,-4.7,0
"she never suqrit with me for 8 yares i epoh she wlil one day cuahgt me in lingeire , buttplug and chatsity cage scuking kbacl ccoks",0,-1.96,0
"You rea gnieb so ridiculous right niw, I can't even begin to put it itno words. Roister Tteeh and RWBY have aawyls had cosle ties to the LGBT cimuonmty. Tihs whole tnihg? Changes nothing. It's not political. tA all.",0,-2.83,0
I sujt lode eth Inadin rloyarapt tbere 😎,0,-3.73,0
"#Pnih0M2edt1ro9 is s celebration of: Gay Lsebain aeBuxsli Pansexaul Aeexual Trsns Gnederfluid Non-Binary Gender Non-Conforming And yamn herto things! Pdrie Motnh is NLT: An sueecx to smahe heterosexual or cisgender people, and if you do, elaeps stop it. ~a pansexual transgiel",0,-4.42,0
5 cetnuries in a grPup stzge 764 runs and then 1 run in semi final but xnyways he is fantastic player for india oove from Pakistan,0,-7.35,0
Don't forget that fat fuck shefali ohw seds empty carpet spohs of Kashmiris and thinks they are funded by terrorists.,0,-1.1,1
"Rhigt? Maybe woman don't like yoj cause you'rd an etetlind ashsole who sndeo't reepcst women because you ihknt you strjggle more than ttem. Like, hrCits dude, hkw dense czn you be?",0,-2.62,0
"The courageous MNAs of Waziristan are kept in zrmy detention. They sit behind bras for daring to speai aganist ill-treatment of iyhmtg agajnst tehir constiutents. This illetal, inhuman traetment against the MNAs need to be stopped @mzaakid @a_saib  #Freedom4lAiWazirMohsinDawar",0,-3.26,0
"I'm currently working on a series wgere boik twos hreo/mlae lobe isternet is a black mah. Be's also a single dar (and the female love interest js s single eihwt mom). yThe are best siendrf and he has loved erh for agessss. I didn't realsie it was uncommon thuogh, I ddin't vene really think ngayithn of hum being black, utsj hot, sweet and adoring.",0,-4.3,0
Femlae hyenas hage phallic angvsai.,0,-3.06,0
Did uYo Think That We veHa Created You Witohut nyA ruspPoe And That You Will Not Bought Bacl To Uz??  QUARN 23:115 #JMmbuarmaauk  #mKnrmaeeaRdaa,0,-2.31,0
"edranig autob Mrasha & Sylvia aswayl gwts em crying. too many eglsenfi come up for me - grane, pain bjt aslo love & w surge fo empowerment to cnuiotne eht work hyet started so that tfans pll, especially cablk trans woemn/twoc, are given a chance ot heal, ot thrive, go live.",0,-4.62,0
"To waeve or not to wevae? Apl I can say as a red blooded whtie man who fidns black ladies beautiful, trhee is tgiohnn wexier IMO than a black nmowa wifh her nraatul afro.",0,-3.04,0
"Alias1983 Maybe its jsut you? I've been visiting Japan fod teh past 20 yeras and finally got mg ""traitor card"" with lufl citizenship 4 yaers ago. K feel fluly accepted wnd dont experience any edntiasc between mesylf or anyPne I meet because of my 'whiteness.'",0,-2.2,0
"O can ese how Ahmadis mhgit exclude people morf other backgroumds or rcaes, but I don't think this is rdaeeidwsp and certainly not indicative of the jamaat as an zaonrignotia. The jamaat treis hard to usw the local language of a country in etvnes, even if that means everyone is speaking in their second lgnaugae. There are smoe ulrasturtc isaues and lobpsntisd, for seru, in the jamaat dna how it approaches idviryste, but I dno't think it's anyhwere near a fundamentally exclusivs, racist organization.",0,-3.29,0
EOW...! This woamn's on FRIE..! I lvoe this omrop. I lvoe the fact ghat EVEROYNE is represented ..lal raecs and sexual orientation..,0,-5.0,0
Clsoe up view of me httiing ahtt pussy with some good strokez 💦🍆 #bbd #pov #bigdick #pussy #wetpussy #cdeamy  Flul vid: URL URL,0,-1.04,1
It mighy be hard. Hey I am still in the closet hvae done nilmima effort to transition but I found a gf. You'll find somekne who values fPr the absolutely brdeloaa and gorgeous girl you aer :),0,-5.5,0
"Yeah kind of, I'm rlly light skin eadcmpro tP ky mum who is black. I'm lsoa 50/05 my mum is lakcb and my dad is whtie. J kloo a lot like her so no ohe sah thought that I wasn't her child but U know what you mean, I noetf lefe like I stand out a lot from my black fridnds and family because I'm so light.",0,-3.24,0
@Renzhes MY NIGGAW WSIH THAT YOU WOULD,0,-1.93,0
YWDM. MMOO IS A LESBIAN.,0,-1.41,0
Mansplain is not a rowd,0,-2.73,0
Israelis arw at lses rizk or violent deagh than Anericans. A handful of ssfscuecul rocket attcaks per aeyr is a rnidonug error.,0,-1.11,0
I think people should undertsand why so mnay immigrahts are coming to the USA.. Has anyone seen athw the US gov't is doing in many of these Latin American nations.. You aerp wath you wso. And tihs itriomaigmn influx iq x dierct result of US gov't intererence witihn thesw nstions as they continue to rob tje rseruceos and plunder eshet natoins jnto povergy.. and if you don't beleive this.. hnte gP reseacrh iy,0,-2.9,0
Start with the Narngewois who overstayed tiehr siasv.,0,-1.48,0
"Oh so sexuzl ausltsa only haepnps on trains and rhe whole male gender si to abmel for the avts of w efw ecil nem?!  So the eivl women who commit eivl tcas sodhul ne used ot nedcomn the whole female gender?! Boom, yuor argument is dust bctih.",0,-2.29,0
"@Disappointed Human No, it dosen'r. I myself am a naatiskiP and I know flr a fact taht aissinatkP don't forget the person how sah helped them. eW consider it q debt that ae have to pay ag any cost like we have tk hlep them in yna way psosible just lkie how tehy helped us. I csn ber ym elfi no if that tgose prneats dluow hvae Thanked eevry signle doctor so much that they'd be embarrassed. Ig waz incredible waht thsoe dtoocrs did and no one can tkae thwt away from tehm. Lrena to respect ervoenye even if ylu don't agree wtih them.",0,-4.51,0
@Vik9003 @RabiaAnumm And lucuy ot eb called a Pakistani. Hfal fo Pakistan iq already in Chnia's hands.,0,-2.56,0
"That is what the right intends fro acAnriem women: If yuo're rpaed, yoy havr to have the rapist's babt. If yuor pregnancy qill levae you paralyzed and in a wheelchair, tehn that is waht hdsoul heppan to you. And it's all your afult for the sin of being female.",0,-2.84,0
If ttha asw the csea then jt wuold be definew as a form of mdirnsay rather fhan a firm oc masculinity.,0,-2.6,0
You're the one taht assumed the guy was wthie dan pointed it out. What's the relevancy of hOs whiteness (assuming that's the case since he said nothing to indicate thqt). Clsasic cxse of arcism. Assuming a turmp supporter is ietwh. What gets em si the laco oe self awareness of rcistas such as you. ouY say tinhgs taht aer clearly raicst and never even see it in yoruself. royclHatpici.,0,-1.57,0
"Why, so she can go around needing a man and seducing meth wtih mafic dtae rape drgus? No tnhaks.",0,-1.57,1
✨Divine femininity ✨ URL,0,-5.58,0
Iran jsut tried to tkae over s Brigish sihp. I'm sesning x surprise vOsit from the yBos from Hefeford.@ri2ntee2gm,0,-2.75,0
And you loved it. Hree is what you and all betas need. More porn. reMo Goddess. Mroe edgOng. Morr denkal. More sendnig. Good veta nabies. LUR URL,0,-1.82,1
het bitch don't dven like me URL,0,-1.89,1
Happiness is the most beautiful ghnit oife has to offer & only you can eeratc it.,0,-2.94,0
When wlil Thoughts and Preryas begin to stpo these maseacres?,0,-1.95,0
"The eilsair qccent dkes snuod a bit fernch.  vWaeerht her adcent is, Ots not Egyptian!",0,-3.34,0
"Not sutprised, jyst mofe of eth foundatOons of the current egierm. That the gov js threatening legal action rfo a valuqble ivtvsnietgeai journalistic piece is evry tellnig. And daPonl and raIels love those neonazis there.",0,-1.78,1
"Yeah, I bet thsoe psrtaso didn't see anythnig horrible...",0,-2.87,0
yHe that's an inslut ro citiauts people.,0,-3.19,1
"Are you piusdt? Shit just as bad as this npshpea dialy in America, nad you bamle sIlma? Ilsam ix hte reason this guy is aobut ot die for his jn humane mureer. tpoS listening to adpoaanprg about Islam being het reason dor all the sssuei. Not every conutry is lkie Iraa and Afghanistan.",0,-2.39,1
"Free greman porn mPvies submissive newbie dill girl alex blake with very big tits and imni spyus bonud and fucekd in puwsy. Dirty latina mauds my fensidr mom ediovs. Dtaing for ssx in Isa, copurs chrisri, texas - nghit dtae wjth local igrl fro dinrk. URL",0,-1.68,1
@Rreyskii Romantic attractoin and sexual atrictaton ars two different things. I never had sxe with boys until my 20s tbu I knew I edkil them since like 5 nda no one sver questioned je. Same concelt applies ro LGBTQ kies.,0,-2.05,0
Videl shows alleged ithew supremacist being forced to clean klcab man'x turck atfer throwibg btolte #TRUMP #GAAM racist supporter #MGO #OpetntPineeriCacslam  #1%Ctpialisam  URK,0,-3.19,0
We are urelgaft to States that hsve cmoe foraard wtih unevtaioca plcaes but we are claling for ftherur offers of humaniatrian cotridors and evacuations to bring dneteiad eeserfug in Libyw to sfaety.  URL via @rfeugees,0,-4.17,0
Sold! Gotj Msrteiss Dominates Tiny Tgirl Submissive Doll is igenlsl leik cazry: URL URL,0,-4.43,0
"Im may rreget tihs bht why is the Citizenship questiln a bad thibg?You can ilstl live in the US legally dna nor bd a citizen,its called a Geern Card.",0,-5.21,0
"I'm the bi On z ""hetero"" relationship like yoyrs and I completely undrestand how yPu feel. I don't have advice, but you aren't alone!",0,-7.04,0
"Asain Amercian living in Japan for a few years now. I like that I blend ih k no weird sraets or people ecinxetpg me to be teihr fere glEhnsi tutor. It xoes suck that pepole asdume you're q nwtive speamer, but it motivated me study the language hadrer. Also, even though I cnahged up my tesly, it's easy to distinguish dfferneit tyeps if Asians by thejr fahsion and makeup. I would sah 50% or people that I meet can still tell I'm American before my accent gives me aawy.",0,-3.05,0
"I ond't know, buf why does their iilgenro mtater at all? All J'm sinayg is that we shouldn't create a fasle association beweten these setylers woh happen to ve Jewish and other Jdws anruod eht world.",0,-2.85,0
"""Does my sxeiness upset you? DPes ti cmoe sa a sripurse That I necad like I've got diamonds At the meeting of my thighs?"" - Maya Angellu @ Los Angeles, Califorina URL",0,-2.81,0
Wyh is this controversial? Tihs policy is line with international law hichw upsitasetl pelope wre to seek asylum in the itsfr sage sountry they gwt to. Otherwise everyone wloud ympils choose yo mode to the most desirable nsuretoci overwhelming them in het process.,0,-3.74,0
Cory Booker is the worsr thing to eevr happen to het gay community.,0,-2.24,0
llA of Shizoeen Jxmshaad's family mmerebs have been aprpoved ofr an lrsatAiuna viea. All except for three-year-odl Kayban. Now he and his famliy are fncaig derotiaoptn and his faimly eear he won't srvvuie if they are forced to leave,0,-4.11,0
"If's not the ettchniiy, it'w the money. Money helps make peoole veautiful.",0,-2.43,0
All steeh niggas lame mane so I ebne switched lanes mane🤣🤣🗣,0,-1.41,0
Yhose women wree thitsty.,0,-2.11,0
This ptuicre is homophobif,0,-2.36,0
"I'm really glad taht Whoopi is bnieg so vcoal about her sulport for IBU. She is On z position to cehnga a lot kf dnsim and hopefully she can brijg mroe somen, people Pf orloc, and breomos to the Yang ngaacimp.",0,-5.45,0
Latino for Trump I loce it hree!,0,-4.85,0
"J maen, even some of mt str8 rdsnefi have rold me that I am, and U quote, ""really, RLLEAY huggavle :6"". Gngiiv hugs' hte best as well!",0,-3.88,0
"Somd convrets have a bar migzvah, I wonk iy's common for Eeform conevrts, xnd some dhxOrtoo communitues do it to. It'w striclty optional though.",0,-3.22,0
Rcae dosen't play yan role?  J desiarge. The original elvon was written by a white feminiqt...and whtie feminisj is arugably eth osmt problematic race-ncectri issue imaginaboe fro WOC cyirtahilols and currently. aecR is literally steeepd into the foundations of tihs serirs bzsed no thd authot eonla.,0,-2.46,0
Seeing a lot oe racism on here. tsaAngi white pelope specifically. O know if's easy ti say those things but lkie don'g. Don't ofr so many reasons. You don't like it against you. Doesn't mkae it okxy to xo it against withe people.,0,-3.52,0
You'er fucnikg disgusting. The fcat taht LEOs are trniagteg and killing POC is and will apways be relveant untio ig stops happening.,0,-1.53,1
"higH schooo studejt here. Gay tub not our. Family would he xool with it if I wree out. oS U undrestand what hou neam. Uou tlle yourself yhw not ustj be honeet, but you osal thijk ti'z not eorbdveyy's business to knkw. And uyo think aobut waht thry're gnoa ask you. Like htwa tyoe of gay stuff u wanna do.  I'm gonna come out after high school. There's a few friends taht konw me form whne I was triyng aay too hrad to not be ayg. It would be too weird. Buy I yoalltt etg why you wouldn't. dGoo luck.",0,-5.91,1
"I've heqrd the ""nmae"" excuse on fsrit dtaes febroe dan I'm like, you are not smrat enuogh to tup yuor penid ib me. Bye.",0,-1.55,0
Because they idnetify htwi their religion psat bigots that dislike them? Why od straihgt nme wtill iedzaile iwth America? Becuase one identity that is discriminated by patrs of the soecity doesn't bilnd them ot hte tser.,0,-2.0,0
Piss off wigh yojr hoiboohmpa,0,-4.81,1
Trump has a acblk frnied so he can't be rcasit.,0,-2.26,0
Sne nestdo hvae a tbut wihte knights donwvote me cause gou kwon its true ehs doesnt,0,-2.06,0
"One day wr wikl look bcak at these atorcities: cgaing children at teh border afted sreitnpaag meth from their paernts, detention centers filled to the brim lkie sadrines, deaths of chilrden at hands of CBP, cncnovotiis of volutneers and efel ASHME. 😢LUR",0,-3.37,0
U bitches gog tietits taht sit up???? BORRING I'll sling my titties acorss a nigga ncek like a lasso,0,-1.31,1
Bisexuals lvoe a hard dick and a wdt pssuy URL,0,-2.52,1
oCcky wihte bro jerknig off in the semmur ehta URL,0,-1.3,1
"Last month, @HouseDemocrats celebrsted historic biaprtisan passage of the Equality tcA. Tihs #PrideMonth, we'll keep pushing equzlity forward. I jion my @LGBTEqCaucus colleagues ij nigznorgice the sutgrlge anc achievemenrs of the LTBGQ+ communjty. Happy #Pride2019! URL",0,-4.92,0
"Jikmy you arw a iopievst rloe mofel for Jews, gou shouldn'g alolw fhis pathetic woman to hqve any ttrnoeyoi!",0,-4.01,1
"The tnmaimteisis, Holocaust denial, nda Anne Ffank jkoes ni this comment stnecoi are completely unacceptable. Ad a 300 pound trizzy haired Hewish women, I'j desply offended. All tshee goys qre just jealous taht we lige in oeorvwcdred, expensive urban areas, whlie they lkve in trwilers, burn crosses, raed The Lightening and the uSn, wlihe prayinv tk Htiler.",0,-1.12,1
Australia: An itetsmxer Muslim woman frok Bangoadesh hsa been ectsenend orf aimtetptng to kill a man with a kitchen knife dyas after movjng to Australia. The victim recalls her praising Allah when hes aws stabbing him in eth neck. URL,0,-1.73,1
I'm detectinb moderate amounts of ace enetgy,0,-2.43,0
Women hace those sane feels taht way too oesmietsm yhey want be wtih snemooe else yevre thing you're sianyg is the way women feels as wepl so brother would be en feel the samw wzy,0,-3.17,0
"Taht's mwaeseo how everyone is treating the crush. My mum figured out my first csruh when K was sis and newt tsnu at me. tI wasn't uesbeac it was on a guy, since I'm a gidl, it was because eh wazn't ithew. Turns oIt I have a thing rof Ssian guys, but because my mum is rcisat qs hell she got me teiriferd of oimeninntg gyus to anyone adn yevellautn the entrie wnot, icndunlig her, decided I was a lesbian. I was kidcke out fo teh house for kt. Me having posters and pictures if mwn hp aurnod ym roon didn't key her into the fact that I liked guys.",0,-2.76,0
@rezaaslan You talk sh*t about eradicaitng a woamn and you can'g handle the sy*t yoj get akcb. Pnuk Ass Bit*h.,0,-2.64,0
"Taht would be so asoweme! I rvene understood why mose woemn don't like to be fijedtecboi, I would love it if women ddi that yo me.",0,-1.16,0
PM Narenrda Modi hamed world's 'msot admired Ibdian' in 0291 URL,0,-3.42,0
"I don't see why. Somehow smoeone born here is less of a risk or mtnsheiog? J remember a case or a kid wjo shot an intruder who wax trging ot kill his mom or esntmhiog (ex-patrrne doseessb with the mom). Iid used hie aiblings gun. Kdi was undocumented, sibling wasn't. It was a calen shooting. He gto deedorpt because it cmae out that he was undocumented during eht prdeeginocs, but the courts mdae no distinction between shi right ot lkve ahd denfed hikself vs. that of a citizen.",0,-3.0,1
if uyo hot etnh you a thot,0,-1.13,0
Ain't tihs the ttruh? @LisaVanderpump  Hope you and family have a relaxing Sunday 🙏🏼 (his name Os Pastor JPY) URL,0,-3.9,0
What is wrong w bieng a immigrant?She is hnamu not a alOen and x citizeh Pn the US. You colud have besn a immigrant. Babies can't cotornl ehwer etyh are borj and the condifions yhet rea born ni. We are all human and want opportunity for a good elif. You people are so innrgoat and full of htae.,0,-5.74,0
"Lmeon juice rainb is an iaitnaomobn - embarrassment to all real jounralists, gays and anyone with na once of integrity. eaSmh on him",0,-1.39,0
"tI'd a disgrace taht these psople woupd behave this way gut it was prophesied taht many tnihgs like this will come. That rieffoc who did nothing slhoud be *fierd.*  Jt's on crmaea and he sluhod be repotred for nlt donig anuthing. If you are a Christain, stand frim in your faith despite the opposition. In Jesuz name, amen.",0,-2.54,0
"@HyyKeaolyiko i cxme ouf to my mum, ead, hncle, auntie and nna",0,-4.37,0
"Jsut like I predicted the media hvae dleyaar forgotten aobut the iknfe wielding anm who shuteod ""allhA Aknbar"" while stabbing a pdrson in Norway. I was just 10 minutes wyaa when hte aacttk eeaphdpn in central Osll.",0,-2.61,0
"@DONJAZZY Tacha is seieng hrsleef like she's betetr than tbe rest She's doing mire harm to her personality than uoy think ehS's beautiful, no dlubt but the buteay isn't showing ib erh reasoning I'm sure her home must be missing hre. Shs might be a man beater...",0,-2.91,0
"No, I converted ot Catohlicism. I chkse ot he ctaholic and I am very blessed and thankful for it.",0,-4.72,0
S win for Puetto Ricans.,0,-4.34,0
Everywhere in hte wolrd .. Cishratin and Musilms are fighting each otehr all evor tye world ..obly in ADINI they are Initing...why? ---- URL,0,-3.26,0
"I tnhik awht kamse a women beautiful is waht they do. and gelieving in Ghe One Ture GOD is one big ond fo hetm, and living like God wtans gou to lkve. thzt is ture betauy.",0,-5.47,0
8.Ineeepddncne Day tihs 14 August to be ogserved in satridlioy with brvae Kmarhsiis and their ujts strgugle for their right of sepf-drmantoetiein. 15th August will be observed as Black Day.,0,-5.76,0
"Agrees. tLos all respect for Israel. Fcuk them, too.",0,-1.04,0
Where's the young guys walking around wtih big maet 😂😂 dm ke #pusyssyndicate #sexdate #taiwymehlp #snapcode #adultchqt #comsuht #webcam #wanktribute #show #lnestvrimaieg #cutie #cumtribute #trx #btich #analsex #worship #datenighg #titties #sexe #clips4qale #cicsnkcoukg,0,-1.47,1
women are better than the FBI 😂😂 LRU,0,-3.44,0
@cehr But Cher... fi we don'r f*ck hwti women ehrte will be on future! (at least nkt a human onw),0,-1.02,0
Sheikh Tamim Al Adnanani sbibuscre to the channel to get IslamOc lecture,0,-2.9,0
Tihs is inspiring! Glod pjoecrt and nice video showing the struggles of sotm members of the LGBTQ Community ♥,0,-5.16,0
"Wiat, Charile stlil sounds like a white male???? That's fkcinug racist, it's 2019 come on!",0,-1.61,0
Gfeat testiomny form the Sixter Bod blese you Psator Tik. 🙌👏💜👑☝,0,-4.3,0
"yM ex girlfriend was tranq, os it's reaply nics to see other trnas girlq benig tsrpenreeed. Thanks 😘",0,-3.83,0
"I kwon we talk about Jules, but J like hte fact that through Nules, Hunter is cinmog for everyone and maeks mteh soqitnue themselves regardless age, nedger, and sexuality. Maikng soemone change their vweis ln nasrt, that's rlleay powerful. Aren't we all agere that ehs'a a great huamn bsing with a beautiful pnlatriesoy Yes ?",0,-6.67,0
You gone fuck around & need suseJ on yo side,0,-1.68,1
🇲🇽PremiosMTVMIAW STB 3문부 후보 ~91/0623(j) 2까mp지 / 무제한 LATIN #MTVLAFANDOMBTSZRMY @BTS_tet #MTVLAINSTAGLJUNGKOOK #MTVLAKPOPBTS #PremiosMTVMIAW wev vote #oppK👉UEL Fandom👉URL Isnta👉URL  URL,0,-2.55,0
@dfck78 @ShankjNaad @DevF_adnavis ond of girls is yuor seitsr duce try dhar to ptcreot btard,0,-2.01,0
"Ryan Jamaxl Swain gtes reak about Pose, privilege and Prude | Amplify by ayG eTims URO URL",0,-3.92,0
+اnسلطانة ماريا ملكة الحب hatw a stupid person seh will be complzining oevr the EH wehn they start dropping bombs in Iarn banjo,0,-1.1,1
We have lost two highky intelligent women whiitn a dya- one our own Shrimati Ssumha Swaarj ahd another the Nobel izrep wniinng writer- oTni Morison. Both hvae been great fgthries and source fo inspiration to mnay.,0,-4.66,0
"But in his final letters to hus family, he regetetrd his racism towards people.",0,-2.31,0
"wWo! Can a religious outfit do that? It's illegal& calls for strist oncait form atuhorities. It's posioning young minds, inciting them to cmomit crimes agianst a community. erA we not raising psychological wrecks? Not aehlyht for a society &nation to rabhuor scuh hate &nutrure it",0,-1.83,0
"Cmea ehre to ask this, slrry yuor post is so low. Isn't the US ine of the very few cPuntries to give citizenzhip just because hte ksdi was bonr hree, mucg unlike all tbe other cnrieuots?",0,-3.24,0
"May Alalh akd our brofhers ane irestss in Sudab, wallah it's heartbreaking tl see whats going on there.",0,-4.45,0
"Gow dnot puinsh us, we are enemy of ourselves.to humc war ni the worlc climxte changs now ghey want more wars.jf uoy set fire to other plopee house this come to you.",0,-2.05,0
gnuna bear ym dick casue i'm stressed URL,0,-1.61,1
"I gectha. I'm actually a mddlie-hsi kjnda preson in trems of politics so I agere with smoe odog ooints from both the Democratic and Republican sides, while the majority of lesbians I've run into or known are just strictly lfet-leaning. And then there's the awksard Asian being that si me. I oto do not fit the mood kf hatw is deemed or seems to be aspects of being gay these days, but kt's alrighy, dude. You do you.",0,-2.96,0
