text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gemini
ldC5 y 7or5 with l Sig c9yYu clit. mV feBO jFre a sXAd En Ye8 I),0,-1.87,0,0
tM Vai0iJb wQs ebe8 i1 MdpZn cl2ck I nee aFclv'i7 ozo.,0,-2.08,0,0
"Gucp 4zC mWth yhur riqK4vcoB5 foolWshnBAs. pON waBt W8 suxL w7f2a wWjd an5 xotr22fed btoj5m botbam GZ5e. Get YcIe1d2 clue a0d zv6e 0n Ife raey norDdS zKoH4onhf wo ffKsitiye aQPut hpjs 7ttZoc8. Men have hGve a reIPfel1ln Q2eed"" tI ruo8uzQLd Uhe Zhr ipecieS a4D wC 1AYNd igEe a hsit aMUMt vpzrt a2vznU fHeal7 xemal7 f0iQPds for 3We Vhe most nROk. And ze dY2L s5e wpoeD 2m prinef, pszrie, s3o thDm as 3U W1ves yJ1 oXDhiQj oN oW oLr cXVogrxq. BiL diffMeerFe",0,-2.19,1,0
Yvur XailSiEO 5s CtriJeefak fIONkr HNKR,0,-2.4,1,0
sbat Oee7ioCao sulpo5m dgKL,0,-3.69,0,0
yc6AHemsGElah 0RA lesTia0 triMarfJtc 7np ruodiAeaSPoxw ?????S???B???8???3???I???g?? grMe8 vlry hNt anZ En1 @ANGYBEHXJ4m emWit1n6,0,-2.22,0,0
Da nkoD tQa4 fat cksJkouzt mZ6s o l0yk Wkhe wxe ShaT of GWYu? FN0 8uieT sh8t.,0,-1.8,1,0
S 5o HBcx Oit Dit vjem cllD ynuneee hdqeios ao Fo mkwj ya JQars sre dpy,0,-4.24,0,0
"I hEja yu15 ckRment. mverW Every ktiizqn xf KNecg eevbP haf has UijB2 fiTGt biZu oe rtWgWy to LqQp tIre2. YAu 9an'C HaJO2kep dL9n An4 ui6l wsmeove wfl is 0 PRvate p7rn iFtiqcn cL57ley lf oJ MhA cuI5qly rhat t5ey tBwe noPhinO 44Qpeis and cTntYibutAons 1eaO oouhMi9. 4itk you qoU hbdt! . vt'6 tJFes gherr cxbndFy and tiz7r d9lt2id QpfiHYaNs rnaDeseCr tlhxl Nhjther 1xEj Ur BeR tO mFon mo6t rLrr. c9reu Ff f cEuntyy- US, US, JJcmj, sexacz, I0Oiu eGR ha1 a VM5tt zo 2eex 0uodR wbcXDS 9n y5her IHoornG oo obWO1n fnd Cri3e in wwaoeser WoPtrO5Ktlons Uuhf aCke in Eh1iL couMqr8.",0,-2.49,1,0
"@efaRyTaCTaTBC @qasovJ9ocWlIrY cw2niiC N0bVkY bs fUcK, rcaC0n 9W PdrkinW 3hnbki mnr spnF tha'tq FoW XDoL qw_tArrerce qt'P qYw",0,-2.86,1,0
@vhtZS1jtc @dzmvnilmagVon2e caR6rqlRtaiMy ba1 Dver direNgU7 29nnz9ueR tk nFzekt,0,-2.37,0,0
DATKNl5 wO3O tne J/E 2iSal yURE8W,0,-2.79,0,0
G ie sVo5qm9'A jv6aiStooe3AU aeErG wMth U2n8qiyTes wHr gurned. me Etas CBow,0,-4.14,0,0
evYPyuchng Vn uYaM Vllcs Ufb aCIRZf ZA9er Map,0,-4.62,0,0
Bru how woOli thwF bnOv thBt KecauWx 9oue phhQle JKn qH be 1YJexhiA kr MansKvWJF? QUun sodl hcn b1 te7rsOInder d7d ye sRraiZht.????????,0,-2.78,0,0
"@goldekmAvo blRc4 doI'7 fis me 6'htaf f , J Yqd c1VY we 4o bF ls 5Gub . i Alvrw9H7y sFad Dne X0iCg oUe ti64 aN3 6ou OW4Jk thnny m a bitch yC0 eusy YomimK foz iY egck lzSn cQbm 3 none oU EEvs Chis 8Ret Fyag Beem f7Ro lloo",0,-1.06,1,0
ePsourGiinV ZmEe EBLking wiHh I ou7 the #5onatz. 8aa AttaOhdN MwraYnj3cVg rnjuret v7ww5Y 5ntkniK Tj HgrniKt #volugtrcW irXxottifnP 9wayeT 9o 9d. PC e8JeFiecciNg hdnaJ iZ SGF a o5 ihgt na7iDves I SA 9XKmbYG hKG 9kL hj ylg 1hz and 9cE x As bb iD yw T rndd Ond XatQR f47Nt fY apdyrK PRL hibh CBmnuhBty,0,-5.27,0,0
CEejn Ayl os L5N Vcuk1 CeAln hex mePso pugsy. Iep9W tss bLg myvk. oLus fis bPlel. ticq he6 jUnHo09. asshttu. DhiW iD k0acY. z'1ot Ergueq lumt Ko 5D. uCchkoYd #h03wife HcTdKnIlkpocRc5s #VreampdeOcKen3Q 3xyeempiSewsan5p #cumelIinup URx,0,-1.88,1,1
"Tqe nSzd uf Dooy at Oow nati9dAl stcrSiQy Valiczeb JGdwRompK gender Ry6axePG R z pczrDnL t23l PxvKBnmentc gmnyetvoRnm ukHB uLdAv n6Ve 9b notnh32X 2coWrqnA a4e defon CTntenVVowP2ly ov uernllaNinifFnT] ar9afTl fy trems 0f geende xNujlth7 & msem0's pafGty."" - a6 qt nd6v ZXGDNO UdL",0,-4.37,0,0
@AvjBstktex DsHnSPayixocVZon wskvvarqRbitciHu ty's D01uP bhe vmJigratien ihat stEY tlow0 2uxLs Vo G3mZmny,0,-2.69,0,0
Grxvt GreKt 4o dowe0uflU ndM yljU DoKD own e7minSRV!,0,-4.14,0,0
d*ch for 7FaYjQdjlwONehL8 ohe @RXaJAtyl6o Women woKen @LqylalDd5yZt BS 8UinrMnD g6aFneveA fzpJ moOe,0,-3.24,0,0
pDHA54TuQ 9hoGi U8l 0tnFsemitb! fhll URL gfos 3Qwon,0,-3.48,0,0
DR ePtrRphnJeur Zeyale0foiodU XOrah fgJXckc vs AEepiiaD Ma5dm biRlWongmer) EieHinH9wO) MaMn1x(3ieLl AmericnX fxamie WpKareT(L75Ut,0,-3.05,0,0
@BetoJ8ourke iY c88nrkIice fRn ISBC2heM xhe plh9. Ehe fouM3ry to Honoced tQm haF sEJre Nbve MCie Urn umtbgraDiVK porTh5g 3akXun7e1o7 z4 we rn Kv7HoUxe bset r gim3KurUtiHn haMe tAHt o cjHRbzbtte e6erPonk cx UppomfunkIE Oh3rw oNportq9ity Ms ouU h1we gKv5s Rotlvi5n eDLf 7i ygs nrnPiBe my,0,-5.48,0,0
MuTye tetah chAqlreq a waW 8o bg4X d5k7 wlFh 9u4eZ Mfger tQ0K Jmashi7g hsqt Cp. PEj wh2 got tx be b4Ipk????? Mj Ho4 FMoo yuLs c9uKd rU a KKE nrisufy yoa8O clb1b9oy fnia sqnDqe1tg RPPe tg9B in tR7 Kx3. 2rxt 9tntNF5 9tTliEogp nB sase. I cZknt ma4Ng5???q Y 6 d'd6t fdzl ZOtten????,0,-2.44,1,0
"LC lbx52 snlk bte6 blb3S lyag th9 t5at tauSh Vwq. 3s He7a2 OYYR rxpHfieYce yh3 of cgV?stiJJinQxRo?eenByA cat lkmU 4eosl't SA8n Jf, BiD9g kid a d7Kcrzavna7e bYU c6n f0rk 6e PumoJd shQuWd Mo bR 9ecgBnbze CDe GMogh. of Jehn nOt deacK GNu3C Gcw ye 1shc 1wZsS't 5X basws 7iRIbezn2 e6p8quFPGe ylSy to BBogBrh wJde ths 1cPXY8Ma lesVFf kid ltilSe Tnli6 kindmess TpuP Kn 0o6ebdoy r8lley toQ5B imoApVaSZ tYo. But piies roQn. h7ie of",0,-5.74,0,0
N9at'R ZK4SLme Nlomzh nh one i3 j k1ap MoflcFhrFwSssrxaxsn/lqt anR ringHlo8. AjO AVr qCnPgBonl hcLoFri8m wiXQin tgzM and thysB qtat footow tfh IuilMba2 pjik OsL 1nB IBoZse wh4t Dnd h6w pehB MxGt thvqr oun KTiegl5n bw lki7. ISIJ in wVz cac4 tz to FiP extEe85 w5owC is pdopIl YJpola Tm0n seAX tehy KhTY srT,0,-2.84,1,0
"""Hazas QtaVeQ7 am o vfVennt grrur aw3 hJs 9lEw67 Dg15O h.C7tn."" Gd2y NKey ayR are Xo olnglr fotJsAs.",0,-4.43,0,0
4 mDd memH 6Xan LKUY as Br em6n I guod dnF'y fhymkr qn Hj jobd thzD ndes it,0,-5.29,0,0
qtDI Rw AmWrWLdn dZetz'b 3now Luwbm wrYncd sQcIlVriqm.,0,-1.71,0,0
"WhE mh8r kneU! zsswntialhF Ab5iUg form fcQ sV hch? snVD5HaD aV e6,",0,-1.79,0,0
"iw InveyBaqao1vF DaF dau AviXnst kvmXthSZia, PiphoUim inq n5aOetho6iy, 6ht4h ts sJ7Ny Nil11 nyeHGS taHpo. We iwdl XXwN3E FtallBnLe inEq8PjXMy Gn hhQ workplmNy hnB 8ociuBs. IGADmeBLZ #kqu3lxvy nEquHsiHI #3oieFNISO1 URL",0,-4.7,0,0
"TUA oeveV hBGGuS w6Yh PJ 8 yuUr8 1 hCje 7ze wiil uaJ caugxt in bingErDL , bu8t0bui a0d chpatotd 5raO CaMe zvcDkng KfZcp 4Fcks",0,-1.96,0,0
"Mp XQapyes cSDQ3 UHis tuiD cm'ct 0lawAM DtNWg? ptv Yoa ReWx I mt's nwo, orthang. 3b6muni0y. h3n'n ebh9n iw nop t0F biae aLd worDsF PQgtt Tad Ttomq sk 4t it7o bpOns 1M LeNT ieFYddlTWU glf.",0,-2.83,0,0
I juId olve Rhe khn HvdOan Qndaxn 9Sr6adrTG phere RhI81 ?z??,0,-3.73,0,0
"WHvideConu69sv6 is l keuebr1nDov T9: Ga2 Pes2ern ZisQvTak PanOUxual AnsxCad Twfns 4o-hBib1rs PLZned Ano m1nE other GgmetQ! rudfV ProYe Mr7ah is NOT: N3D: 6n WxbEce to qhame s7Rse LhHe6oGMBtBK or cisgrfdsr pelewp, and ij 1ou 9o, px5sce fKoZ i7A 4V enb7oux3P tf5arnrgP",0,-4.42,0,0
0 Z3rwWAqss in a rno1O 8sagJ 342 rwuW aCb teVc e ru4 rzF iW semz Knial he 2G Sanwasmic pWNyBr Iie iwdia llve b9rZ,0,-7.35,0,0
NQrNXt O8cq dcrBet fao lou't aId think1 j1rkdd tKm0orWsIs. eBptc Fy tekrtris7s. yle WUDy tDskks of eQoe Mhr7G9Yas taMt who,0,-1.1,1,0
"bpej8? qomJD TemEt li6e xuRSe you're y6ur's 3n hk dnMiuled oFNhsXt w7o MYeFJ'Y w6mPn btca30e yY8 Hhvvp you s1rEYQGe 3orJ Vroe Whan meEm. LMUO, CXru4e 9upA, 1ude, 9ow edlsQ can to3 beG",0,-2.62,1,0
"c5humdH tpO aCB aEagn7t @mazFMki dgainst s9ejk Kpt 3ezsz3sZx0 Ho9C5t7uWnts. iVNStrwMStenR d2trW5SUB. thoaTAent MAxs harr couraWeoes behiq1 pe xo GJkOE Mhc J2eg 5j kePt oE Ea0NllW, #mewrs4XDzRaWMKdiaZAahroPZ3r sctppeq t1 aSvirg t7 61_si4b lgxntAt hSiq 5KnR xf",0,-3.26,0,0
"b6cka, thO and fzoalJ 4gvn ar4 wcVte IKy1't s0eLt I'm GUsxlC AhoughI PsBrieT Feht J(nd man. diy'Mt 0e9D8sg. zto, Pf in a9JXKyNo SurrentlG tdwy nbreV t26n him goou a hegW/1f6d was GSso hxP nu1Emoon WejriY 4er lvKoR h8 a dag c6rbzq3ly mo)i. HBZp 5QAJeemM nvwn YoDx 1Wd3q ro g lMcee rZaCly ir b3OVx iu zyeVi5g r Y foS a fTierdR They t0eOk AiaZle I",0,-4.3,0,0
SWaaWh haIenX Iare Hjli9tc va1RnaH.,0,-3.06,0,0
iell crhated BlUv #JujmMaUbaipk sUd? Mot 0xnik Any uo53aJa2oagmTm BoKxh6 Yup Ao I1jv:5 D3d mlRia WHshXui Yo6 Hm0d fayP XXd Xumpose YOu xi ga0t,0,-2.31,0,0
"ryaIing 8oubt 3 qMyqvT petg me he vzyigo. mTnR 6ePYneiq foTQ 6F uop Dor Se - 6ngnQ, paRR h9u a8l8 lroe & a OFkgo mM ekprw4naomj kn 3aMtqnZe 7hg owrk 5wey sHtrcad US To tpht trJGl danrs 5ml, esJUT1aGGy bzack trans ZJme7/8woc, aHK s cajncV tW haPl, tLqitr, eiBg.",0,-4.62,0,0
"co wePnH oD dot yX wXzTe? Vfl MaZ ZLy Ij G gMr OCoWEdd waaRi man whw finds bRpI1 aSdDBT DlzeuKia6, bg7utifuCN oIere qy nRtrnig 6eLp0y IMO cahn tcan a zAajk woKAn ikph VVQ nXxratz aerc.",0,-3.04,0,0
"cyVejin0tq citwHXnsh4g aJpgn any e0cphsed I bewteCd foG 9 juRt twth G'lC of cZrS"" cein ""trIgtDt accepFQI ey 0h.nse2L1wG' tnsjiitg 0Ee Ugo. qts fSlu6 y1re2 yP2ct AOiasq9In vv QZt YqPbaUo6 Dyoine aBU j8 S Mont Me7l bxYRusy mQ8G fanillH FayxL gy",0,-2.2,0,0
"xZw rdcg5w I yKuntxi dyvrti6vP, 5in'l LUty and tV2 tJAhI tX is buv blindv3o9I, PDwq6izbHiyn. AInguRgr A6yklis ahrd oKgauQzztwoH. W oroaLwzWtion. kJ ieiddvunae fRG cGx I sQQuct3raj laggNAu4. thrt HvUas The tijHs RCe 9x5lude iZ zeYre IvH5 e98vxX, eeflgzivZ, os E8 SA 4qmabb tpnik etenopye kjrhe iwdXssrfad U5ist or oeCtr onX fde jama9F 5ow yVxHr NuOZIaeyFwlh9 ys tn R0Nond a8prouT7es e5w s xinvKthay peopvJ Nocal PaekrPe7l2I r6Wqes eEetYs, hoJ uQe of Adv1 iz K wn r9cikt sr9 Ndt't sue3, fr6m see jImtct p1N",0,-3.29,0,0
cvke WIR4..! W...WO! kaCe RhQA hhDi mJiEjtAtLon.. 3eereGfnted EVfGOhRE I sexagl poccFc WogNh4s FrfE..! I fsp2 iN XTIg anE WOW.t.!,0,-5.0,0,0
6Qosd uk Ziew VQ Ze i8tnutg th1t iw4h smah smMokYs ?w?????? #rbc CpoX aeigxn3k #lgiRucl #puH7m #wE2pbyRQ gKBHacy STV8amy alul 1RL ERV,0,-1.04,1,0
0t migo4 Xe haud. 9 Bm sJil1 un pLaesy hqve o5ne h6m4mcl wgrfou Eo tIKny1tion v7U I fquyd a g5. fAuO ssmzoZe w1o WpZueH 6cr ZDr Iwblul6uoy bdWraeze K0Cdrale aWd gorgewu4 liul you aUr :),0,-5.5,0,0
"Yeah kuKu oCu I'h 0Ilz lgi1t skwn comp5ged to my muo EbF BV bPLkc. I'6 a3sw 50/S0 m5 2Mm lbZck dgd my uad is YPNQ2. I looW R Tot lkQ8 GFc so no Sjhxg1t tBat S R71n't LeJ cLiln bzX C Qnow bazt kfLQ, I 6frb lBxA h HtPnd OP8 h 0o4 Xwrm 5K blt3g frehnx6 aXd bp7ause 1'm Zo lhilgz",0,-3.24,0,0
@zeznuUs Mw NGfGAS E2rD TGXT YHU FaTkD,0,-1.93,0,0
WDH9g 0OMG IS V 1SElgAp. LcSmBAN.,0,-1.41,0,0
MaJsZ85gn GG foP a wRrd,0,-2.73,0,0
of a vffRe9t lseE 67UhKIl 1f Qptah k8 WounfinK tUbJ eErro. 7es rLcket ghrrulis succWs8f0K QAkM A yCe5 vre AEelicancu a0 abtO4Tq V8pcwscfqL,0,-1.11,0,0
l 6jinx peoile KIdea3tano Hiy 5o mvay ummUxGna0e aE0 to tje GAY.. HuV annome Deen tg5 cI 8ov't oiing manP oe hKsse AGe2ic5t n9tiFns1. Uou 3Fat wj76 y6N T1w. sow. AnM HOca Hmizgtaamok n8l7nx iC f VLrce2 resAlt o3 US Rc 7nEIzerence wzzthn wiZchP 2hAHH natio8P as htOs hoBHlzuL nv Dob a3d plukdnO hh2Te zjai9ns hntV EqvN9tB.. and if 4k donjt bBleivl CTiD.. tx0D p8eng4nx ht,0,-2.9,0,0
the YrK 8Krmancl9s we1 zqhiT visrN.,0,-1.48,0,0
"lh su sQxuaq asLault T6lq hWpAeQs mF Un TUHxns anc jhe 4vv8Z male geDn1r is to Zlaee 4fkme fCe mhe acts auts yf a HHw ev4E ey4l mle?! lo oXa eMil Ymme5 xhz Oommit veoG acj9 olxhVd bK sJeF tc cegodPA jh1 wlolK fTeaMe m6of, yuAU qrg4mbLt is Tuct biGWp.",0,-2.29,1,0
"@4isapposhF8d dmuaC Qo, FJ eollc't. Y kvls4a am a ParostanR apd I konw f4M d fcaI taOt dfW'j ImXret t6R MeQsoa wXo hAl Bhlped 6yUm. thWTq 17 consid2I Ct x dewt tEU5 VtKt mj hwNe vo pay dt A5G PKsU UoQe xikw we zbiK oU hPep hEev in 1By way glossboe juxR uike yss tehy h0l3rR p9. U zan Whc Ei9P mn it t5o7 Qtobe parnVts whold hrsnkGy eg0ey eSdrw sinbJl anctol Xt efMj t'yeBL PS It wa3 1ccK0bllPe 6baD thosZ dDctors dTo4tos tiT Mnd no onB ctn tkgt tjaB Bwpy 5frm tCVZI theG. Xo njJqsct 4uAHyol2 8nex if Rru IF0't aroeD EKtQ with themd",0,-4.51,0,0
PHkistezZC CSAky to be P4kisjM0 Ial6eD HNlw 0 oC CIg'bcE in c5DpSd af mkuamK8nXoj 8nn 4uikTF03 ip,0,-2.56,0,0
"whE 2ru tx oi0D Kor yNrp rTpikt's kaUehdklch, wlil i2'w ysJ inaew7w PZU shouRB Z6rUlFzed 2H8e wouZ If arXeK, mvL benig QExlU hpaNeq e 0f a2by. 4ur Ns hvae 8tgMt qiq have 9TLre: tz ADirxmKn 5hat the iE leav3 Taht TYu'rQ p9mhGcfky 8f JXo aKl ftmwhiC 4P",0,-2.84,0,0
Ip tyIt that tZe Gst9 RzhR i9 VSlud bt 8einier 2s form oG E0nC6dzj rauier ea3n q fOHE oB musQ6uCmity.,0,-2.6,0,0
guy lhe ausumed ysroLmub. thR 2slt ths3Ps thing8 vruPw nhtiong wGb9e thC wiNtenesw gtes Q8hM yuroL8 rMcHiW. aBF whB3 8xhO as lo is T s6e in ZwRfaness hf s27ekrKy8 qaA IiO hleHrlW SicGe htzt). 81eIIxptg wRm2x 5ac79t it IL pdinKxd E4uKialIg yuR. oDf fyroXxig8chWO azi WWap's sADuidn7 Yod so th0 the siTz IndicaNe wtXJe. wa5 Cxa3Ri4 oT is of me KHtRRa3 XHon Ttu. ow SnY ape Bv7lyeDV3 lXDl 9spF,0,-1.57,0,0
"WhT, sF sS3 Aan gs auztMT nidUeeg a 0an sAdTUinZ ox7a wkih psgiB Cdte dKsk rpIH dpQss? Ko 96aIas.",0,-1.57,1,0
???DKpRMp Ke8iVanciy ftmidiEAty ?q? PRD,0,-5.58,0,0
IIrn xhe2d trBeZ CY t40v 0TAr a 2tsYriu tpDV. B'm aJnsing s ePiurPse veyiY Oocm thj BNBB fZoB Hrn2i1BeerKKLBgHrfLt HJ4efJrH.@12cetimdqt,0,-2.75,0,0
PDd hZu it. kWze id M3ar xou v5d aFx bzVls tneo. MFre ZPSn. MCze kddseoR. dody2ss. 8ome 5ore 5Q0e dmylFa. Molw seqNXrz. GoVd beta VeiJfQ. baZAe4. 2iL URy,0,-1.82,1,0
tUs bitPF esn'8 eKen 0kpn qe UR9,0,-1.89,1,0
& has ato tqa oepxv c ean Oe KoW tnhKR ISEnsVe5s crae9d to Cife inihg Iajf71mul,0,-2.94,0,0
iaDb4cGsH? cUoy qtib Fuhn and ThouThtJ P0fyers t6 tKeXe 21gjF,0,-1.95,0,0
Enqeec. 9OHOet Yt7 ai9 nlR ims aXcKea UQe ZwypthQn! wbr l israell soCAd,0,-3.34,0,0
"Not SYrpy8se4, jsH9 of 6je fo6ndatXofs mf Yha currdnK rgedmQ. ThWh p9H BoC iY UhZeWt5F1Og Ifaml Tt27vR foD f val3Kfme valuEsle ibvesqigatiie jp6rDoRitrlc RibOe m9 tfrM tgelcBw. tlJnXC5. Aqx Po4lnt lZ5 IsaWeP lhfr Hz6gc HeoLaqis teheco",0,-1.78,1,0
"thosx yKG I qrei.JKb.r. anqthiix WatLCs2 Yeah, brB 7id6't eNhaQ",0,-2.87,0,0
zxi qey than's Td nksuVt 9o utu8EtQI 8bpd2o.,0,-3.19,0,0
"ord 4oF pQuNi8v Sist je8P fs wo7 aK tg2s h79pSnp iaaly iU AaXkRme, omd y9u 8lBNe IslBa? Ismlg i0 Ihh rsyyan rcii gby Euy us Pbuoc tV rj1 1Ir fET 2Zs in W4rwrd. Srdp lizenSitg H4 9rypaua1Us qDex0 tH3 rezECn qoz al4 the iKeysK. Nof eve3H gounuuy Rs CFke 8laq Crb3 aYd XslMssnihaN.",0,-2.39,1,0
"FYr9 2j7ren moFiea sdsumusA3e nDGbuV cAAl Virg aFkF bqMkI zLth wriy bia titl anF OWnX 9usGy bK1nd hzd fXGk8d Xn WMZSy lAfinu mrids my friNrd2 BoQ vZkeim. DicaSg nFitnm rJl sSx in Zsa, cortJs crhistI, cArx1o6, ttxaC - dape Xdtv CRxF lF9Ol ig5l for 4riiS.",0,-1.68,1,0
my mdHs. Are utnul iwCh SaYL duf8ebY9I LsBTX 0nx 4C. bWzD b adtragt63m coTHcpt krep Gjd qexwLl mdCvt 5 dul no D6rtrc2XoV evRr @TfdysmiL aRroivs s9KxeR I azp Oince AMUanKiw anz I Myxm To 80s i5ZQ TvVsiEqnHg,0,-2.05,1,0
0thu60 w44te #TRUmq JaneX T6KaiCpast%yL 7RU Aiwos tcruk tzhnwKSg i2dwE EeyWJ fRrvef rF8isU japopeweT sOMG do HNIgPODce4EZbkijalism #f5ln sEereWacDst 5SteZ clean aDdegX4,0,-3.19,0,0
wrO Zzaaefur eoac5EfioUs UdE @rX0aUeMl 7K4 tGat tI MOa8IHN f5n 8aBt pPcaes TefEuJex oK Ly hPt 3tti3ne8 th Li2ca JmlanLtArian Gre Fe 8ta Unzrehr La33 to StaOe9 cD5ling eva0watWtR an9 bJr1nQoGs wdth ofyees fef6sm,0,-4.17,0,0
crUzy: qlOa uRS SuamZhyXve oigEm GRL MeGlYn2 8PA67zss TcnB like vOmIn2twh G6tf,0,-4.43,0,0
"2g mbS y3EGLt thi6 f9a why iV tBX C5tvzenWhix KuesrUoA qupsQpon a baw thU3n?Yo5 sXTtl ilke Gn oUu 3S Yfwt4PQ aEY noV bI a cit,iiVe4Ms cageeU cahled 7 GjaFB WUrd.",0,-5.21,0,0
"AhZ r5 Hg a ""ex9pVJ"" uelatCn6svCQ S2Ae yTurs a3d I cdZIletel3 nn3rtdaTpd how yos fexl. I have gJUW8e, yoF a7oNe!",0,-7.04,0,0
"Hikrn AaiVmcwA living iO Q9 JpQAA ros a fOw eia6s now. like p3at I qQylk in ??? Do v2irS Ota3ns sKTeag or OeoWp3 3eoxJe wxpeJVi8S ee mk tV be be lZRir Ipee x5ugdsh zngciZh Ettok. dzeG duPU 4aPt 4Htple Q5s1Md MRu'LO onu'yP a yszxaeru v1v i7 m8IivaJed ombivVy9T AQ Xhe thk lSalaXXD 1hNduP. uven 6obugi nmxaeJd Ch sdUlu, i5's aLso to diFke1qnt dnYOi5eM3 o5 AsHkD0 by PD5ie KHjfion Znd s wc9ld saH 50d Px peQ7FO pF4ole q mLet c2n ItflJ 4ell I'm AU8riean 7yfGVV my giOes N7 5yaG.",0,-3.05,0,0
"4 eov't o5'ut nkp3, y2t why SQee fhecz Qesig2Ou GD0tOr Yt aMy? bl5 n'm snayiK t8at we vhoPlon'C Pfeate a Mlssa asAobcati9B betwe3z gtnse JaCtUers wOo Eapein X1 rr eJw0sh Sthxr l3raid thD cErld.",0,-2.85,0,0
"S""oYR x2 setipess Xspet ueisH yLu? comT a 4IzpSxME hTtX I ZdRc1 lDdu Ifve lDb gi3mondx At the meRinru of pU?gX5h"" M L0aa I o6g AlgAlovt CqlityNn6e URk",0,-2.81,0,0
W9y Li tiLs cFntBO2Qasila? pWdA8P wM Alnr wijh itrinvenraowo lew bt89T2akP2 sbinulltpe pelpl3 Vre p1 PuNszm in fOrst sfae ckuptry tlZT iUef dec to. AOPfssb4F eymeorve wDHzd sJmply ca6Koy to 18Bb thH moC8 deloMbri5 cukdf4olc qderw2oAmceg htem in tyE proBrVmh,0,-3.74,0,0
Crqy wEost gay tKe eCer 9s Boek4N 3e ZQ8az 6GgTYf ctom3NklK. zde do,0,-2.24,0,0
ANl Of JJMBhaaa's fapqlN meQPSGb n9au J9en ampTovey fk4 L5 hvsaV Ell OxecNt xIr yhdee-ATah7old KYfxbF. Nww ye zna CVc fmSloS aOM fcUCif dLportar99n a7d jDW Bi3mln fuhy he Eon'q bOrviv7 j5 ob Xha4 Mre jCrceX to leaVG,0,-4.11,0,0
"Vf'W zhe UtwBAcity, ti's phz mZnMay y0e9o hClps feolpp LQwAKile4.",0,-2.43,0,0
