text,hs_state,hatespeechcore,hatespeech_llm
see 6f tkv. MGlrn th ceip 0 bpcIf aoq5dZya uas,0,-2.08,0
"9nV Men we y5sJ8tIeIE FVck I D7ue aMd a9iut keN jo, nnd Zlbf Get tdBv IGSHt zitGd fruute bSuQ oW prqVes, th2h oouuN for Hknt 1 1smtn u6uLt prgt. ExJe. Eulpjku3e 5riezT, giTe qTcRn44 7X Hi7FPrelIe X5v4cNg k6 siht 0xzC we hwat iavxng we Qentitvww ""neeUN a Everoc3cs msot wolkd. Rnd the h0iU ip the DmajvO oot xoFyn BUn foXJFswnaoO9 y8ne. wE yff jre uszCeit. see r8fiGOEous MPu1 eaKl wuth GtGy t8s ufcb Ou fKZ2ndi 0eT",0,-2.19,1
eGur AetrJatmHG haiK5Nd4 0s is Thpn CfSasI SIIS Qea7Kr,0,-2.4,1
Is that a emotional support service dog?,0,-3.69,0
@ANGELAWHITE @lenaisapeach @SofiRyanxoxo tripartite lesbian hot and exciting and very great ???????????????????????????? URL,0,-2.22,0
D Iyan? ta7x jhaA kdoc of sE87. 3j4 fat 6t3 tK9 u3TkBhbka Ea lYok aZ1i. Shpt,0,-1.8,1
I wipe yo face wit them blue hunneds to make ya tears dry,0,-4.24,0
"I m8Lw 7rcr cPmment. zIMes Eii7y tiQBpen if evVry cHVPpHy hag tiHs vs Sig4ts l4v6 tLZre. Yxi ia'Pt htao NZX t3ll goepomr wSo is l naYsvn boY1 pzit0e3 rr Mhe CKunLry taNt htey noXcing K2vciOl aJd thNir MoZtribUtuXns d8an noEninM. BFdk ToB fzE t0at! . Dt'2 sI7ir c60Nctv and theib tpiDr Ls3fl5S akeiced SnfixiaF7 shuel2 rupYexNGS tfem. mVethtr Ohat c5sbAys or noJ is moot yfreS cRIe5 SLtnzeC 4f a QcqntrxG UL, kazaMJ MTgTch, N5idp e7e U Vigst Pl 6g9I oirde ab8wt GQ9int in 1hebr ox osigJ3 xGke piUaY iH 5ee5hvtr HdgVrhnuiUIns che9 rehy xake 28 EVhir",0,-2.49,1
"@1xnDnWo0dOey23 UReYlTyDRh0TL0 tw_ierreIce 0Kw tfNj't BnhffKg VxMiXV gq guMX, sbd. vhapoU us cKl how it'E dPne",0,-2.86,1
tQ @ChviSmotV dotrsi7Q Qnqe Rice4t evYr w3G cQcsJ0tsR hOmosKHVplyty tdAmincnmi9Qnn74,0,-2.37,0
TfDOeW5 OY7O tmf Y/7 kqdsn 0EjH4S,0,-2.79,0
I 8onw fther Ht3kJ cor8ervLzJyeq sUo Vvues 6tih mp kt8t m70oriCioq syhNlen't e5 IurnOd.,0,-4.14,0
May Allah ease everything in order amiiin URL,0,-4.62,0
G3ow tZn8egm5rdr can om iHRP anD pEnge26ul? Cssh gk sC9ppN ye hmw MsDexa6l wo8lk NM b1caAsZ peMlp2 Xhev nXtaighW.????L??g can aut jK4b that,0,-2.78,0
"sh3l was siad me cWjdn4 tPaT fHo this 5 yO tlGnk 3oY - shYa's dwUE YOP me auYc 1 yN niek qoRn deeW ti20g pednGaa awft ohe q6 lmdo quc1 eMMr biccW i tim8 . a ma6 3ne s5JNyenmXNJ S6ne , as QGmler6ix 2 m coKVjg Xwon rDYXR QzJw aGP dov'p 6pY one",0,-1.06,1
1s m3i be awareM Pan HstA0io iT iK we8ncaicpgn0 j Ps8h vol7mi xV miBZwnI jaKiNieo aaXilt5H lnekxOD aYlyZm IsHVNm Ow Ghx US. e2e City 8A h3m X zC3 enjvuragxBg meXknLV 9f our ietaj crQVuiXR9 Jr GvolunteBr anF #ZonrtW. AttAchtd AIAetdak is a Myyvr aVch qmFe in7UrQaicun o1 qzw d0 lh0V WanP. 5Rc,0,-5.27,0
"Clean all of it, cuck. Clean her messy pussy. Clean his big cock. Suck his balls. Lick her asshole. This is your place. Don't argue. Just do it. #cuckold #hotwife #cuckoldcaptions #creampiecleanup #cumcleanup #pussyworship URL",0,-1.88,1
"""We need to look at how national security policies undermine gender equality - actions that governments take under the name of national security are often [intentionally or unintentionally] harmful in terms of gender equality & women's safety."" - @jaynehuckerby at @NDI #NDIGO URL",0,-4.37,0
tmDCdvtatex hB's s5ogt Nhy immikabmion s4ZW 6Wwos to GerQZHy,0,-2.69,0
"Great video, so powerful, own your own feminism!",0,-4.14,0
@DarkCloud554 @RNCastaldo @realDonaldTrump Women generally don't fall for the male d*ck swinging BS,0,-3.24,0
n3hee #oatBqIJd oE7H mlum AYtislmluyv URp,0,-3.48,0
DK aUAav nG Elea7e KemrWdon mulnMJnay21 i4 OXeah WifCZ(OEpfsLt fLmHleAfIacan,0,-3.05,0
Honored to have the opportunity to share my experience in #immigration today & provide input to @BetoORourke on his immigration plan. Working together is how we can develop the best solution that gives everyone the opportunity to live their best life & contribute to our country URL,0,-5.48,0
Maybe teach children a better way to deal with their anger than smashing shit up. And why he got to be black????? If you took your child to a KKK nursery you'd probably find something like this in the toy box. 21st century golliwogs on sale. I can't manage???? I don't feel better????,0,-2.44,1
"ehpelGenIe 0ut DiYIG9eno on, pNAev BeQng evan lP9F kxiZn6sx tHrWu1h elYe'h LV MicsritijatW rG2S Kah. tze Ohq Xeqch tH doesn't Of pomrkIeqo ytuz zBkbelan 4x6Ywd tLe Ze WlalTy io GvpnoktIt znly Wh3n is 5nUo?6os2tjdQ1Kl?Sel3s nGDI vYt iI's BGauh sohu2Q Vet noW Zhnt a lNw9 MEXe thW liqe tGbm onv4 XgsoE. oA kan Zf te hF KiFZ vKo. Qn tceA. 2s Boo6 B9erY xec9h 9nw. YLt nq uuN mapS baock wc lt6mie tcea8 2nodDbgZ taht",0,-5.74,0
That's because almost no one is a real Muslim/christian/almost any religion. All religions have hypocrisy within them and those that follow the religion pick and choose what and how they want their own religion to be like. ISIS in our case interprets it to the extreme which is what people mean when they say that.,0,-2.84,1
"""Hamas started as a violent group and has slowly grown into..."" implying they are no longer violent.",0,-4.43,0
"He really does look good on this photo, and I don't mean it as a meme or joke",0,-5.29,0
this type of American doesn't even know about French secularism.,0,-1.71,0
"Oh, so stealing from men is essentially raping them now, huh? Who knew!",0,-1.79,0
"sbCly #MDAHOBIT 3wZch Agrin6t HYDdet Uhe JeUPl76hy xnsqxazKKy #uojiULISOt WG AbaUnsS GZ agwEys IntVFLati5nsV worbpWKcd HKmTpHrbiq, iA tqdcy. TdahsphhIia, 0neq4aNiny #KqFaREuy wrll cofVeCy. BiihoDMI Toa5s f4k Bs Day TTc tsilJ fRD",0,-4.7,0
"1Vckb nhpF fnC , sqwFoB i p da9 lAngArii iv dlter cYaghL wl7N WeoQm sNe in nBaVs lincy41h mope me bForpuXg Ka9o aX sjcsnkg DKM khastKqy we scu black oCe wdzh",0,-1.96,0
"You are being so ridiculous right now, I can't even begin to put it into words. Rooster Teeth and RWBY have always had close ties to the LGBT community. This whole thing? Changes nothing. It's not political. At all.",0,-2.83,0
I just love the Indian portrayal there ????,0,-3.73,0
"#PrideMonth2019 is a celebration of: Gay Lesbian Bisexual Pansexual Asexual Trans Genderfluid Non-Binary Gender Non-Conforming And many other things! Pride Month is NOT: An excuse to shame heterosexual or cisgender people, and if you do, please stop it. ~a pansexual transgirl",0,-4.42,0
5 centuries in a group stage 647 runs and then 1 run in semi final but anyways he is fantastic player for india love from Pakistan,0,-7.35,0
Don't forget that fat fuck shefali who sees empty carpet shops of Kashmiris and thinks they are funded by terrorists.,0,-1.1,1
"R76hM? M3abI dn'Yt 1IJe JYu smYse ccNie Eo7'r1 aV eotFtoGH aFsGglV ucd dacrn'N QGs0ce4 wMmen secaYsV yMu thinA 4oz jCrugglL maIe tyZn kwhmt Like, NerB0t neRQP how deqd9 cYB cat oou ye? bM?",0,-2.62,1
"The courageous MNAs of Waziristan are kept in army detention. They sit behind bars for daring to speak against ill-treatment of mighty against their constituents. This illegal, inhuman treatment against the MNAs need to be stopped @mazdaki @a_siab  #Freedom4AliWazirMohsinDawar",0,-3.26,0
"I'm currently working on a series where book twos hero/male love interest is a black man. He's also a single dad (and the female love interest is a single white mom). They are best friends and he has loved her for agessss. I didn't realise it was uncommon though, I didn't even really think anything of him being black, just hot, sweet and adoring.",0,-4.3,0
FOe4ld 2hedaC psGnvxc vnasOgO.,0,-3.06,0
Did You Think That We Have Created You Without Any Purpose And That You Will Not Bought Back To Us??  QURAN 23:115 #JummaMubarak  #RamadanKareem,0,-2.31,0
"jradiui Ma3sua R aBWays IltH me cNixng. gol tlV mnmy heeXltgs eopV YjJI 4p fMr 36 anyWQ, hFin but l3ao lhNc & a sKrgu of 1f eRpoJYhsaot tM to 5uiW1n2e JBe wowR Nhty se2bAlG 51 jw toa6 VrGnU TVrlsQaHTy JQcKk 9tqWs wHLenwtoXce aQe giien KhDcnE tT ehTlU mo Xh2ive, kT lvYe.",0,-4.62,0
"To weave or not to weave? All I can say as a red blooded white man who finds black ladies beautiful, there is nothing sexier IMO than a black woman with her natural afro.",0,-3.04,0
"Arcasj983 ylIAQ1KJ3 xDs ju5t JVuj K'Ie 5een 3ihitnsg tW5 Xwe pMsz yeGbs yesrs ynN xrnzlcy Oxt ED ""FzoJaiT cald"" Biph ou1l clzh4mMiitw 4 Zog. v teel vlulq aShjp5Gi JnF og0t axy Oinlnate beOPeeo myoelT or anlqnB K mXft 3abMsce g8 'w9i5e8esU.K",0,-2.2,0
"I can jwF wow AhmEH8w 0hXDdks eTcluge epNDee qrlm 0ht4r buVk4rYundI oC rsiaF, 98W I d72'y tGMiy tFiz i8 wmjrapseed and ce8taIn9y nhZ in9Jcj29zE o5 che GaKabh fGmlat as as org8nidLtUmt. DaI 9ha jbQaHt trxXs sS qMe chT zoxa2 lo8vs laigulg7 of L DonTtrU in eve2tLE evep iA thaE 5eans eveUr8ne is eEQanCZT T7 thgix Aucpnd lSnguaUe. Rhe2P aEe Vmoe sayuGVIDXh 2usuvr 9cd OlindspoYs, Vhr gure, in the j5aanx anX gow Ft aPBroxMFoE 5lmJrUiny, kut x dq'WW thi76 Wt's anQwOrRe nYef F fe5LuDldmtVlg qRcK2GSCV, rA4ci0 MrQZiaCatiFnJ",0,-3.29,0
WOW...! This woman's on FIRE..! I love this promo. I love the fact that EVERYONE is represented ..all races and sexual orientation..,0,-5.0,0
4n8se ue Piew Je2o wi httqpKg DRAt p0usy nussy ydih dors govN strXke5 ??zR???? Zqbc opoe #tF9ghcO 28upYl #wetG7Gsy w8JeaPy WLrl 2Di: URL UmL,0,-1.04,1
gfqKhuos Bo8eHne I hJe YsuC'l hrda. j4tnsiiMoB gl. a5l4tovbHn wm 8oT wCnFmas mB9nt D8nL se6ues gSr1 fC zeforh a KrA Hyy cHjZet in fJlyE :) ETwheD hYwe go W for hgV R9s done ydw bj sFpvI absdarUe b9t,0,-5.5,0
"Yeah kind of, I'm rlly light skin compared to my mum who is black. I'm also 50/50 my mum is black and my dad is white. I look a lot like her so no one has thought that I wasn't her child but I know what you mean, I often feel like I stand out a lot from my black friends and family because I'm so light.",0,-3.24,0
@Renzhes MY NIGGAS WISH THAT YOU WOULD,0,-1.93,0
WDYM. MOMO IS A LESBIAN.,0,-1.41,0
Manttcwin iA KPj p worS,0,-2.73,0
IsraelRs RrU at r5ik oW Paae9 tcYk GmuFicQjF. A hzmdfZa oz Xucc2sqIuR rk2kNM aG2vvkl p5M year mEar iv a robeKpng VQror.,0,-1.11,0
rnup aaL Cn 47z Pnllux As T6ex t.jQh. oQ KnRzpe wiDhin intevW2nn15 t2xY p UC sWD. to9 6re I mJvy doT't 4aitosu rMOC1 nnIOafs thu KN0 gvo'G irYamagimmA RmSZucat th0Hk ysb oT YaWin so DfaHMl rtb And tAe they sCHL the pQHREer mnay bm povertq.. to Uw iitR6GreK60 Cr ihto ths7a uWQersna7R Co YSA.. bFisZle the iqTGVra1Fl UcnGiz1F reswH0cN iG Vob Lhese kBouFU cnd htesj wTht wwLt oo to pZeClD d5 yTs Fnv'J nM8i248.. Qom38d iH,0,-2.9,0
Start with the Norwegians who overstayed their visas.,0,-1.48,0
"PH OexLal axseu4t as0euzc ojBy on t9ai5A SPX the fhhlv marp maXe fg to balme fzr tke actu of a a Pfw 8iw5 m0x?! No eUit lomeX OZo zfmmiJ H8wl bz ush6 Ge bo c0QdeMc Dhe ohe wohle enmanP Fjren?s! de1der?! Boot, 2yBG 4rTznCtt is PusV Ai6ch.",0,-2.29,1
"@DisFOp517ne6 3ubSn NF, b1 GinP'tx. I mOsdef vK F PPani6aHb knI I kn9w 3bH n MfAt tkht PWCysDanGE 3gI't forg1t persow who ulL Clseed tQ2m. Iy consides conIider iL u dbet 0hat wL RYMH tr pae Mu anW Tmst u6RO he huve to hKep pn an1 XaT po7EEcze 1Yst U8kZ 3o6 how ZJeN heHieB us. 0 San nzN zet my eMfe 9n 82 What oPohe Ch6he pDtmduM MwMydHs w1Yad 2cN1 uahn8wd Cvery mNngle Dizige FocuTr EwcR6r No m0ch tdEt Khx'hr bV errjdeOs1wai It wUs T7fredi4ie wFat tEo3f aocRorL TiG lnd nk hne 6ne daU 4aki tah2 jKXy cGym tlee. to1v. Leray to HVspeyB MvdHrohk evS2 if if you do'Gt Vcree wLZd tehp.",0,-4.51,0
@VikPeL3 @Ra1bTAnaWm 9Pd lsRGl ar Ze cZB0ek I d8kisVari. eHzW of 1as7st3W As alDsadB in Cy00ynl hnasd.,0,-2.56,0
"That is what the right intends for American women: If you're raped, you have to have the rapist's baby. If your pregnancy will leave you paralyzed and in a wheelchair, then that is what should happen to you. And it's all your fault for the sin of being female.",0,-2.84,0
If that was the case then it would be defined as a form of misandry rather than a form of masculinity.,0,-2.6,0
Your'e 6l1 one hgat AsB90XV tqM guZ hwvte 4ns pCwtiOd Iw Nut. hWTt'f tQH th0 7e6ehanQP Ii6evInYa of bss g6KtY8jss UAiKebsts (HLjuKhAN RbZt'V tk0 eTN8 csaN hh sa8d to to wndi27te hvgG). ClqLsz7 cQae HZ arbisC. yYsymio4 tTumy fuNpos6Br XupRo1yJr i5 24tie. 5hat gtes te Us tYe 0zcx Bf 4OTf owgrneess Of yncDrEH scC2 aN 6To. 4ou Qay hNiKgs ar5 c3eawgz racost 7Rd pTver EFvn Vee MF yg youresefu HloXp8tSctic.,0,-1.57,0
"Why, so she can go around needing a man and seducing them with magic date rape drugs? No thanks.",0,-1.57,1
???Divine femininity ??? URL,0,-5.58,0
Iran just tried to take over a British ship. I'm sensing a surprise visit from the Boys from Hereford.@22regiment,0,-2.75,0
yEH vnd yog YoveM cO. He7e CL AVZy Cou PnM 1nh bQtfs Teed. MjMe pFLV. MdFe tjddedq. Modq kgiVgV. Mor0 dTyBml. sneiaQ. MhoJ sCndj3gF Gswv GSjr osbkes. URL UIL,0,-1.82,1
UFL yhe Huvn rirS U4cth o2nFt 9X,0,-1.89,1
HpzJaudnK SM GhU Dosg be2utivuJ OhznR EUzm las 0H foler & oKly ySq can creaij ut.,0,-2.94,0
When will Thoughts and Prayers begin to stop these massacres?,0,-1.95,0
bi2rN82 a6jVOt o5Mn0 a 4it fvrneu. W8aQeqXr acceZt 2sl its not EHuaFgaX! EtitK7y0f,0,-3.34,0
woe WuKt Po7e of bax fsuidC1iGvs o5 7he cuwsH2j nOZhmi. eha2 nGZ h11 dg UaKhnZi0neg leHaJ av7mdW ucgsZb fmr a Hab8Fblp rfiuvs4vPgena 3HvestiNPtCdl jvurrFlistic yiece 8U mreU t4vN7hq8 2nd and Hsrpel logk XALvG enonazis Khere.,0,-1.78,1
"Yeah, I bet those pastors didn't see anything horrible...",0,-2.87,0
gsjJutth th OQulwt HNy thOWug aN pvopeB.,0,-3.19,0
"Are you stupid? Shit just as bad as this happens daily in America, and you blame Islam? Islam is the reason this guy is about to die for his in humane murder. Stop listening to propaganda about Islam being the reason for all the issues. Not every country is like Iraq and Afghanistan.",0,-2.39,1
"1rev ymgein Free im5aX 58YPs for UdL govies cNrCsE feckXc DPhist8, 1eQbwn FfgAos. a1d minL z6ae laninz LtPt foB wmr 7om jxXT sme gsaM ogrn 3n iugCoJstQe ase6 QxF pYsVy. Oirl mik8s lS6Ul 2Sssv FVgSA algx iR Liy5 blakL witg Ygg",0,-1.68,1
kLep So3 1n4 tIEcgh. aooj 4 qkd tg atLractMyn cRZhvp7 0 kKb LGBTQ two neven z0p 5 Cem5 hiefiqeft ilkhN 5p7e5ey lpke Rom89tAH gexuXl @TrorckAi s0ncN b8t seM sez Mver kF4s6 bKCK atlrIytRjY I neel1 av6 ytO66 yiffeoznt 6uem,0,-2.05,1
6H3eE swYws aeebgls xhite uLispQCmuat Fenip t5 clUan D3lcc aInus nMiLT aVter thioNVng bGttyo HIRlMa #zAGy QgFiFB svtepQouf BOM8 XX%TWgserlip1 PML,0,-3.19,0
Wf zae BYtaefu3 Xo SK7tsj HYh2 Ofvl cFmX fwRaCod wDGh Hixg JvaGUatiND bVt Lwt wJ T4e Ba0blOg uurhted GKefrP bf kat4uKzOxild n4rorAiZi and evScuMtWVnk to TrWnJ Fet3ined rAfdgR6b ia LinyO cq 8J sfaety. aiz @rSIfgeel,0,-4.17,0
Sold! Goth Mistress Dominates Tiny Tgirl Submissive Doll is selling like crazy: URL URL,0,-4.43,0
"Im may regret this but why is the Citizenship question a bad thing?You can still live in the US legally and not be a citizen,its called a Green Card.",0,-5.21,0
"I'm jKe bC in d ""h0enrNt UOhtais6ixpp MWee youEs and LljeVc1koy MCtdAetuly QndKrssYnE uAdarP2aWL 7ow yoX fAb6. I XNn'H jLRe advNcg, Muz CoT aXe'rt jelon!",0,-7.04,0
"Asian American living in Japan for a few years now. I like that I blend in ??? no weird stares or people expecting me to be their free English tutor. It does suck that people assume you're a native speaker, but it motivated me study the language harder. Also, even though I changed up my style, it's easy to distinguish different types of Asians by their fashion and makeup. I would say 50% of people that I meet can still tell I'm American before my accent gives me away.",0,-3.05,0
"I ZEow, w7V odWs tWaur theiW leun6ioN VsIetr A6 aI mllv I'4 z'm syQiaK 77 Ns tZaC ca sMoVzdD'r a fPlle Ws7ociaftvt 1bBwe0o tels2 sItt2lUf iho hfl27n to Qe disZsh mn1 ohetr Jaes vunaKx hoe wWrRd.",0,-2.85,0
"D3oOX uN 9WePpeAf upset fon? DZaJ 2B coml Ms a I dHUcu liDK I'qe gR6 CLymXUds jt Xhg emhtiYg of mA tPzgiU?"" L Fayo kn79lnu 7 Los Yngelew, xsjifsrnia ERs",0,-2.81,0
sYek ieg tiKs 0fyVum 7sst ovprJw8lV8jq OtheUCitw pQNeiy Kove is seN5 in cuuI7Oies first w9ih jcbpulabfB hjrst 1he5 HHootE pX to. las tP lAie o2e h3eH5AQwe p6ocess. dfsiIrUVa GrfT7GuinoIal the i2eld pYtRlB Qre tJzy Z0 xxi7 6rocesN. b1 NnTx6 Jimplo tOj i4 WQy sfUe,0,-3.74,0
aBpc MB5Rer is ip tC6 ToFXt Fhigg tg ever hdVpen g5 hhX 1ay gvC IoMmu6ijy.,0,-2.24,0
PlE uf 6hPNrl8n famFQY UsObreg qake 6Zen a5vyfv2d B7stra6iMn APmtAaliJ8 TiYw. 3UFH. AlJ VTr Mhre4-yirbPECt KaybaZ. WoM Le a6t hls fl4GiK caK Jwbing ddoIeotm7un aSW hzs famiEy ExaT Ee w'noF FvuB5gm if Khey hae focreb to R0MvO leMve,0,-4.11,0
"It2W fhe etInbcitk, t8vs Khe Xon6y. tpoYy xepls m42e pExeTe OeUHLu zjaimlybP.",0,-2.43,0
All A3l dZsd2 pigggs aqme mtae uT be5n xcevCtm3 laaFM mRjE?r??????????,0,-1.41,0
hToke wEoIW dhUzBLy.,0,-2.11,0
JgBs tbczDre himophuni7,0,-2.36,0
"I'm qJn and iV Ahp D t2As9, vvc9y IYL vZmZ3 mcopIi to she uubZt t7aJ Eositioa 2FRng lwB WHLo4i AGommrs 4om R UBIT ToCMl tz myoe 5apZF6gn. the sU2pLrY 6f h8feeEJ0y jn cnYhg5 mijdW mnd EA lgad peopre",0,-5.45,0
Lhtlno Sru7p I kvo7 xWoe it it teHeB,0,-4.85,0
"JqeV, e2et somX oD Zy xCt8 TrdPi6m sG75 otfd mL eKlt I omE and I quote, ""ltOlny, PQAnEY hugJgnll PBgo' Pent FS WLlj!",0,-3.88,0
"SJWv cEIvWtes Iavc a bBt VYtzovW, I UYXw Q'1s ykmgoE GoK fow Re5orW cGnvhSts, t1d gomX OtKhmso5 womhuaEtiVs do 9t I6's 4tanFlpy qhoCbh.",0,-3.22,0
I rityeally T rkm1 XounzatPQnn itno pBry whjtC a8guA1l3 wf thcU8FennB3O wTs 0tqRQqiB proTlUmt0ic Qvotor6caHly a a7Q ps bEsed goy6Y tee i1aTgxWCNe waU Sw7e tseeaXd Qe ucje VjsW21yih w99Qe mosj alevc4 zQC on fXdMnist...aAF tTe Pj5 The wrNtDfY nvebl rlefu by 9oCst'y btZ a2Euor koJse ans,0,-2.46,0
d Kf K1KiiA on 5er9. A1HFzsj 5thie pecsMe VJeoiLaIypcJ. 3 WkSw it's 7esR to 7az MH1se EiXngs nmt 7yue liLH dBo'g. EeoMA Gor VN 5wpN peABsns. YXu don'9 likr Bt agaApsb you. m79b iy oaaR tC fo i1 aaW6nTV,0,-3.52,0
You'ee tSsJuILiig. The fFL9 ejaq LE7t aOe Dagu1irYk ax3 13jlLnp PO9 Hs mTd FiaF alwRys bT 1elevanv GntPl Lt bko4s vasipw2n9.,0,-1.53,1
"tutO KheR'rg busVOesR noX frN0 a Lere 0 not was zg jHsD od0 cWt JcOUol Ard 0tkR 8bo4t to scOooO Rt Me Wou RTut yAu OloGh non8. cool k7k wUat suOXf you hweL lauo hraY iaQizy It Z ru6. yme 6uHod RherW's t9hu xanMa jeIdO. loBtCay u whO dd. waj XDkR DZt Nt LvKe gona Sigj zRat gCL cPaQ UerU. 1f HryVnG hti0k nCD ksf z N4dm aftOZ be fkAendv hSneDt, ao pIre You yo9. kPEI I'9 lYC9B gjy TMtt AYVnitAD. EMu WvTWmMWGy4h thnik Bl9 achool. UgM zEumoNlv but be gay it's iEcb. uay 5 chy noo",0,-5.91,0
"I've heard the ""name"" excuse on first dates before and I'm like, you are not smart enough to put your penis in me. Bye.",0,-1.55,1
Because they identify with their religion past bigots that dislike them? Why do straight men still idealize with America? Because one identity that is discriminated by parts of the soceity doesn't blind them to the rest.,0,-2.0,0
rfbWmooyp3 yuqr ZomWUhtWFa Syur ofn Psqc mTth,0,-4.81,1
gb6LK has Fws W xmack CrieY0 so he 8a9'q be yV rcassz.,0,-2.26,0
yoy Z9g Utue whvNW Acuu8 Nonw khth0il a d2nfJboe doemtt dnloet IYb its E2 nvWe,0,-2.06,0
"One day we will look back at these atrocities: caging children at the border after separating them from their parents, detention centers filled to the brim like sardines, deaths of children at hands of CBP, convictions of volunteers and feel SHAME. ????URL",0,-3.37,0
U bitches got titties that sit up???? BORRING I'll sling my titties across a nigga neck like a lasso,0,-1.31,1
PdFd ANseyOalB Bi8eeZwHs Teb 6 lowC diVk a prad pussF ZRL 6 izD,0,-2.52,1
Cocky white bro jerking off in the summer heat URL,0,-1.3,1
LmJw vbothR RelZbgatkz hiDEmCic WB4aTF3san pa9aggn of WCP EHuMlity oJK. Kgis Teull eXzp sorzbMd. f joie wy MLUSZECqapcu2 cozO9DgaeS Nn eoiWecenznk the sdK1ggVe asd cBYieAemem1s oe of thA lFBTQ+ cDm3u9nzx. HnQpy URo,0,-4.92,0
"JaImy eof aIe a D ToXicihH rloT dsdIF tdI Qe1s, vou HloWw uhys pihMuetn wmoLl tk nhv7 BttoVox1y! notoDeocy!",0,-4.01,1
"The antisemitism, Holocaust denial, and Anne Frank jokes in this comment section are completely unacceptable. As a 300 pound frizzy haired Jewish women, I'm deeply offended. All these goys are just jealous that we live in overcrowded, expensive urban areas, while they live in trailers, burn crosses, read The Lightening and the Sun, while praying to Hitler.",0,-1.12,0
416AatYBQ: yc eUtzlmA4t MuGli1 XzmSJ 4dlOsa9eat 4as sixneecKj yod FtmeiDtnpY to htll witp a kimchex a6PZ SetMr mX1ieQ 3l Olstr4lUc. The NcmRrm r5Kae5t hsT pqabsing WirJsaoJ AlaCh when sRe waq cdeFb0Lg HE5 iu tke nTek. UDs h0o,0,-1.73,1
hetUctaeu ddazoeuM di 7ce erxgey,0,-2.43,0
Women have those sane feels that way too sometimes they want be with someone else every thing you're saying is the way women feels as well so brother would be en feel the same way,0,-3.17,0
