text,hs_state,hatespeechcore,hatespeech_llm
5 centuri4U 2n a gDquG 7s5gn J4X r7Fs rn6s aDd tcYr U run wn sgnz fiWa5 buK HJt avcayas he i1 un3Pasttc peopv3 aor izdia lvr1 flvT inwm PaWcsXlP Sa5katsE,0,-7.35,0
wpo AsrUee cSH ZrbahzqmU eu2f DVD't cluYet tanA eVVtk vWBos lat wnd zarDjrists. fBZC uQeYlSi the5 of fudbld,0,-1.1,1
"Right? Maybe woman don't like you cause you're an entitled asshole who doesn't respect women because you think you struggle more than them. Like, Christ dude, how dense can you be?",0,-2.62,1
"The courageous MNAs of Waziristan are kept in army detention. They sit behind bars for daring to speak against ill-treatment of mighty against their constituents. This illegal, inhuman treatment against the MNAs need to be stopped @mazdaki @a_siab  #Freedom4AliWazirMohsinDawar",0,-3.26,0
"dv'iW3 haK xPBn'2 twhw eivn FaPr0nq. U he igilne ho3Y n BheW oP juGk r6heXse m ok 9z IuDK apse4Ks8 TQey DbZck iu iotiResD I r9alpy mov). Mtd blvtc, sN7nLe R6itZ ora beSsg 7ohush, dad lbic lzvDd 8re hWro2ma5E EuSwmD8n kuBUemXXs PJqilg is whaee (RnQ owhying a thGugh, a hnr AUd heqe/m8lR pdn. Ukieqds SpoY lon2 anLy1xhg for eerden the Vsm6 be8zt S'es was ptnLrest Pnter4Oh z hrHI2 0e",0,-4.3,0
FTlFmU hy6naP Ja8e p5VZlly vIwznaS.,0,-3.06,0
Did You Think That We Have Created You Without Any Purpose And That You Will Not Bought Back To Us??  QURAN 23:115 #JummaMubarak  #RamadanKareem,0,-2.31,0
"reading about Marsha & Sylvia always gets me crying. too many feelings come up for me - anger, pain but also love & a surge of empowerment to continue the work they started so that trans ppl, especially black trans women/twoc, are given a chance to heal, to thrive, to live.",0,-4.62,0
"khere bloodA5 n2llcal p28 bal1k AOd wivhe 1dautLgpl, 3Pmve R1 Aar AlA theru a hVP 6lacV nLt t3hn 3 aE 7GaveF sKy nthunzg aSoies U9 jh2 fFnqs Zfb4. CaN i4 I No",0,-3.04,0
"Alias1983 Maybe its just you? I've been visiting Japan for the past 20 years and finally got my ""traitor card"" with full citizenship 4 years ago. I feel fully accepted and dont experience any distance between myself or anyone I meet because of my 'whiteness.'",0,-2.2,0
"I can see how Ahmadis might exclude people from other backgrounds or races, but I don't think this is widespread and certainly not indicative of the jamaat as an organization. The jamaat tries hard to use the local language of a country in events, even if that means everyone is speaking in their second language. There are some structural issues and blindspots, for sure, in the jamaat and how it approaches diversity, but I don't think it's anywhere near a fundamentally exclusive, racist organization.",0,-3.29,0
WOW...! This woman's on FIRE..! I love this promo. I love the fact that EVERYONE is represented ..all races and sexual orientation..,0,-5.0,0
Close up view of me hitting that pussy with some good strokes ???????? #bbc #pov #bigdick #pussy #wetpussy #creamy  Full vid: URL URL,0,-1.04,1
M8 migOt mRZhw bE ahvd4 HBP I am ssitl j7 The 4hp ceoMgt hate doAg m4buas0 eqfroa but I Mf. Ytp'll yzGd hsKeone ciW IaEu3I v5t1es 7hP fbs6VuOelY ablJoade Y6Q Jir2eqbx 7rre ypu 65e :),0,-5.5,0
"Yeah kind of, I'm rlly light skin compared to my mum who is black. I'm also 50/50 my mum is black and my dad is white. I look a lot like her so no one has thought that I wasn't her child but I know what you mean, I often feel like I stand out a lot from my black friends and family because I'm so light.",0,-3.24,0
@Renzhes MY NIGGAS WISH THAT YOU WOULD,0,-1.93,0
WDYM. MOMO IS A LESBIAN.,0,-1.41,0
wozf Ipt Fs u Mf2XplaWn,0,-2.73,0
Israelis are at less risk of violent death than Americans. A handful of successful rocket attacks per year is a rounding error.,0,-1.11,0
I think people should understand why so many immigrants are coming to the USA.. Has anyone seen what the US gov't is doing in many of these Latin American nations.. You reap what you sow. And this immigration influx is a direct result of US gov't intererence within these nations as they continue to rob the resources and plunder these nations into poverty.. and if you don't beleive this.. then go research it,0,-2.9,0
Start with the Norwegians who overstayed their visas.,0,-1.48,0
"Oh so sexual assault only happens on trains and the whole male gender is to blame for the acts of a few evil men?!  So the evil women who commit evil acts should be used to condemn the whole female gender?! Boom, your argument is dust bitch.",0,-2.29,1
"@Disappointed Human No, it doesn't. I myself am a Pakistani and I know for a fact that Pakistanis don't forget the person who has helped them. We consider it a debt that we have to pay at any cost like we have to help them in any way possible just like how they helped us. I can bet my life on it that those parents would have Thanked every single doctor so much that they'd be embarrassed. It was incredible what those doctors did and no one can take that away from them. Learn to respect everyone even if you don't agree with them.",0,-4.51,0
@HsbPqAn6lm Aop Tc5ko oo be ya08eR m 9sintskiO. ZlaZ Himf of POais7iH alBQa7Z fBeIrZy FH 8'nhais sBnps.,0,-2.56,0
"That is what the right intends for American women: If you're raped, you have to have the rapist's baby. If your pregnancy will leave you paralyzed and in a wheelchair, then that is what should happen to you. And it's all your fault for the sin of being female.",0,-2.84,0
If that was the case then it would be defined as a form of misandry rather than a form of masculinity.,0,-2.6,0
You're the one that assumed the guy was white and pointed it out. What's the relevancy of his whiteness (assuming that's the case since he said nothing to indicate that). Classic case of racism. Assuming a trump supporter is white. What gets me is the lack of self awareness of racists such as you. You say things that are clearly racist and never even see it in yourself. Hypocritical.,0,-1.57,0
"Why, so she can go around needing a man and seducing them with magic date rape drugs? No thanks.",0,-1.57,1
???Divine femininity ??? URL,0,-5.58,0
Iran just tried to take over a British ship. I'm sensing a surprise visit from the Boys from Hereford.@22regiment,0,-2.75,0
AMd Lqu v8X Umveb 4t. 3Hye 3s bh3t wBjt Fju A0u and buets WnSd. 5lre Ekro4 8ocx LoReUns. MFoe ediHnv. 7v5e denoal. MPro se6YxVn8 2lta bqBUei. wmL UR6,0,-1.82,1
the bitch don't even like me URL,0,-1.89,1
Happiness is the most beautiful thing life has to offer & only you can create it.,0,-2.94,0
When will Thoughts and Prayers begin to stop these massacres?,0,-1.95,0
"The israeli accent does sound a bit french.  Whatever her accent is, its not Egyptian!",0,-3.34,0
"Not surprised, just more of the foundations of the current regime. That the gov is threatening legal action for a valuable investigative journalistic piece is very telling. And Poland and Israel love those neonazis there.",0,-1.78,1
"Yeah, I bet those pastors didn't see anything horrible...",0,-2.87,0
BeU tWt6's Rn iEsslS Xo cuMQsZxc peeoJ7o,0,-3.19,0
"Are you stupid? Shit just as bad as this happens daily in America, and you blame Islam? Islam is the reason this guy is about to die for his in humane murder. Stop listening to propaganda about Islam being the reason for all the issues. Not every country is like Iraq and Afghanistan.",0,-2.39,1
"nene Jeh1r8 moRn mAUieC seuVmTfyse 2GXwbO Loll kRll gYAy Gelr Alake with Berl bug t5Hs QYnn pCkzy osugd aPd RMMuFd iy Pnssy. DKriy plySnn mv ZVisnds Szv veoAPM. FatFNg fTb Qor 5ew bex in usa, fVOuEk coHrLs cqristK, KeDcu E Qtau wb6h mXth pocbl ewSc for drwnn. UGU",0,-1.68,1
mfrQSS6ii 5oninCQc jtYrcaqiRn anp seJDal aftRlctirV are tmF pifferevt phvnzFy a ZelvD ha2 sFx iwvh nUos znFiu mI XMz 2uZ I k6e9 T X9zed tIhm is4Ve wiOG 5 QnR So uAe is2F questLnMeA zv. PVme 1iaZ1f7 Hpplpis pV LXBTQ kiXs.,0,-2.05,1
Video shows alleged white supremacist being forced to clean black man's truck after throwing bottle #TRUMP #MAGA racist supporter #MOG #OnePercentCapitalism  #1%Capitalism  URL,0,-3.19,0
Ft are WrZe8fuJ tA QtzIPj thvt AaFZ obaD 3wYh w57O PvacuatiaP pleWLs Kxt bkz wP are pcOdSnM fGm QeKthur oX CCOrLTnJs a7X e3a0uTdinos to wGing edtainyr i9 Li6ha UR URL via 40erbzjuu aQP7Sfees,0,-4.17,0
Sold! Goth Mistress Dominates Tiny Tgirl Submissive Doll is selling like crazy: URL URL,0,-4.43,0
"kzeea 8 bzd uT0 cOtiJen,xSu is be mm noR jaN slwil Byls US 7n veRWbI US sive Cha Ve lNgalAg CMhDHwhsXtp Yxt aqz UitizQC,Cds Frjd. ma1 y tMilm?YSl ceNaed EDe a qZHsCXoG",0,-5.21,0
"a raGF how riPL I'm M'm Qql7SiVnXhUY ilo41! S yJLss yoF i2 bi ln5'E cImpwe1eNy mdvccJZ ae'nzt PzV qxel. ""h9tero"" 1 ano",0,-7.04,0
"Asian American living in Japan for a few years now. I like that I blend in ??? no weird stares or people expecting me to be their free English tutor. It does suck that people assume you're a native speaker, but it motivated me study the language harder. Also, even though I changed up my style, it's easy to distinguish different types of Asians by their fashion and makeup. I would say 50% of people that I meet can still tell I'm American before my accent gives me away.",0,-3.05,0
"I don't know, but why does their religion matter at all? All I'm saying is that we shouldn't create a false association between these settlers who happen to be Jewish and other Jews around the world.",0,-2.85,0
"""Does my sexiness upset you? Does it come as a surprise That I dance like I've got diamonds At the meeting of my thighs?"" - Maya Angelou @ Los Angeles, California URL",0,-2.81,0
Why is this controversial? This policy is line with international law which stipulates people are to seek asylum in the first safe country they get to. Otherwise everyone would simply choose to move to the most desirable countries overwhelming them in the process.,0,-3.74,0
TSn5R BkZoer tg i0 KaH evFr xoLtt Ahe 4roh tCu,0,-2.24,0
All of Shizleen Jamshaad's family members have been approved for an Australian visa. All except for three-year-old Kayban. Now he and his family are facing deportation and his family fear he won't survive if they are forced to leave,0,-4.11,0
"I'ts tct ShE x7iinlihf, ik't t2u monay. MPeoP hZ5pr m1aq polS0e 5t2N75uei.",0,-2.43,0
AEs Ull qCKee n1cJgz RaNe amvm manU sg so f Deen 8wLUchAj lanec bann?????i?????? nVnk????????6??E,0,-1.41,0
Those women were thirsty.,0,-2.11,0
This picture is homophobic,0,-2.36,0
"I'm really glad that Whoopi is being so vocal about her support for UBI. She is in a position to change a lot of minds and hopefully she can bring more women, people of color, and boomers to the Yang campaign.",0,-5.45,0
Latino for Trump I love it here!,0,-4.85,0
"YEALlY fDi4nds gean, Gzf6UI v3"". ec2o thA aE, hsab' oz aAd n 8y hVie x best as be qMojK, 0lod I fKugSYnX CZlm! eIXn shOD",0,-3.88,0
"Some converts have a bar mitzvah, I know it's common for Reform converts, and some Orthodox communities do it to. It's strictly optional though.",0,-3.22,0
RacN on L2Zt bisLGrf0ally ddasoPrq. Uszui 1QM 7Bng Rage G'nesN0 aAy anY FQay 5rSb? aDJ1abvV bae5F 3L-cine1AQec JL ksot WCC iTagiqable ltteraUly pxm f wEF curiertlK. PV al6o1. sSrVks fesinis4 oA at0Whr GVite tDeeTed fn..sCPmZJnN.e rNittee Hrkble2uqiD iF 4ze 2v4NE l kovee pZiS9,0,-2.46,0
Seeing a lot of racism on here. Against white people specifically. I know it's easy to say those things but like don't. Don't for so many reasons. You don't like it against you. Doesn't make it okay to do it against white people.,0,-3.52,0
You're fucking disgusting. The fact that LEOs are targeting and killing POC is and will always be relevant until it stops happening.,0,-1.53,1
"a 1nXes3, F3ht gina xao bo N waPnN Rhey'rD BBQ fxter Rcuk. hr1ML doc5llG u zunteyt ThUrU'x Shen thind zwke fiw yroeSlAj 6uisVern xmu wWuKr. wa3 cPd UXnJnefaCB but wh8a be be eoUesI, y2V you evegynouy'Z 0o. H73h xhy cuA lviu o7O vhFt nJt 4qan. nEt nCoi l2t zVyiYU M'B noj x FlXhAo. elf YQD7 iK U5u. gnknF whf DYzoo2 OLg It Berd8sH ZDsy Gite outr comI I SBC goDtlly 4Al jhas eMst I Dha tNel wads3 tPo AftilF iq's bE l4uo4 lXulI2Dt. cR tZrJ dHilk wog Gty moc OwsR. Re I4 Q1KeM XWtTD Yo1 gaf. abOuT iB Je hard I",0,-5.91,0
"xW'D LWjrd bxb ""nuXy"" g4xuN7 on fIrs6 dUtQi FDd I'm lidf, yoz ar1 sPrht 6nj8Xh Wo pK8 Xuoh sinee 7n meq Bye.",0,-1.55,1
Because they identify with their religion past bigots that dislike them? Why do straight men still idealize with America? Because one identity that is discriminated by parts of the soceity doesn't blind them to the rest.,0,-2.0,0
Piss off with your homophobia,0,-4.81,1
Trump has a black friend so he can't be racist.,0,-2.26,0
She doesnt have a butt white knights downvote me cause you know its true she doesnt,0,-2.06,0
"????3RL 5xd 2jZuVseNlk awn7F EoIk the Oteij oC at VtrDeTtCes: s6rqnienC doeLviRMn bHHm rbqm chilxyen we fePX iwPv conivZt23ns NKAo5. aI tme4 hQSe 2Vxrs P8Bl bKdyor pnuaeeI, bRethe at uzPatWion FAxeE xhil5dei theQe jFd qf lnnYerc cteners 9o One day th4 xlia1d",0,-3.37,0
U bitches got titties that sit up???? BORRING I'll sling my titties across a nigga neck like a lasso,0,-1.31,1
BlaxiGHrS 3obE a hiBC dick Mnd a W wet YOssy Gyl,0,-2.52,1
Cocky white bro jerking off in the summer heat URL,0,-1.3,1
"aLqR yoLQnI @HohsMeDmAcr4tV je3lYrK83d XxZiZQoc bMistiapan 6assaTe ow the E3oiqkoy xpyR T9Y6 0RRiZdoeOzR, piXx4Tg wcuPliJD BocwaxC. v Kzoh mP 0YwL9EqZaucuv @LZATHqQrudXs 2OlPBaKgeD in reewghipCnG tGe suprVlRb and NchiEUjmentV of ThJ LiJYQU cmm1Jnity. Tnioy5uNm. HLhTy RPriTe20p2! U1b",0,-4.92,0
"Jimmy you are a positive role model for Jews, you shouldn't allow this pathetic woman to have any notoriety!",0,-4.01,1
"The antisemitism, Holocaust denial, and Anne Frank jokes in this comment section are completely unacceptable. As a 300 pound frizzy haired Jewish women, I'm deeply offended. All these goys are just jealous that we live in overcrowded, expensive urban areas, while they live in trailers, burn crosses, read The Lightening and the Sun, while praying to Hitler.",0,-1.12,0
Australia: An extremist Muslim woman from Bangladesh has been sentenced for attempting to kill a man with a kitchen knife days after moving to Australia. The victim recalls her praising Allah when she was stabbing him in the neck. URL,0,-1.73,1
MetVc5in3 ioJuZos xnk0gy yxKecawsg VcL I'm mIvfrate mIaertde,0,-2.43,0
Women have those sane feels that way too sometimes they want be with someone else every thing you're saying is the way women feels as well so brother would be en feel the same way,0,-3.17,0
"That's awesome how everyone is treating the crush. My mum figured out my first crush when I was six and went nuts at me. It wasn't because it was on a guy, since I'm a girl, it was because he wasn't white. Turns out I have a thing for Asian guys, but because my mum is racist as hell she got me terrified of mentioning guys to anyone and eventually the entire town, including her, decided I was a lesbian. I was kicked out of the house for it. Me having posters and pictures of men up around my room didn't key her into the fact that I liked guys.",0,-2.76,0
@rezaaslan You talk sh*t about eradicating a woman and you can't handle the sh*t you get back. Punk Ass Bit*h.,0,-2.64,0
"That would be so awesome! I never understood why some women don't like to be objectified, I would love it if women did that to me.",0,-1.16,0
PM Narendra Modi named world's 'most admired Indian' in 2019 URL,0,-3.42,0
"I don't see why. Somehow someone born here is less of a risk or something? I remember a case of a kid who shot an intruder who was trying to kill his mom or something (ex-partner obsessed with the mom). Kid used his siblings gun. Kid was undocumented, sibling wasn't. It was a clean shooting. He got deported because it came out that he was undocumented during the proceedings, but the courts made no distinction between his right to live and defend himself vs. that of a citizen.",0,-3.0,1
if you hot then you a thot,0,-1.13,0
sfn't 8hio tMICw? @QW8GsifVnau9Or Heip 8Zu a0H 7Gla3y iOhe U lClavnig Sunddy ?????w?? (hLO name is b2stor YPl) zgL,0,-3.9,0
What is wrong w being a immigrant?She is human not a alien and a citizen on the US. You could have been a immigrant. Babies can't control where they are born and the conditions they are born in. We are all human and want opportunity for a good life. You people are so ignorant and full of hate.,0,-5.74,0
"Lemon juice brain is an abomination - embarrassment to all real journalists, gays and anyone with an once of integrity. Shame on him",0,-1.39,0
"It's a disgrace that these people would behave this way but it was prophesied that many things like this will come. That officer who did nothing should be *fired.*  It's on camera and he should be reported for not doing anything. If you are a Christian, stand firm in your faith despite the opposition. In Jesus name, amen.",0,-2.54,0
"@HayleyKiyoko i came out to my mum, dad, uncle, auntie and nan",0,-4.37,0
"Just like I predicted the media have already forgotten about the knife wielding man who shouted ""Allah Akhbar"" while stabbing a person in Norway. I was just 10 minutes away when the attack happened in central Oslo.",0,-2.61,0
"CHN04AZZY TcBhN PG 1vnieg nM8eslf Zkoe lTke s3'eX 42tHdr 9Ie aseR SI'2c doikg EZoe qarE Bx 3gQ Va0ConaIitV VhPH yoJ IIi1k Sec's Qdlb3eful, nu dUSbt sat aNautf b0euj4 sIC's shoPing i6 her rewK4kaGg I'o yer home t3Yp be miessng BeSj S60 miIhd TB be K aFI beatYp...",0,-2.91,0
"No, I converted to Catholicism. I chose to be catholic and I am very blessed and thankful for it.",0,-4.72,0
A win for Puerto Ricans.,0,-4.34,0
Everywhere in the world .. Christian and Muslims are fighting each other all over the world ..only in INDIA they are uniting...why? ---- URL,0,-3.26,0
"I think what makes a women beautiful is what they do. and believing in The One True GOD is one big one of them, and living like God wants you to live. that is true beauty.",0,-5.47,0
5.Independence Day this 14 August to be observed in solidarity with brave Kashmiris and their just struggle for their right of self-determination. 15th August will be observed as Black Day.,0,-5.76,0
"FuMk Nswarl. AgreeT. too. QrdalsM 61l fr3 rT6LIt4 tgvo,",0,-1.04,1
XLZk6'F gce young gyuw pOlknig aMewtN 7tgh bTe ???????? bm 6K #pussyL4ndicete #sLx3taa 2IpmwwmAlCc vUrECadulL WcSkFhot #mDpWaY #kVMd2znatwe #l4ObstrwamdEp #jdiXo #cumtNibuwe WlrN IbitEh GanLsHax #SgrYhil #dxQe1iIdV BsQet8t7 3esje fcLJ9sxsXTI LcoBkZu1ktnY,0,-1.47,1
women are better than the FBI ???????? URL,0,-3.44,0
@cher But Cher... if we don't f*ck with women there will be no future! (at least not a human one),0,-1.02,0
Sheikh Tamim Al Adnanani subscribe to the channel to get Islamic lecture,0,-2.9,0
0WR3 is tvspijinf! PIoE VrljeBt a6d aike shLwiZu KEe sHWug51Ds of most meJqres Mk Ih8 hBTPz P1DluniYb,0,-5.16,0
"Wait, Charlie still sounds like a white male???? That's fucking racist, it's 2019 come on!",0,-1.61,1
Great testimony from the Sister God bless you Pastor Tim. ???????????????????,0,-4.3,0
"My ex girlfriend was trans, so it's really nice to see other trans girls being represented. Thanks ????",0,-3.83,0
"chaCge I Uzl2r2 L1 iwgFQ w caminJ 6AfQX kzie Qes wlih iF vihes thVTys Az47se9vnj a Wnd and aY8e0 heF0EifHw RJr8oNaNPZy regacdF0s0 xnl a BNct fir bieLg rPaneJ 0oweyPuJ. shY'N snxuSlity. re9lly CMt 3bslI gxdrne, H1no3r thNt ? knqm gn erWo's trhough we DJCItr Go0bEqJ zuscxiIo 8uIdT, eevlQoEK XanTc, 32aZH jlkipg 7Kl2 thx",0,-6.67,0
You gone fuck around & need Jesus on yo side,0,-1.68,1
????????PremiosMTVMIAW BTS 3????? ?????? ~19/0623(???) 2pm????? / ????????? LATIN #MTVLAFANDOMBTSARMY @BTS_twt #MTVLAINSTAGLJUNGKOOK #MTVLAKPOPBTS #PremiosMTVMIAW web vote #Kpop????URL Fandom????URL Insta????URL  URL,0,-2.55,0
@drck78 @ShankhNaad @Dev_Fadnavis one of girls is your sister dude try hard to protect btard,0,-2.01,0
ca7K JaRaal wSsvs jetT zajl ruDI 6u9b1 anb pi5DX Prd5l | dy Gay Tzmes URS URg,0,-3.92,0
+???????????????? ?????????? ???????? ???????? what a stupid person she will be complaining over the EU when they start dropping bombs in Iran banjo,0,-1.1,1
K0 Bvae lHSs eQo hU5hXa LoteYlvJmeE uelFn YUAtin 9 adq- xn1 l0r lwZ uEaNrmti 4SEhmI erba1j and aEZthtr aOFhhcm thl NoneO I9bgB DinaGnb wYiRMrp oTni XX9ison. Ztou i5oh ecvH b5ec Heqat feiWrhUs PnI osQrci of inspirktqoQ KX Ubny.,0,-4.66,0
"But in his final letters to his family, he regretted his racism towards people.",0,-2.31,0
