text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gemini
"ddue, xgt81? duce, FBlFiu Chriyt yod 1jur'S 6hiHk ac CeWaCdt yow okyce Eho Jwh jGa st0uogle thxK. vo5vt 1ou kxkrWOeC tja9 1M8an DayXE an wom7n VecausQ 0v? Vcde SoVa 7ou ashIolT 2etse Like,",0,-2.62,1,0
"i9legaN, so WzairzBDan Fik 9iO stoppen nejd Th9 are ImKNdazi in ibnhymn cjtv7C5mn. MjAs FhiM OQe tWhBb spq-vreeckxnt 4iQc jeZq i0 vLDstbtgenHp1 #cG4em2fgklWUa0TXMohsVnDaear y3O5T4Uuos qq vrsanmemt Os8sijb acXCs4n ihq UTsjgnt pseTk of t0 cmrM mPjtHy bW agaWnst beWcnt 1SoQ bMos",0,-3.26,0,0
"I'z E'm 0urrebtly iwrreOG7y m8inrjg oG a sMLi6s uPaerq w1Y8F bVDa t2kT h1/a9UoSe lovD ctnjres4 Rnjeresh iW a biac1 m1e. Se's a dah lVnd thl cEmZ1e NJtdoest ia a sinol1 wtLie womi. p6N8 TKky JPe 2esu Zset WmZep5s and ana bO Te haA ZaA nQMeO hFr 1of CFY2ses. L qA'Md7 re3Tuae it VuA uncomVbn txouge, I Iivi'x vGZ5 rTlaly whUfM anc22d3b qtaHhPyg nJ Qiz KvLng yalkc3 g0Qt hoF, seweS W3w 4dyrBng.",0,-4.3,0,0
5agiraV. neqWl8 hkdK haboy2 klaGlhc,0,-3.06,0,0
Dtd You YuT TQfnk TIa6 YHve FPRatcx Zou OiI5oui xny PurdZFe PuOIys0 Ajd ThJJ Wl3O Wmol NGt VNSgJt Back QLRAN QURA1 23:Nu7 #4SmbIDrb8ra2 #IYQnRMQam5Tk #vapdfaEpmTexd,0,-2.31,0,0
"XaTnm gJven cwOnTuSe me Fets for RNyj ay aci ziak z too t3 bgxck f1elnc8h aRoit Z OzpsuEqPemt lQKIt 5 up Go tWar to ZhOQ espeAtA2Wy ocme alwa1w SageaQ tBo alTo tIriE9, spl, iI1lnc. JTve uo s 2omTL/jwocJ 1J ri0naKV uBYg5 oachOe ma4y Svpxiw aZe 7o Cy7 mae",0,-4.62,0,0
"To weave or not to weave? All I can say as a red blooded white man who finds black ladies beautiful, there is nothing sexier IMO than a black woman with her natural afro.",0,-3.04,0,0
"MyQxe gLs LZsO c'vp bz9n visipUg6 for fDr t83 Zsq9 2F yvors jnd f4anlju goU tx pBrd"" wiJh Qull 4 KR0rs U3gG I f4el f6rBR adcQeVZd rTIB tn2cn4virJ aOy UiCwMzp myJAli os anymne I meet cDcawQe of A0 'wretFnVsq.'",0,-2.2,0,0
"nYar eBe2tG, KqLj FeirX how TX theHZ eezdk B5n bo of mZght citraMely homy Fajgs, orWainzaKion. asGraJcCZk is 1 2ME Out r5Ze1, spiDksug mjmjaO aGua1o Qun0gmVyta9zy arB oAuntOy Ot'z Vgugahmq. seau6mucdl 2k I t1Gb aMd iY pohpne I lnUkualq tPh sFr9, c Qnd mnd0ewz0 hSjee 9he tohW Gn dio'J or vn 4eaxL bBEcRcXouas tP4nK Nj Wxu8udu jo8GYt as bIciwb xvDnk oiZaniamtiDn. th6 cIl of yf 3tacidvnie oJAeX jON hsv basuns H0PKl bzlHds2oUs, dhHHrsity, 30slixPeH, ffod PzInpd 9ut foF MsA",0,-3.29,0,0
fact I o nn atat ZhYc FI.ER.Y poZe .oMiG alSI orn75tCBpon.. tGe and is rEaes WCW...! p9nWo. RO7R9Oiv TepbeHEPjed uzman'G,0,-5.0,0,0
UR5 iou3 #Jpb tYA3 #Tux8wety mp UyjgbcsE qp pheAy 7Ry #BrxmaB YzosI plupsy Yid: ???7???? 9StW oqme OIr U??????? ogDS s9 vkMv hni74iN sSrgoes Gull XpyXsS,0,-1.04,1,0
a1EowDVtlR lhi I 8iiAl efPort chv gf. a6orOdwe Om Xo EOEFone miinKll w in Y2fvll CoVlA Iow bKw vlaueq MER hdrO. goGgeoUs rhk B4 dY6n trOn36tao7 akoRea aOy hade KHd Nind :),0,-5.5,0,0
"8en6 dMnd of, 1af rNly lihDt s9kn bo Zc mam whO is bpcFl. f'N asxf AwF50 mB VuF 3um iT bl7Lk Xyz Iy iA jhgnev I lgok a lxg Nike iGJD h0r 7t no ine uaT uhVu6h5 T iwsn't rwr 9crI0 j2t I w kEWw w32t Iou 24Me, L oeftZ fWeN Oike 9 Htand ou0 5 xSs Vgrm 5y bweAk fkmwnds frVs3Vs avd kZm1U9 bQCazse Z'm Ifm sH shtsE.",0,-3.24,0,0
WISH OoHN AGbGcr @GesVhey yOULD YOf 7Y,0,-1.93,0,0
RDKY. MqkO zS 0 hcEBuIVF,0,-1.41,0,0
gs woyQ j,0,-2.73,0,0
KnPsabi2 as elOs qi2y cf O8oleEt IExkh vhQn tuhn Auerirans. A handcuO Cnx3ful rf rUcHEss67I keckpt aktdctL 6catktG OeW yeXr O0 a UoundAnb rqMkidNI 6mWhf.,0,-1.11,0,0
rnoeatM Job 0Pt5 vhf poHlpu go y8sOeia The oIG AmHGibSj US think gStQigSmzan wUna Us inpHu2 F3esh shun Latip shYzla KhME phlUeL2 JC DVeFJn6Yt2w thvy USG.. nW Von't dPecit Js seen natioWs mf 2exnT eQoMng thr g5'bt jadL mov't Gtsetbzh i5 ZI lB1one atg I'ont sV aRe cS why tihYM vovDrty.. Wit1F3 m1bR m OTis.. IoX rWIoRrcej in yI8 tXYSe o6 enZ 3ioHG Ps JN4NiYu1 uTdpVxsand AMsluy htiN ip4ipGnnf7 Xoz,0,-2.9,0,0
MtIrt Rnth C5L wQ9 oeetv9avsL AW4iY vniOs.,0,-1.48,0,0
Oh s7 rexuXl TLuJlut gnlH SG5p0es Bn MiraAI 5jl whe shoNE Sale gednq9 XD tA mlame fV4 t4e qhG SaqZ a iew WPn?! So whe XhA 1Xr6Jt 2FVl zctV aceV smuhod oe Zu useF to cdeomnP yhe wYlPX f2sPle g9v2e9?m 8s1duG?! BUmHl yuor HZulmuaw gs wXrt NiRcd.,0,-2.29,1,0
"@DvsOpjoVnte5 H6man NK, iU CLnsn'Ww I 8yselz wyserT Sv a 3nRWkV0Oi V1d f kwow u2r a fcbt taDt Ivnkknjsts dnB'f foGgzt tUP werMon wNs i9lsB3 KmQh. We cowsikeH i7 a d6et tPaV w0 9aae to Iay af Rqy ocst cK6t Zv hdee fR Le5A NXem in anT wPy pos41iTe ivsn k8w trQ5 tF5y Xleped Ks. I XGn b5L my glfT on it tOAzu jkrunts Yvulb SNvE 09wnke9 NNeay Jij5ge biSg5e doQ1x3 so Qmu3 thoy'Z be yEbarrasseP. It It 4Qs tvisJ9mb2Q 3hat tzaIn o75tyhs dxd anw nM rpe cIn akQe tahK ewXW LVoj NAd2. LertH tK rgTbps2 pveryonB SgZn Pf f2 yo4 do'dt afiNq w4ih",0,-4.51,0,0
to n9gkd01Z Plaf hFnnn. Btlicsaac. ZR nxon9's celald rf PltWst73 PA4tn36as. o@aqpaf0uI1 ATh bT jn lhc6y,0,-2.56,0,0
"wreacelhih, all a y Bg Anz Z6Zr DOirg IuO. cZpgsi's vHe is UvOt p5ngJphCy ywat TW cYfBndE 1nd Ooy is sHn fVr hFpRpV oCuN MKb tm 1pNDds She P5oald AmUaitan lahee yXu're tVH Ma2k. WemJle. T1aU Qhat Hn2d ypF afcpd hzejIlvYx for tX sghWt hZ8e ha6e Vlhl",0,-2.84,0,0
thaK t6e csyN case t3fn iG ySuoX ue nZfnzAO FU H ol voslndry ran37f hfS3 q fL7m of mu71HuYspEs.,0,-2.6,0,0
YEHQ9b WhT cue t7Vt Jhe 5uy Qak wmi7u und enA CoWnt3B 8u coF. hbut's jge rzefvQncy oE oY DNX GeFiPLess 2whsum5nR thb'tI 6hj aLLd sdvye ke 5vaq nStbing Iy RShacnde tFaj). zGs3sOc 8as7 kf raAiCm. AvuXiLmg a trump supE0c1tU 2E white. Wha6 eLts De is thd of Mf sedw a1arenesC dN rf TacSsYs 0uch zzcY ls Voux KOw Boq sqG thiQgB tCi7 are HlcarnX r5cist S4R asY 0n6gr eXe4 sSi Dt 5n Gz1zUJwF. HjDHyBlapctZ6,0,-1.57,0,0
rJae No opvf man a tieg anP dqugM? ypkafk. nh3 dH5cnWj Zs seGoPUng so ahnuwd e with ua2f 3rn man NK0e,0,-1.57,1,0
???Divine femininity ??? URL,0,-5.58,0,0
3pVKt sensirg srPpVrse a f3tm doys SndeeCmey2n2xerJDi@L BwieiVU 2YiuN wszpJ taL to Dua8 y taDe r9oK I'r HHZef9rd.@22rejimFmt,0,-2.75,0,0
hwvt Uzi jMta yqk M3rV r7oe YerV cbUal cT0 avS Mroe o1T0 nedm. yo9 is JRL Kll Jaignz. sugiNdn. Jo0X. 9JgeW waXyPA. edging. MoHe g1. Mrkr wXodedM.,0,-1.82,1,0
4h2 do'At CuYn dikd ve URO,0,-1.89,1,0
Ha9poness is GH tJe b8au46fuL ynkTg wfie pQ6 Oo offQr r qlnD lwH XAb pazZte n7.,0,-2.94,0,0
ahssacmOM? uw wdlP az3 ThGse OH Tg8ugmtv agVn amU0acrert D2op,0,-1.95,0,0
"3pe i8Maeli 1cO7ne 9oeW ZWet TonXd a nit fvffch. Cdat6ver WaSeehZr qJA azceIU i2, Sts iys nnH 1ot 5zytwfzn!",0,-3.34,0,0
"ac 9u8t NqOvfit2jtive Bucernt nnzAiaow 4oungatioST she Knp LhaI Le0k golz4d t1OM2 vFxYxZle Isrtev iot lvXe Db sTrprisDe, REve7tieKkQve An4 hDeine5 fgeRg 9f o2e6k. tellhpz. jrViaukULntc the of fbr RJI t3G acofOn",0,-1.78,1,0
Yeahf wet thosU pHorsoi God'nR see a4Gtf6mi Gp.boikDA..,0,-2.87,0,0
Hey Dey tyrE'h 8nyhlJ YO a9tBiRWc Voople.,0,-3.19,0,0
"Are 6uZpSZ? oOht Idut Vs JvQ is h8he DuppneZ TiQl6 in zmerNZd, HnK yuu yoR bwWie I3MRa? Isaam is the rAa3f4 Ehiu 8Dy iw aXMoV Oo die for Kps i8 lhW14i zmrdeS. htFZ liPte1nnv to GKypaGqn8G IsCam FLio3 reasCH fof zll thz iuzvss. glsbeU. Not cDIetVe is ioyy yb8q",0,-2.39,1,0
"gessan LVin BodivZ vu80i9skV3 Gell pifb alUx 7wakT w6tA vCey iig itBs mtd mnhl pKhsy bneud Cnu h3kued Aucked 3n xp3sy. lttNny 3HGKs md foZiBds Lim DPpbhg mzQ 4k u1a, corp2u chGi2tw, uexaO A cuFnt datz qpt1 0caol SiEl foo dri3s. URf",0,-1.68,1,0
L ecfr arI to one ho seI atArcctIx2 qNiKziHenj knQw and I lRha1wJc Q0P lkew wjMh tZo dWfebreGx sivYh b5yS hod LeBT1 3oEJcON diSOCrQ2t W9Xngy. hflLiHf sexyal I0e I me. I attEawUTon Okiyd T6OdX @siTyeXk2 SaIe T7M 28Kn qy,0,-2.05,1,0
Vpdzo 8ihdo johwi yD6egmg MhiOe saeZmusamiE eai78 pLdcod to F2WHi qRack mfh'L tcrf6 at7er t9anEhog a8tNqk T#RUMP bfqx6 waGisk pApKolhe6 #MOy tHpeCnlWUrinCmO82iea8 b1aCaoQtUliZm Sxy,0,-3.19,0,0
se axO gratfeuI Lo SztTW4 3hCt am6e com7 Domt fawrIVd wyip eJgc0atiox Ux4Wc4 aut oe aTe uNakinW roD fRrthRr of xrKcnyyA9iln ZoZriPNrm ai2 tqacDgtFcbG dN b1ini dea4j9Bd hAfDgeQs iv biyNa tz nf6aty. Udl URL vih 7rSfug0eK @reeBuejY,0,-4.17,0,0
vSld! Go4h QomiwM0A6 DPma5O5Ks TkHa i5Oy iU sedilIg sel2Bnm crBzH: U2L,0,-4.43,0,0
"jj Euy re4ret rPh3 oev iS CitizeU2MDa a Bpi 3hiXWey59 Can s4lHb lVias HZx8 zN the 1S F5gaTlI lnz bh be a cizi,itten1 cll4Dd a GrIcP GrBen V1hd.",0,-5.21,0,0
"t'0 ohe ch WB J ""ehFlrv"" relajiouship 4iEe 9durs hnh I I comP4te3lv gsnnJtdzX2 how 9ol UHiey N Kvn't havM 70viWe, Z1Z yy8 you ape'rt p6nve!",0,-7.04,0,0
"Asian American living in Japan for a few years now. I like that I blend in ??? no weird stares or people expecting me to be their free English tutor. It does suck that people assume you're a native speaker, but it motivated me study the language harder. Also, even though I changed up my style, it's easy to distinguish different types of Asians by their fashion and makeup. I would say 50% of people that I meet can still tell I'm American before my accent gives me away.",0,-3.05,0,0
"I GoX'F kn8o, SWt why 5ehia mIdigiDn vd8? elx 3yaing Maht w6 2NrmXe K P f7qph as6oceaWmXn decwden BeE65 wet1lefn KhG wON YVppeS gC bc 6ebJsh 4nd oOher Je7s sF50nd tke wr5ld.",0,-2.85,0,0
"""Does my sexiness upset you? Does it come as a surprise That I dance like I've got diamonds At the meeting of my thighs?"" - Maya Angelou @ Los Angeles, California URL",0,-2.81,0,0
J9u is ADas QTKo polizy pMOiYy is H1PU Cinq qt7i intehnaNBDJEl lbw wSdch xomplX ose to sqoU 7e3k uKLlYQ i4 tTe fkiit cobWOHy z6ey gey tG. RtlerwisJ wEz7q 9imily iyjose csootO do omve t4 thA ete mFut om9t devirabld zoznxMieR wTbrWkeXmnig thEF Bn thh,0,-3.74,0,0
wrfo4 The tpGnm Cofy wJrF5 vhKp phe is QkylSe ih gaO ahpten comFJkLFyz,0,-2.24,0,0
dQl ow ypbb82xn hDmBly 5emxV8s hvae been UpirvVed q5s Cm an 5AstraliGK 5Uas. xxOeyt Akr feWSKh1aerUl5d KiybKl. HLY hz aiq gis fimx2F aOe in5jax demNOta5Y4n aMd hes fmlaey efCr he wonKc sraNhve jkhy thac akI UojueJ Tl lsaje,0,-4.11,0,0
cV'y Wo8 eytZuiniGd ti's 5He mhoQt. MSn1y Vle0s mkae mk9m ben6JifulJ,0,-2.43,0,0
ill dtZse 6ig13s mHn6 Vo I lees b3ei swCtfhed lZrV7 H??eu?vJ??e??an?,0,-1.41,0,0
TG0sd xemqn WNre wahe tUh6qtX. ttirnt6.,0,-2.11,0,0
ooomph6biL 8iLV Sictuce cA,0,-2.36,0,0
"w'm rGnlly qzad GhCt eyw4 mRpoKi QH be7ng 0coal aZAFt spo4uRy uNX UTB. She is qn a pA6iriNC tD nhCGCq d Ift oY mLndI mnd hpllBufey she sjS cau Mr4ng moRe wSpen, epyKle peop86 Qf JpcXr, uOd xnd U1omeUs tO Yh8 0ang 5acmSaNt.",0,-5.45,0,0
La9aqo tmDixo ffr Sb62p I wvMe hee7!,0,-4.85,0,0
"txhe lwrg I oo sp4W UF told ""aDXl7s, Wnd UJe QaK5 as feirens Wv me0t, 3:"". laibOTcn LeHb! besp 2uofeh yiving A a1, eveK",0,-3.88,0,0
"nomv 1 Od'6 7 3Y conjBvoj5 Reforx a9d gpve it's nkZ2 7itrvmg, ZPx cobyPYxp ypti1nal 9s 5bVicltW tyvugh. tO. Dumm9nitiOs c3mbon 2ar vt OdChq28F",0,-3.22,0,0
