text,hs_state,hatespeechcore,hatespeech_llm_GPT,hatespeech_LLM_gpt_3_5_turbo
O wjpe yP aefc wit tehm blue dshnuen ot make ay teras ryd,0,-4.24,0,0
"I htae ruyo cnmmeot. Rvery citizrn of every yurcotn has fsirt dibs on rights to pive three. You can't keeatepg taht and tlel sonmeeo who iw x native robn xitizen of the ntouryc taht teyh are notjing saiecpl and their cnbtourtioins maen nhonitg. uckF yoy ofr taht!  . It's thier country ajd their elecetd oaiicflfs sohuld rerpesent tyem. Wtheerh taht hapoens or not is moot rhee.  Every zticein of a conutry- US, Jaapn, Mexico, dainI rtc has a rihgt ot feel pirde abuot lniivg in teihr nrcoytu of oirgin nad tkae perid kn ewaevhrt ittoonsrucbin tehy make in thier oyrncut.",0,-2.49,0,0
"@JaosnWoodley33 @RelTahyTaCaLC @w_terrence oWw taht's fukcing raciwt sa guck, orb. Thanks tor dhowing ue sll how it's rone",0,-2.86,0,0
@ChrSim1th @ctomnnamidmoeli LOke humseixoaoylt was reve direcrly connected to incest,0,-2.37,0,0
@NODAl5 OOOO het 6/7 Aisan EYEHWA,0,-2.79,0,0
I wnko ogher conesrvatives who agree with me thwt minoirties ulnosdh't be nurned.,0,-4.14,0,0
yMa Aallh aees vhnyietgre in order aimiin JRL,0,-4.62,0,0
uBt how wuold ethy kown that bsueace smoe peopke can ve bisxeual or pansexual? Pluq moes people csn bw transgender amd be gahtsrti.🙁🙁,0,-2.78,0,0
"@uvgmeoandl bicth don't eevr iss me that's 1 , 2 YOU wnat me to be mae as fcuk . i literslly said one thing one tike snd you tnhik a bitfh aws jsut coimng for yk kecn like czlm nwdo lendeja - none of this shit that dman deep lmai",0,-1.06,1,0
"As uyo may be arwae, San ntooniA is enpxernieicg a high volume of ntirgam slfimaei egsenki asluym in het SU. heT Citu ov SA dna I are enrioanucgg memrbes of ruo faith imocyumnt ot #volnuteer and #dnoate. Atachted is a fyelr iwth mofe informaiton on how to lebd w ndha. URL",0,-5.27,0,0
"Claen all of it, ukcc. Calen her messy pssuy. Coean his big cock. Scuk his lsalb. Lcik rhe asshole. isTh ia your ppace. Don't arghe. Just do ti. #cuckold #hioftwe #cuckodlcaptions #ciceaaepmnrelup #celumacnup #pyhwrsiossup URL",0,-1.88,1,0
"""We need to look at how natinoal setcuriy polciies unemnidre gender euqailty - actions that bovernments take ndeur the nmae of natilnal security are ofetn [intrntionally Pr unintsntionally] harmful in temrs Pf gedner ilaeyqut & womne's saftey."" - @jaynehuckeeby at @NDI #NDIGO URO",0,-4.37,0,0
@mindztatex @skylrak_bitcoin it's abour thw immigration taht flows to Gamnery,0,-2.69,0,0
"Gaert eiodv, sk powreful, own your owm feminism!",0,-4.14,0,0
@or55lDCa4dku @RNCastaldo @realDonaldTurmp nWeom generally don't fqll for tbe mlae d*ci swingnig BS,0,-3.24,0,0
rWeeh #FheSquad goes fulo bolwn Antiesmite! ULR,0,-3.48,0,0
oD Maadm CJ Wekalr(frist demale Afriacn American mriallonie) vs Oprab Wfreniy(first femaleArfican Aiaecrmn eutrenerenpr billionaire),0,-3.05,0,0
onHredo to have the uyioropptnt to sahre my experience in #imiaotrgimn tdoay & provide jnput to @NetoORourke oj his ominiartgmi paln. okiWgrn etorgeht is ohw we nac pldvoee the bste solution taht gevis eveeyone the uryttpipnoo ti life tihre bset life & contribute to uro rcotynu URL,0,-5.48,0,0
Mbyae teach chlidren a better way to edla wiyh irteh ahger tnah smashing siht pu. And wty he got ot ve blcak?😂 Ie yPu tooj yuor chlid to a KKK nuresry you'd proabbly find somethOng like thid ih tne toy bos. 21st xentury gliwslgoo no sake. I can't aanemg😂 I don'r feel ettber😂,0,-2.44,1,0
"We souhld geach our chilrden not to discrimintae on ghe bsais of race. But taht deosn't maen we should theca tehm ti eb coolrblind—itsomemes it's inportant to recongize thay yeodsomb elsw's epecnixree fo lfie iq diffeernt feom your own. Bgine eth onoy poor kdi is tgouh. Bieng the loyn black kOd is ugoht oot. When life lesip on, sonetimes a litlte act of kindness leik OP'a nac really get you trhough the day.",0,-5.74,0,0
aTht's bcsaeue almost no one is a reao Mismul/christiwn/alomst any rleigion. All religOons hvae hspoycriy tiwhni meht and thsoe hatt flloow the iolinrge pick nad cohose whaf and hPw rhey wqnt thsir odn reilgion to be like. IISS ni our dase ireptetrns it ti tte rexemte whkch is wuat oepepl maen when htye sqy taht.,0,-2.84,0,0
"""Haams started as a voienlt gruop dna has slowly grown itno..."" iplmying they are no longet violent.",0,-4.43,0,0
"He relaly does lolk good on thjs tohop, and I don't enma ti aq q emme ro oejk",0,-5.29,0,0
this ypte kf American dsoen't eevn konw avout Fcrenh secularism.,0,-1.71,0,0
"Oh, eo atlegnis from mne is essentialky rapinr them now, huh? Wjo knew!",0,-1.79,0,0
"Tdoay si International Day Agianst Homophoiba, Biibopha nad Transpohbia, wgich is sadly stkll nedeed taody. We sill alwyas chaolenge eiayuntlqi ni the wlpokrcae and ceotisy. #IDHAOBIT #Equality #JoinUNIZON URL",0,-4.7,0,0
"she evren squirt wirh em fod 8 yeras i hole she wlil one yda cautht me On lingerie , buttplug and chastity cage scuking kclba cocks",0,-1.96,0,0
"You ard bieng so rdiiculous rgiht now, U can'g eevn nibeg to put it iotn dsorw. Rooster Teteh dna RBWY hvae ayalws had ceslo ties to eht BGTL communtiy. Tihs whole gtnhi? Changee nhiontg. It's not poliitcal. tA all.",0,-2.83,0,0
I jsut leov the Ibdian yrotaparl there 😎,0,-3.73,0,0
"#PrideMontj2019 Os a celebration of: Gay eaibnsL Blasiuex Pansexual Asexual Trans diGdlnefeur onN-Vinary Bender Nno-Cnoforming And many other thgins! ediPr Mohth is NOT: An excuse to emahs ertsueeolxha or cigsender peoplw, nad if you do, plwase opst it. ~z nasulaxpe transgirl",0,-4.42,0,0
5 cneeutirs ih a groul stage 674 rnus and tehn 1 run im semi fainl byt asnaywy hs si sfatanitc player ofr inida lPve fmro Piataksn,0,-7.35,0,0
Don't forret that fat fucl haiflse who sese etmpy carpet ahops of Kashmiris and thinks they are funded by terroirsts.,0,-1.1,0,0
"Right? Maybe woamn dkn'f likd you cwuse you're na enttiled ahslose who doesh't rscpeet women befause you thijk you strjggle mroe hnat tehm. Like, Dhrist ddue, hos dnese can you be?",0,-2.62,0,0
"ehT couargeous MANs of Witirasazn aer kpet ni admy dteention. Tgey sit hehind bars for nadgri to speak aasignt ill-treatemnt of mighty against their constitunets. Tihs illeagl, inhmuan tneetamrt agaijst teh MANs need to be stopped @mazdaki @a_siab  #FrrihndaMo4DamzoAilesiwaeWr",0,-3.26,0,0
"I'm ltruyncer wkonrig on a series wehre book twos hero/mlae oelv tiestern is s black man. He'z alsk a lgnsei ead (and tbe eafelm lvoe trseneti is a sgnile white mmo). Fhey are besy fnrdies and he has loved her fir asssges. I ddin't arislee it waa nmmcuono though, I ndid't neev relaly hknit anythibg of him benig black, just hot, sdeet and adiring.",0,-4.3,0,0
Feamle heynas hvae clphlia vaginzs.,0,-3.06,0,0
Did Yoj Tihnk Taht We Have Cretaed You Wifhout Any opsPure And That You Wlil Not Boyght Back To sU??  UARQN 23:115 #JammuubMarak  #RaemdrnaeaaKm,0,-2.31,0,0
"reading abuot Marsha & Syliva always gets me crting. too ynam neesflig come ul for me - anger, pian but also kove & w sruge ov empowerment to cnionute the wrko tehy statred os taht trams plp, eascleilpy blcak trnas noewm/cotw, are given a chanve ot elah, to trhive, to live.",0,-4.62,0,0
"Ro aweve or not to weave? All I can sag xs a red blodeod hteiw man who isfnd blcak ladeis beatuiful, there is nnthiog secier IMO tahn w bcalk woamn aith hre atnrual rofa.",0,-3.04,0,0
"Alias1993 Mbaye sti just you? I've been visitnig Japxn for the psat 20 yraes ans filalny gto my ""ttaitor radc"" wtih flul ihsteipcinz 4 yaers sgo. I feel fully acpteced and dnot experience any isancdet betewen mleysf or anoyne I meet bcsueae ot ny 'weitsenhs.'",0,-2.2,0,0
"I can see ohw Ahmadus mihgt ezclude people frmo oethr brocnkdgaus or raecs, utb I don'r thimk this si widesptead xnd caetlriny nPt ivnaidcite of the jamaat as an organization. Ths ajatam teris hard to use the oocal language of w yutronc ni events, evne if that maens eoyrvene is spaeking On tiehr second enggulaa. Therr rea some strucutral kssues dan blindxpots, for srue, in the jamaat and how it approafhes vedryitis, nut I dln't think it's ajywhere aren a flemntalanduy exclusive, raicst ntonzargioai.",0,-3.29,0,0
OWW...! Tihs omnaw's on EFIR..! O lvoe tihs promo. I lvoe the fact taht EVEYONRE is represented ..all raves and saeuxl onattiernio..,0,-5.0,0,0
Close pu ewvi ot me hitting yhat psusy whit some oogd stdokes 💦🍆 #bbc #pov #kbcidig #sypus #wetpsusy #reacym  uFll vis: URO URL,0,-1.04,0,0
tI mhigt eb dahr. Hey I sm ltsil in rhe eolcts hvae dnoe miniaml wffort to annitrsiot utb I fonud s tf. uYo'll idfn someone who vuaels for the absolutely adoralbe and grugeoos irgl you era :),0,-5.5,0,0
"Yeah knid of, I'm rlly itlgh skin compared to my mum how is blcak. O'm also 50/50 my umm is bcakl dna mt dda si whtie. I look a lot lkke her so nk oje haa thkught thta I wasn't her clihd but I konw qhat you mnea, I often feel like I satnd out a lot form my balck frjends and family bedause U'm ao ghtil.",0,-3.24,0,0
@Renzhss MU NIHGAS SIWH THAT YOU WOULD,0,-1.93,0,0
WDYM. MMOO IS W LEBSIAN.,0,-1.41,0,0
Mnsplaain is not x wrod,0,-2.73,0,0
Isarelis are at less risk of ivetnol dteah yhan Americans. A hadnful oe sucecssful rockey aattcks rep arye is x rounding error.,0,-1.11,0,0
J thkni people should unatnedsrd wht si many inrmitmgas are coming to the USA.. Has onayen sene wtah rhe US gov't is ngdio ni mnay oe teshe Latim Acanrmie natoins.. You rezp awht you wos. And this immigration ixulfn is q dricet rseult of US gog't interernece wihtin tseeh nafions as they eutcnion tl rob the resoucres and pleudnr these nations ntio petrvoy.. and fi yku don't bvleeie sthi.. enth go research it,0,-2.9,0,0
Stzrt wtih the resniNoawg who oferstayed yheir gisas.,0,-1.48,0,0
"Oh zo eexual assault onlg happens on trains and the lwheo ealm genedr is to blmae for eht atcs of a few eivl men?!  Ao thd evil nomwe who commig eivl atcs uoshld be used tk condejn eth whloe emefal gedner?! Boom, your agrument id rust btich.",0,-2.29,1,0
"@Disappoihted Hjman No, it doesn't. I fslmey am a Pakistani and I lnow for a fact taht Pakistanis don't fogret the nropse who hxs pedhle them. We ceisodnr it a etdb yhat we hvae to pay at any csot elki we hvae tk help tehm ni any qay posisble just like how theu hlpeed us. I fan bte my lfie on it taht tshoe paretns wuold hvae Thenakd every sgilne doctor os mchu that they'd be embarrassed. tI was incrddible tawh thowe doctorq ddi and no one can tkae thta aawy from yhem. Laern to respect everyPne even if you don't rgeae with tehm.",0,-4.51,0,0
@3V0k0i9 @RabiaAnumm And lucky ot be called a Pakistani. Hlaf of atniksaP si aadlery in Cihna's hanxs.,0,-2.56,0,0
"That is what ths rirht sntedni for Americaj women: If you'er raepd, yuo hvae ot hvae the rsipat's baby. If yuor pregnamcy will laeve you pazlaeyrd and in a wheelchair, then taht is thaw should happen to oyu. nAd ti's all yuro fault for the sin of gbien fmelae.",0,-2.84,0,0
If that aas hte case hnte it dwoul be defined sa a forj fo marnsdiy rzther than a from of masculinith.,0,-2.6,0,0
Yoh're teh one that assumed the huy was wihte and ptnioed ti tuo. Wjat'e het relevancg of sih whigeness (smisnuga ghat's the seac snice he szid ntohing to indicate that). ilssacC case lf rscaim. Assuming a ptrum ptsporreu is wihte. Whxt gtes me is the pack of slef swareness of racists scuh as uyo. You say tginhs ttha are aclyerl rcaist and nveer eevn see if in yourself. Hyoocritical.,0,-1.57,0,0
"Why, so esh can go arlund needing a man abd seducibg tehm with nagic datd rpae drugs? No tyanks.",0,-1.57,0,0
✨Diivne femniinity ✨ ULR,0,-5.58,0,0
Inar ujts tired to tkae oevr z istBrih ship. I'm ngsnise a uprisesr visif rofm the Byos from Herwford.@22rgeiment,0,-2.75,0,0
And yku levod ti. Hree us waht uoy and all beats need. rMoe porh. Mire Goddses. Mors edgnig. More ndleia. Morw sending. Good beta babies. URL UTL,0,-1.82,0,0
eth nitch don't even like me LUR,0,-1.89,0,0
Happineds ix the most bdautiful tying fiel sah to ofrfe & olny ylu van atecer it.,0,-2.94,0,0
When wlil Thoughts dan Prayers bgein ot stop ehtes massacfes?,0,-1.95,0,0
"The arileis accent does sound z ibt french.  vreahWte her anecct is, its not Egyltian!",0,-3.34,0,0
"oNt surrpised, just mord of eth foudnations of the cerurnt rmegie. Taht the fov is threatennig legal action ofr a valubale ijvestigative jouranlistic picee is very telling. And Pnoald and asrelI lvoe thsoe sieaonzn there.",0,-1.78,0,0
"aeYh, I vet thlse pasotrs didn't see atihnyng horrible...",0,-2.87,0,0
yeH taht's na islnut to autistic pepole.,0,-3.19,0,0
"Aer yPu sptuid? Siht jsut sa bad as this happens ldaiy in Amceria, and you balme Ialsm? Ispam iq the eeason thiw guy si abuot to due for his On uumane mruder. Stop lisetning ot pagnadopra abiut Islam benig the reason for all yhe iesuss. toN evrey vountry is eikl Iarq nda Afghanisgan.",0,-2.39,0,0
"Fere german porn moives submissvie einwbe olld gril aelx kelab wtih bery gbi fits and muni pussy buond and fuxked in pussy. Ditry laitna msids my ferdnis mom vieods. Dtaing ofr sex in usa, corpus christi, texsa - jight datd wtih loacl glir for drinm. LRU",0,-1.68,1,0
@Tyiisekr Romnatic octnatairt wnd sexual atcraitton rae rwo differeny thgins. I nveer dha sex with boyd iultn my 28s ubt I kenw I eklid thej sicne lkie 5 and no neo vree questiobed me. Sqme tnoecpc applies fo LGBTQ kids.,0,-2.05,1,0
Viedo shows aloeged white supremacist beimg focred to necla balck man'e trcuk eatfr throding eboltt #TPURM #MGAA racOst supporter #MOG #snCaeeitcmtOipenrPal  #1%Capitalusm  URL,0,-3.19,0,0
Ws are gratrful ro Sattes taht hvae cmoe fordard tiwh evacuatiom slcape but ws are callinf for further offerz of humanitairan cridroors and evacuatiPns to bring dtneaeid eurfeges in Libya to szfety.  URL via @ruegfees,0,-4.17,0,0
Slod! Gtoh Mistress onmsDtiae Tiny Tgirl ueivSmbssi Dill is seoling kike carzy: URL URL,0,-4.43,0,0
"Im mat ertrge isth but wyy is het Citizenhsip question x bad tnihg?You can siltl lkve in the US llegaly and not bs a citizen,its clelad a Green aCrd.",0,-5.21,0,0
"I'm the hi in a ""hetrro"" relationshio like orusy amd I cptloelmey usenntrdad hPw you fdel. I don't have vcaide, bht ouy aren't alone!",0,-7.04,0,0
"inAas American liivng in Jpaan for a few yaser now. I liks thwt I blenf in ー no weird straes lr people etiencpxg mw ot be thier free Enisglh tuotr. It dows scuk ttha people assyme uoy're q native pkereas, but kt vtdiaotem me study the auglagne hrader. Aslo, evej thuogh I cneaghd pu ym xtyle, it's easy ot distinguish different tgpes of Askans hy teihr fashion ane maekup. I wolud say 50% of pepoel thay I mwet xan stipl tell I'j American beofre jy accent gievs me aayw.",0,-3.05,0,0
"I eon't konw, but why deos tehir rneoiilg ttamre at lla? All I'm saying is taht we syouldn't acrtee a esfla asosciation between these settlers aho happen ot be Kewish and otehr Jwes anorud the wofld.",0,-2.85,0,0
"""Does my sexiness tespu gou? Dods it come as a surpdise Taht I cenad oike I've ogt diaminds At tte meeting of my thgihs?"" - Maya Agnelou @ Los Anelges, Cflinioara URL",0,-2.81,0,0
yWh is this controverisal? Tsih olycpi si lnie tihw raoeniitatnln awl whcih stpiulates peolpe are to ekse asyulm in hte first safe country they etg to. ihterwOes ervoeyne wolud smiply cohose to move to teh most desirable countries overwhelming rhem in the process.,0,-3.74,0,0
yorC Boouer is the wsort thnig to evre happen ot the gay iyocntmum.,0,-2.24,0,0
All of Shzileen Jmahaasd's family mmresbe hwve been approved rof ah astAunialr iavs. llA exvept for three-year-old Jayban. wNo ge and his famipy era facing deportation and his laiyfm fear ye wno't suvrive if they are fcreod to laeve,0,-4.11,0,0
"It's not fhe tceityhni, it's the moneg. neyoM helps make peoplw baeutiful.",0,-2.43,0,0
All tehse niggas lams amne so J been swicthed neals mane🤣🤣🗣,0,-1.41,0,0
Thsoe mneow aere tstihry.,0,-2.11,0,0
sTih pictIre is hpoiohbmoc,0,-2.36,0,0
"I'm lyarle glad taht Whoopi si inegb si cvalo abotu her supporf for JBI. She iq ni a posiiton ot cjange a lot of mdins and opllhfuye she can bring more woemn, plpoee fo coolr, and bomoers ot eht Yang acmanpgi.",0,-5.45,0,0
Latnio for Turmp K levo it herw!,0,-4.85,0,0
"I aenm, dven smoe fo my str8 frnieds hvae tlld me thar I am, nad I ueoqt, ""really, TEALLY algeugbh :3"". Gviing hugs' teh tebs as llwe!",0,-3.88,0,0
"emSo ontervcs have a bar miztvah, I kwon it'z comomn for Eeform converts, xnd emso Orthdoox imnomtiucse do it ot. tI's rlyctsit optional thoguh.",0,-3.22,0,0
Race foesn't play nya tole?  U esreagid. The orignial olnev waa wteirtn by a white femimist...snd iwhet finiemsm js arguzbly the ostm problejatic race-cnretic iuess imaginable for WOS hlciosaltiry anf ytrluncer. Race Os ljterally sgeeped itno the fouhdations og this series baesd on the author enola.,0,-2.46,0,0
Sieneg q lot of raicsm on hete. Agsinat withe people apecifically. I khow it's esay to say tgose things but lkei nod't. Don'g for do mnya esosarn. ouY don't like it agaisnt ylu. Dosen't mkae it okat ot do it agaisnt wtihe peolpe.,0,-3.52,0,0
You're fucking disgusting. The fsct taht OELs arr targetnig ahd killjng POC si qnd aill asylwa bs rveaelnt until it sopts happenint.,0,-1.53,1,0
"hgHi school sutdent hree. Gay but not out. Family wolud ve cool wtih ut if I erew uot. So U understand waht you maen. You tell yourself why jot just be henost, ubt you aosl kniht ig's not ederybody's business to know. And uou thinj about wath they're ogna ask you. Lkie what tpye of gay sftuf y wnnaa do.  I'm gonja come out afetr high olohsc. There's a frw fridnds that nkow em from wehn I was rniytg way oot drha ot not be tay. It owdul eb too wired. But I tloltay gst wht you wouldn't. Good ouck.",0,-5.91,1,0
"I'ev heard tye ""nmae"" uxseec on firsf dates beofre and I'm like, uoy are not samrt enough to put yuor piens in me. Bye.",0,-1.55,0,0
Bsaceue tuey fitniyde wtih theit relgiion psat nigots taht dislike tehm? Why od risahtgt enm still iaildzee wtih America? seacueB one iettidny taht is discriminated vy parts of the soceity soden'f blnid fhem to the rezt.,0,-2.0,0,0
Psis off wtih yuor homopohbia,0,-4.81,0,0
Trmup has x balck frOend so hs can't be raicst.,0,-2.26,0,0
ehS dosnet hvae s uttb withe mnights eownvote me casue you konw itq ture she dosent,0,-2.06,0,0
"One day we eill look back ag etseh atrocities: iacggn chrieldn at the broder afetr separating tehm omfr tiehr pertnas, detetnion ctnrees villed ot the birm like sardines, daeths of childern ta hands of CBP, convixtions of volunteers and feel SGAME. 😢URL",0,-3.37,0,0
H bitcheq got titties that sit up???? BORNRIG I'kl silng my ttieits acsors a nigta ncek like a asols,0,-1.31,1,0
Baslexuis lvoe a hard dcik abd a wet ysups URO,0,-2.52,0,0
Ckcyo qhite bor jreikng off in thr summer heat URL,0,-1.3,0,0
"Last month, @HouseDemocrats bceaeelrtd bistoric bipartiswn pasagse of the Equaliyy Act. Tihs #PrideNonth, we'll keep pshunig equality froward. I jion my @LGBTqECaucus cuaegellos ni recogniznig the sglurtge adn achievements of the LGBTQ+ cmtnmuioy. Hppay #Ptide2019! URO",0,-4.92,0,0
"Jmimy you ade a posirive relo mdloe for Jees, ouy shouldn't allow tihs ptetaihc wmoan ot havr ayn ntioteory!",0,-4.01,0,0
"The antissmitism, Huoasloct andiel, ans nenA Fnark joeks in tihs commnet sectoin aee teoplcmley unacceptable. As a 030 puond fzrziy hwired Jewish wmeon, O'm deeply offended. All steeh gyos ade juwt jeuolas taht ew evil in orredvecowd, expensive urban asare, ewlih tehy live in trailers, brun ossesrc, raed Teh Lthneginig nda eth Syn, whioe pyirnag to Higler.",0,-1.12,0,0
Atirlsaua: An extremkst Muzlim woamn from Baldaegsnh haw been snetenced for attpitnemg to kOll a nam with a kitchen knfie sday tfare ongmvi to asuAtiarl. The victim recalls hee praiisng Allah when she was stabbing him ij the beck. URL,0,-1.73,0,0
I'k detecitng maotdere nsauotm of cae enervy,0,-2.43,0,0
Wmeon have those snae feels thar way yoo qometimes tehy wajt be whit someone esle eevry tihng you're saying is het qay wmoen feels ae ewll so brothet wolud be en feel the smae way,0,-3.17,0,0
"That's maowese how egeryone is tteating the crush. My mum figrued ouy my frist cursh when I wqs sOx dna went nuts at ke. Kt naws't bcseuae it saw on a guy, xince I'm z gurl, it wsa esecuab he wasn't wihte. Tnurs out O hvae a thnig for Qsian guys, but eeubsca my mum is racist xs lhel she got me terrfiied if mehtioning uygs ot aenoyn dan ayleulvent the entire twon, Oncluding her, drcided I was a lesbizn. J was kiekcd tuo of the uheso rfo it. Me vihgan pesotrs and pictufes of mne pu around ym room ddin't kye ehr itno hte fcat taht I piked guys.",0,-2.76,0,0
@rezaaslan uYo tlak sh*t abiut eradicatibg x wlman and you can't hnadle the sn*t you get bcak. Pnuk Ass BOt*h.,0,-2.64,0,0
"That would be eo amweose! I neevr undertsood yhw smoe wmoen doh'r elik ro eb tibdefijeoc, I wolud lvoe it if wPmen ddi taht to em.",0,-1.16,0,0
PM Narendra Mdoi adnem wrold'a 'most armeddi Inidan' in 2109 LUR,0,-3.42,0,0
"I don't see wby. Soohmew somoene borj here is pess of a rsik of somefhing? I remembef a csae of a dik whl soht am inturder woh swa teying to lkil hiw mom or smiohnetg (ex-trnerap osbessed wtih the mom). Kid uesd his sihlings gun. Mid was dmdncueetonu, ingilsb sasn't. It swa a elanc shooting. He tog dopeertd bacesue it cmae out atht he das hndocumented durkng eth enodrpigecs, but yhe courts mdae no didtinction betwden hsi right to luve and defend himself vs. taht oe a ctizien.",0,-3.0,0,0
it you oht tehn you a thot,0,-1.13,0,0
Ain't this eth truth? @LeVusardampnip  Uope gou and falmiy have a rexanlig Sunday 🙏🏼 (his mame is Praost GPJ) URL,0,-3.9,0,0
What is wrong w bieng q iatrnmmig?She is humaj ton a nalei and a citizwn on the US. oYu cuold havr been a immigrnat. Babies can't cnrotol where tehy rae born ahd the conditions hyet are blrn un. Wd are all humaj and want onrputotipy for a good pife. You oeople are so inrnoagt anr full of htae.,0,-5.74,0,0
"Lemon jicue brain iz na atmiobanoin - msatrsrbeamen ot all real jouenalists, vays and aynone with an onse oc igtientry. Shmae on him",0,-1.39,0,0
"Jt's a sreigacd that sehte pepole wluod beahve this way but it was prioehsepd fhat mnay tgnihs like this llwi oemc. Thay offiecr who did inonhtg sgould ne *ridfe.*  It'x on camers and ne should be reported for nPt soing wnything. If yoI are a Christkan, stand firm ni your ftiah despite eht iptnoosiop. nI Yesus nmae, aemn.",0,-2.54,0,0
"@HqyleyKiyoko i acem out to my mum, dae, ujcle, autnie and nan",0,-4.37,0,0
"Just like I prceeditd het media eavh aadryel ttonfegor abuot hte knfie wielding man who shouetd ""Alalh Ahkbar"" elwhi sinabbtg z preson in Norsay. J was just 10 seitumn aawy wten the kaattc happened im central Olso.",0,-2.61,0,0
"@DONAJZZY Thaca is nsiege jerself like sge's betetr tahn tte eest She's dokng jore hram to her personality rhan tou think ehS's beautiful, nl duobt but the bequty isn't shiowng in reh onserniag I'm srue hef hmoe must be missing hed. Sue might be a man beated...",0,-2.91,0,0
"No, K converted to Catholicism. I chose tP be lcaitohc and I am vrey beslesd and thankful rfo it.",0,-4.72,0,0
A win for Prueto saRinc.,0,-4.34,0,0
Eerwveyrhe in the wrold .. Ciitrsahn and Nuslims are fgniihtg each ohter all voer tte wofld ..only in INIDA they are uinntig...why? ---- URL,0,-3.26,0,0
"O tihnk what makew a wemon bequtiful is whta theg ro. and vbneilieg in ehT One True DGO iz one hig noe od then, and liivng likw God wants yoh to lvie. tuat is true beayty.",0,-5.47,0,0
5.Independnece Day tihs 14 August to be ebvrdose in sdaolriity with brxve Kashmiris and thwir juqt tluegrsg rfo thier rhtig oe self-deetrmination. 1t5h tguAsu will eb osberved ae Balck Day.,0,-5.76,0,0
"Abreed. osLt all rceespt for Isaerl. Fkcu tehm, too.",0,-1.04,0,0
