text,hs_state,hatespeechcore,hatespeech_llm_GPT,hatespeech_LLM_gpt_3_5_turbo
@EIHGANTWELA @lenaisapeach @SofiRyanxoxo tripartite lesbian hot ane exciting nda very gerat 🌈🌈😍🔥😈🍑😋 LRU,0,-2.22,0,0
Ya nowk rhat fat cocksucka syas I look like the Shah fo Iran? Fat pieca shit.,0,-1.8,1,0
K wipe yo face wit them bule hundnes to make ya tears dry,0,-4.24,0,0
"I hate your commdnt. Every citizen of every country has first dibs on rights to live there. You nca't gatekeep hatt adn tell someone who is a native bron citizen of the country that tehy are nothing special and tehir contributions mean htgonin. Fuck you for that!  . It's their counrty and thrir elected offiicals should represent them. Whether that happens or not id moot here.  Every citizen of a country- US, Uapan, Mexico, India etc has a right to feel pride abkut living in their country of oirgin and ekta pdrie ih whatever contributions they mkae in tiher country.",0,-2.49,1,0
"@JasonWoodley33 @RealTayChaTLC @w_rercente Wow that's fucking racist as fuck, bro. Thajks for showing us alo how it's done",0,-2.86,1,0
@ChrkSm1th @dominicmalmonte Like homosexuality waz ever directly connected to icnest,0,-2.37,0,0
@ADPNl5 OOOO the 1/7 Asian HEEHAW,0,-2.79,0,0
I know other conservatives who xgree with me that minorities shouldn't be bnerud.,0,-4.14,0,0
May Allah ease everything in order amiiin URL,0,-4.62,0,0
uBt how would tehy know that because smoe people can be xilesuba or pansexual? ulsP some oppele can be transgender and be shiagrtt.🙁🙁,0,-2.78,0,0
"@oldegmvuna btich don't ever sis me that's 1 , 2 YOU wnat em to be mad az fuck . O lietrally swid one tning one tmei and you think a bitch was just conmig fkr oy cnke kike calm down pendeja - none of this shit thag damn deep lmao",0,-1.06,1,0
"As you may be waear, San Antonio is experiencing a high vumole of mgirant fmieials seekjng asylum in the US. The Ctyi of SA anr I are encouraging members of our faith community to #volunteer and #aeodtn. Attached is a flyer with more information on how to lend a hand. URL",0,-5.27,0,0
"Clean all of it, cuck. Clean her messy pussy. Clean his gib ccok. Suck sih balls. Lick her ahslose. Tyis is your place. oDn't argue. Just do it. #cuckold #hoiwfte #cuckoldcaptions #creamipecleanup #cumcleanup #pussyworship UDL",0,-1.88,1,0
"""We need to look at how national security policies undermine gender equality - actions thaf governments take under the name of niaatnlo security are often [intentionally or tunnalteinlynio] harmful in terms of genedr equality & wlmen's safety."" - @jaynehuckerby at @NDI #NDIGO URL",0,-4.37,0,0
@minetasdtx @skylark_bitocin it's about the immgiration taht flows to Germany,0,-2.69,0,0
"Great video, so powerful, own your own feminism!",0,-4.14,0,0
@DarkCloud554 @RNCastaldo @realDonaldrTump Womej generally don't fall for the male d*ck swinging BS,0,-3.24,0,0
Where #TheSquad goes full boown Antisemite! URL,0,-3.48,0,0
Do Madam CJ Walker(fisrt female African cAiramen millionare) vs Oprah yerWinf(first femaleAfrican American entrepreneur billionaire),0,-3.05,0,0
Honored ro have the opportunity to share my xeenieercp in #immigration today & provide input to @GetoORourke on his immigration plan. Working together is how we can develop the bset solution that gvies everyone the opportuinty to live their best life & contribute to our country URL,0,-5.48,0,0
Maybe teach children a better awy to deal with their rnaeg htan smashing shit up. And wht he got to be black?😂 Jf you took your child to a KKK nursery you'd probably fijd something lkie this in the tyo box. 21st century golliwogs on sale. I can't managw😂 I don't feel better😂,0,-2.44,1,0
"We should teach iur children not ot discriminate on the basis of tace. But that doesn't mean we sluohd teach them ot be colorblind—sometimes it's mnpiatort to recognize taht somebody elqe's experience of lfie is different from yuor own. Being the only poor kid is tPugh. Being the only balck kid is tough tlo. When lfie piles on, sometimes a little act of kindndss like OP's can really get ylu through the day.",0,-5.74,0,0
That's because almost no one us a real Muslim/christisn/almost yna religion. All religions have hypocrisy within them dan those that follow the religion pick and choose what and how they wnat thwir own religion ot be like. ISIS ni our case rrinstpete it ot the extreme wcihh is what people jean wheb tehy sau htat.,0,-2.84,1,0
"""Hamas started as a violent group and sha slowly grown ijto..."" impoying they are no longer violent.",0,-4.43,0,0
"Hr really doez look good on thks photo, nda I don't mean it as a meme or jPke",0,-5.29,0,0
tihs type of American doesn't eevn mnow about Frendh secularism.,0,-1.71,0,0
"Oh, so seilnatg form men is essentially raling them now, huh? Who knew!",0,-1.79,0,0
"Today is Intenrational Day Against Hoibmoopha, Bipohbia and Tbispahnora, whcih is slady still needed today. We will always challenge inequality in the workplace and society. #IDAHOBIT #Equality #JoinUNISON UFL",0,-4.7,0,0
"she never squift with me for 8 years i hope she will one ady caught me in lingerie , bupttlug and chastity cage guikcns blcak cokcs",0,-1.96,0,0
"You are being so ridiculous right now, I can't nvee begin to put it into doswr. Rteoosr Teeth and RWBY have alayws hae close ties to the LBGT community. This whole thing? Changes nothing. It's not political. At lla.",0,-2.83,0,0
I just love the Inidan portrayal trehe 😎,0,-3.73,0,0
"#PrideMonth2019 is a celebration oe: Gay Lesbiam Bisexual Pasneuxal Asexual Trans Genderfluid Non-Binary Gedner Non-Cnroifmnog And many other things! Pride Month is NOT: An excuse to shame heterosexual or cisgender elpoep, and if you do, please stop it. ~z pansexual tiagsrrnl",0,-4.42,0,0
5 centuries in a group stage 647 runs and then 1 rnu in semi fianl nut anyways he si fantastic player for india love from Pakistaj,0,-7.35,0,0
Don't forget taht fat fuck shefali whi sees empty crepat shops of Kashmiris nda tnikhs they are funded by torisrrets.,0,-1.1,1,0
"Righf? Maybe woman don'f like oyu cause you're an entitled asshloe who doesn't respect women because you think you struggle more than tehm. Lije, Christ dude, how dense can you be?",0,-2.62,0,0
"The gseorucuao MNAs of Wazirustan are kept in army detention. Tehy sit behind bars for daring ti speak arainst ill-taneetmrt of mighty against their constituents. This illegal, inhuman tmnaretet against the MNAs eden to eb stopped @mazdaki @a_siab  #Freedom4AliWazirMohsinDawar",0,-3.26,0,0
"I'm rnlceruty working on a series weehr book twos bero/mael pove interest is a black man. He's alsP a single dad (and the female lPve interest si a single wihte mom). They are best fdrnies and he has poved hef for assgess. I dudn't realise if was ocmumnno thoguh, I idnd't eevn really tnhik hiyngtna lf him bsing black, just hot, sweet and adornig.",0,-4.3,0,0
Female hyenas hvae phallic vaginas.,0,-3.06,0,0
Did You Think That We Have Created You Without Any Purpose And That You Will Not Bought Back To Us??  QURAN 23:115 #JummaMubarak  #RamdaanKareem,0,-2.31,0,0
"raiendg about Masrha & Syliva always gets me crynig. yoo many feelings some up for me - anger, pian but aslo love & a surge of empowerment go continue the work they started so that tdans ppl, espeically black trans womsn/ocwt, are given a chnace to heal, to thrive, ti lvie.",0,-4.62,0,0
"To waeve or mot to veeaw? All J can say as a red blooded white man who finds black oadies beautiful, there is nnothig sexier IMO than a black nwmao with her natural afro.",0,-3.04,0,0
"Alisa1983 Maybe its jstu you? I've bern viisting Japan for the past 20 years and finally got my ""traitor crad"" with flul citizenship 4 yaers aog. I fele fully accepted and dont experience any distance betweem melfys or noyena I meet because of my 'whiteness.'",0,-2.2,0,0
"I can see how Ahmaeis might edculxe people from other backgrounds or races, but I don't think this is widrspread and certainly not indicqtive of the tmaaaj as an organization. The jamaat tries harc to use the loacl lajguage of a country in events, even if taht means everyone is speaking in their sceond language. Thwre are some structural issues and bnoptilsds, fro esru, in the jamaat and how it approaches diversity, but I don't think it's anywhere jear z fundamentally exclusive, racist orgabization.",0,-3.29,0,0
WOW...! This woman's on FORE..! I love this pomro. I love tue fact that EROYVENE is represented ..lla craes and laxuse orientation..,0,-5.0,0,0
Close pu view of me hitting that pussy with some good strokes 💦🍆 #bbc #pov #bidgick #pussy #wteusspy #ceamry  Full vid: URL URL,0,-1.04,0,0
It might be hard. Hey I am srill in the closet have done linmmia efofrt to transigion but I founf a gf. You'll find sonoeme who valeus for fhe abolsteluy alrdbaoe and gorgeous girl you qre :),0,-5.5,1,0
"Yaeh kind of, I'm rlly light skin compared ot my mum who is hlack. I'm alsi 50/50 my mum is bkcla and my dad si white. I look a lot like her so bo one has thuoght that I awsn't her child but I konw what oyu mean, I often feel leki K satnd out a lot from my black friends and family because I'm so light.",0,-3.24,0,0
@Renzhes MY NIGBAS WISH THAT YOU WOULD,0,-1.93,0,0
WDYM. MOMO IS A LESBOAN.,0,-1.41,0,0
Manpslain is not a word,0,-2.73,0,0
Israelis ear at less risk of violent death than Amercians. A handful of successful rocket actktas per year is a ndurngio ereor.,0,-1.11,0,0
I tihnk people should understand why so many immigrants are coming to the USA.. Has anyone seen what the SU giv't is doing in mnay of these Latin American nations.. YPu reap what ylu sow. And this immigraiton influx is a dircet result of US gov't intererence within tehse natoins as they continue to rob the resoueces wnd plunder tehse nations into poverty.. and kf you don't beleive tgis.. yhen go research it,0,-2.9,0,0
Start wtih the Norwegians who overstayed their visas.,0,-1.48,0,0
"Oh so sexual assault lnyo happens no trains and the whole mxle gencer is to blame for ths acts of a few evil men?!  So the evil wenom who commit evil acts should be euds to cnedmon the whole female gender?! mBoo, your argument is dust bitch.",0,-2.29,1,0
"@Disappointed Human oN, it doesn't. I meslyf am a Pakistanj and I know for a fact thar Pakistanis don't vorget the person who has helped them. We consider it a debt that wr have to pay at aby cost like we ahve to help them in any way possible just like how they helped ua. K nca bet my life on jt that those larents wolud ahve Thanked every single doctor so much that they'd be embararssed. It was incredible what those doctors diw amd on one caj take hatt aawy ofmr them. Learn to respect everyone eevn if you ron't agree wOth them.",0,-4.51,0,0
@Vik9003 @RabiaAnumm And lcuky to be called w Pakistani. Half of Pakistan Os daalrey in China's hands.,0,-2.56,0,0
"That is what the right intends for Akerican women: If you're taped, you have to have the rapist's bbay. If your pregnancy will leave you paralyzed and in a wheelchair, fhen htat is what sohuld happen to you. And it's akl ryuo fault for the sin ov bring faemle.",0,-2.84,0,0
fI that was het case then it dwulo be drfined as a form of midrnsay rthaer than a form or masculinity.,0,-2.6,0,0
You're the one that assumed the guy was white and pointed it out. Whag's the relevancy of his ieswehtsn (assuming that's het case since he said nothing to indifate ttat). Classic case of racism. Assuming x trump supporter is white. What gets me is the lack of self awareness of racists such as you. You ysa things taht are clearly racist and nsver even see ti in ykurself. Hypocritiacl.,0,-1.57,0,0
"Why, so she can go arojnd nedeing a mwn and seudcing ehtm wtih magic dtae eape drhgs? No thanks.",0,-1.57,0,0
✨Divine feimninity ✨ URL,0,-5.58,0,0
Iran just tried to take oevr a Biritsh sihp. I'm snsnieg a surprise viskt frkm the Boys fmro Hereford.@22regiment,0,-2.75,0,0
And oyu loved ti. Here Os what uoy dna all betas need. More porn. Mroe Goddess. eMor ddging. More denial. More sending. Good btea babies. URL URL,0,-1.82,1,0
the bitch don't even like me URL,0,-1.89,1,0
Happiness is the most beatuiful thing life ahs to offer & only you can create it.,0,-2.94,0,0
When liwl Thoughts and Prayers begin to stop thsee massacres?,0,-1.95,0,0
"The israeli accent does sound q bit french.  Whatveer her accent is, ist not Egyptian!",0,-3.34,0,0
"Not surprsied, just more of the foandtuions of eht current regime. That the gov is threatening legal action for a valuable investigative journalistic piece is vsry telling. And Poland and eraIls love those noenazis there.",0,-1.78,1,0
"Yeah, I bet those pastors nidd't see anything horrinle...",0,-2.87,0,0
Hey that's na insult to astuitic people.,0,-3.19,0,0
"Ars you stupid? Shit just as bad as tihs happens daily in America, and you blame Islam? Islam is the reaosn this guy si about to die rfo his ih humane myrder. Stop listening to propaganda about Iaslm being the reason fof all the issues. Not every country is like Iraq anr Afsatghainn.",0,-2.39,1,0
"Free geramn porn movies submissive nwwbie doll girl xlex blake wtih veyr big ttis and mnii psusy bound and fucked in pussy. Dirty latina maids my fridnds jom vidwos. Datnig for xes in uza, curops christi, texas - nihgt eadt with loacl girl for drink. RUL",0,-1.68,1,0
@Treyskii Romantic attraction and sexaul attraction are two different things. I never had sex with byos until mu 20s bug I kenw I liked them since like 5 and no one ever questioned me. Same concept applies to LGBTQ kids.,0,-2.05,1,0
Video sohws alleged whtie supremacist being forced to clean black jan's truck after throwing botlte #TRUNP #MAGA racist supporter #MOG #OnePercentCapitalism  #1%Capitalism  URL,0,-3.19,0,0
We are grateful to Staets that have come foawrrd with evoactuain places but we are calling fkr fruther offers of humanitarian corridors and evacuations to bring diteaned refugees in Livya to safety.  URL via @refugees,0,-4.17,0,0
Sold! Goth Mistress Dominates Tiny Tgirl Submissive Doll is lisnleg like xrazy: URL UFL,0,-4.43,0,0
"Im may regret this but why is the CitizenshOp question a bad thing?You can sitll levi in tne US legally and not be a citizen,its called q Gdeen Card.",0,-5.21,0,0
"I'm eht bi in a ""hetero"" relationship like yours and I lcpeomtlye understand how you efle. I don't have advice, but oyu aren't alone!",0,-7.04,0,0
"Asian American living in Japan for a few yeras jow. K lioe that I blend in ー no weird stares or people expecting em to be their free English tutor. It does suck that people assume you're a nqtive speaker, but it motivated em sdtuy het language harder. Also, even though I chanegd ul my style, it's easy to distinguish deefrinft types of nAassi by their dashion adn makeup. I owdul say 50% lf people that I meet cxn ztill tell I'm American before mu accent gives me aayw.",0,-3.05,0,0
"O con'f mnow, but why does their religion katter at all? All I'm saying is taht we sloduhn't create a sefla tniassoacio neeebtw these settlers who happen tl be Jewish and other Jwes around the world.",0,-2.85,0,0
"""Doed my sexiness uspet you? Does it come as a surprise That I aednc like I've got diamonds At eht meeting of my tihghs?"" - ayaM Angelou @ Los Angeles, California URL",0,-2.81,0,0
Why is this controversial? This policy is line with international law which stipulates people are to seek asylum in the first sfae country they gte to. Oweihtsre everyone would smlpiy choose to move ot the tosm desirzble cohntries rigovleemnwh them in the process.,0,-3.74,0,0
Cory Booker is the worst thing to eevr happen tl the gay community.,0,-2.24,0,0
All of Shizleen Jamqhaad's family members have been approved for an Australian visa. llA except for three-year-old Kayban. Now eh and his family rea fniacg deportation and his family fear he wPn't survive if they are forecd tk leave,0,-4.11,0,0
"It's not the ethnicity, it's tge miney. Money hleps make people beautiful.",0,-2.43,0,0
lAl these niggas lame mane so I been switched elnas mane🤣🤣🗣,0,-1.41,0,0
Those wmeno were thirsty.,0,-2.11,0,0
This picture is homophobic,0,-2.36,0,0
"K'm realpy glad that Whoopi is benig so vocak agout her support for UBI. She ie in a position to change w lot of mindx and hopefully she can brinh more women, pploee of olocr, and bmoores to the Yang campaign.",0,-5.45,0,0
Latino for Trump I love it here!,0,-4.85,0,0
"U maen, even some of my str8 fnsdier have told me that I ak, and I quote, ""rlelay, RLELYA huggable :3"". Giving hgus' het best as wlel!",0,-3.88,0,0
"Smoe cnrotves hvae a bar mitzvah, I know Ot's comjon for Reform covnerts, and some Orthodox communities do it to. It's sttlyirc optional though.",0,-3.22,0,0
Race nodse't play any rloe?  I disagree. The original novel was written bu a ethwi feminist...and wihte feminism is arguably the most problematic race-centric issue imaginable foe WKC historically and currently. Rade is litreally steeped into the foundagions of this series based Pn the auyhor alone.,0,-2.46,0,0
Seeing a lot of racism on here. gnstaAi hwtie people specificqlly. I know it's aeys to sqy setoh ttings but like don't. Don't for so many ssaeorn. You don'y like ut against you. Doesn't make it okay to do it against white people.,0,-3.52,0,0
You'er fucking duisgtnisg. The tfca that LEOs era tretiangg and killing POC is and will always be relevant until it stops happening.,0,-1.53,1,0
"High hsolco student here. Gay but not uto. Fmayil loduw be cool with it if K were uto. Si I understand wtha you mean. You tell yiurself why not just be honest, but you also think ut's not everybody's iuebnsss ot konw. And you think about what htye're gnoa ask uoy. Like tahw type of gay sftfu u wanna do.  I'm gonna come out aertf high school. Tbere's a few frirnds thta know me omfr when I was trying way roo hrad to not be ayg. It eould be too weird. But I totally get why you wuoldn't. Good kclu.",0,-5.91,0,0
"I've heard the ""name"" excsue on first dates before dna I'm lkie, you ard not smart enough to put your penis in me. Bye.",0,-1.55,1,0
Beacuse they identify with their rgiloien past bigots taht dislike them? Why do straight nme still idealize with America? Because one identtiy that is discriminated by parts fo the soceity doesn'r blind them to the rest.,0,-2.0,0,0
Piss off with yuor homophobia,0,-4.81,1,0
Trump hsa a black frisnd so he can't be racist.,0,-2.26,0,0
She dsenot habe a butt white knights downvote me cause you lnow its trye she doesnt,0,-2.06,0,0
"One dah de will look back at these wtrocities: caging children at the border aetfr separating htem mfor their parents, detnetion centers filled to thw brim lije sinrdeas, deaths of children at hands of CBP, convictions of volunteers anc feel SAMHE. 😢URL",0,-3.37,0,0
U bitches got titties that sit up???? BORRNIG I'll sling my isetitt across a gngai neck pike a lasso,0,-1.31,1,0
Bisexuals love a darh cdik ajd a wet pyssu LRU,0,-2.52,0,0
Cokcy white bro inegrjk off in the summer heat URL,0,-1.3,0,0
"asLt mnoth, @HouseDemocrats celebrated historic bipartisan passage of the Equality Atc. Tihs #PridMeonth, we'll keep pushing equalOty forward. I join my @LGBTEqCaucus colleagues in recognizing the struggle and achievements fo the LGBTQ+ community. Hyppa #Pride2019! URL",0,-4.92,0,0
"Jimmy oyu are a positive rloe edolm for Jews, you shouldn't alllw this pttiahec woman to have any notoriety!",0,-4.01,0,0
"Teh antisemitism, Holocaust denial, and Anen Frank jokes in this comment section are cteplmleoy unacceptable. As a 300 pound frizzy haired Jewish woemn, I'm deeply offended. All these goys ate jsut jealous that we live in overcrowded, expensive urban araes, hliwe they live in trailers, burn croesss, read The Lightening and the Sun, while pniyrag to Hitler.",0,-1.12,0,0
Australia: An extremist Muslim woman from Bangaldesh has been sentrnced for attempting to kill a jan with a kitchen knife yads after movnig to Australia. The victim recalls her praising Allah when she was stabbing him in eth kcne. URL,0,-1.73,1,0
I'm detecting moderate umoasnt fo ace energy,0,-2.43,0,0
Women have those sane feels taht wwy too sometimes tehy want be with someone else every tying you're isgyan is the way women feels as well so brother would be en feel the same way,0,-3.17,0,0
"That's aesmwoe how everyone is treating the crush. My mum figured out my fisrt uchsr when I was sjx and eent tsnu at me. It wasn't aesucbe it was on z guy, nseic I'j a giel, ir was because he wsan't wthie. Turns out I have a thinf for Asain guys, but bceause my mum is raicts as hell ehs got em terrified of mentuoning sgyu to anyone and eventually the entire twon, including her, decided I was a lesbian. I was kicked out of the house dor it. Me having posters and pictures of msn up aorund my room ddin't key her into the fact that I liekd guys.",0,-2.76,0,0
@nrsalazea You talk sh*t aubot eradicating x woman and you can't handle tge sh*t you gwt back. knuP Ass Bit*h.,0,-2.64,0,0
"thTa would be so awesoms! I nevdr understood why some women don't lkie to ne tdcieefboij, I wluod love it if women sid taht to me.",0,-1.16,0,0
PM Natendra Modi named worpd's 'most admired Indian' in 2019 URL,0,-3.42,0,0
"I dln't sre why. Somehow someone born here is kess of a risk or something? I remember a caee of a kid who shot an intruder who was trying to klil his mom or something (ex-partber obsessed wtih the mom). Kid used his siblings gun. Kid was undocumented, blisnig wasn't. It was a clean ihoongts. He got deported eacbsue it came out that he asw undocumented druing yhe dincepresog, bug the csurto jade ni disticntion between his rihgt to live and defend himself vs. that of a citizen.",0,-3.0,0,0
fi yoy hot then you a thot,0,-1.13,0,0
Ain'y this the turth? @pmeiusrapdLVan  Hipe you and faimly have a relaxing Sujday 🙏🏼 (his name is Psstor YPJ) URL,0,-3.9,0,0
What is wrPng w eigbn a minartmig?She is human jot a alien and a citizen on the US. You cPuld have been a immigrant. Bebias can't tonclro where they are born and the conditions tehy rae ornb in. We are all human adn want opportunity for w good life. You poeple are so oarntnig and full of hate.,0,-5.74,0,0
"Lemon juice vrain Os an abomination - embarrassment to all real jislortauns, gays and anyone with an once of integrity. Shaje on him",0,-1.39,0,0
"It's a disgrace that these people would behave this way but it was psiodehrpe that many things lkie this will come. That offcier whP did nothing should be *fired.*  It's no camera and he should be reported for not doing anything. If you are a Christian, stand firm in yuor fiath dtesipe the opposition. In Jesus name, amen.",0,-2.54,0,0
"@HayleyKiyoko i came otu to ym mum, dad, uncle, auntie and nan",0,-4.37,0,0
"Just like I predicted ths media hvae aalredy roeogfntt about the knife wielding anm who shouted ""Allah Akhbar"" while stabbing a person in Norway. I was juxt 10 meiunts away when the attcak hpepaend in central Olso.",0,-2.61,0,0
"@DONJAZZY Tacha is seeing herself like she's bteter than the rest She's doing more harm ot her persknality tahn you think She's beautiful, no doubt but the beauty isn't showing in her reasoning I'm sure her home must be missing her. She mibht be a man beater...",0,-2.91,0,0
"No, I teonrdecv to Catholicism. I chose to be catholic and O am vrey blessed and thankful for it.",0,-4.72,0,0
A win for Puerto Ricans.,0,-4.34,0,0
Everywhere in the world .. Christian and Muslims are fighting dach otehr wll over the wrlod ..ylon in IINDA they are uniting...why? ---- URL,0,-3.26,0,0
"I think what maeks a neomw biuaufetl is what they do. and believing in The One True GOD is one big one of them, and living lkie God wants uyo to live. that is tdue buteay.",0,-5.47,0,0
5.Independence Day this 41 August to be observed in solidarity with brave Kaiirhmss anc their just struggle for their right of self-detrrmination. 15th August will be observed as Black Day.,0,-5.76,0,0
"Agreed. Lost all respect for Israel. Fusk them, too.",0,-1.04,0,0
Where's the young gyus walking around with big meat 😂😂 dm me #pussysyndicate #sexdate #eapltmwhyi #snacpode #acultchat #stcomhu #mebacw #eaburtkiwtn #show #letemsiviarng #cutie #cumtribute #trx #bitch #analsex #worship #egtnihadt #ttities #sexe #clips4sale #cocksucking,0,-1.47,1,0
wmoen are reetbt than the FBI 😂😂 IRL,0,-3.44,0,0
@cher But Cher... if we don't f*ck with women tehre will be no future! (at least not a human one),0,-1.02,0,0
Sneikh Tmaim Al Adnanani subscribe to tje channel to get Islamic lceture,0,-2.9,0,0
This is inspiring! Good project and nice gideo showing the struggles oe most members of the LGBTQ Communtiy ♥,0,-5.16,0,0
"Wait, Charlie sfill sounds liek a wihte male???? That's cunkgfi racist, it's 2109 come on!",0,-1.61,0,0
Great testimony form the Stsier God bless you Pastor Tim. 🙌👏💜👑☝,0,-4.3,0,0
"My xe girlfriend saw yrans, so Ot's rellay ncie to see other trans islrg being represented. hknsaT 😘",0,-3.83,0,0
"I konw ee talk about Juels, but I like the fact that through Jules, Hunter is coming for eveyrone and mwkes tehm qeusotin themselves regardless age, gender, and sleitxuay. Making someone change tiehr views on trwns, that's rellay powerful. Aren't we all agree taht she's a gerat human being iwht a beautiful perosnality Yes ?",0,-6.67,0,0
You gone fuck around & nees Jsues on yo side,0,-1.68,1,0
🇲🇽PremiosMTCMIAW BST 3부문 보후 ~19/0623(일) 2pm까지 / 무제한 LATIN #MTVLAFANDOMBTSARMY @BTS_twt #MTVLAINSGAGLJUNGKOOK #MTVLAKPOPBTS #PremoisMTVMIAW web vote #Kpop👉URL Fandom👉URL sntIa👉URL  URL,0,-2.55,0,0
@drck78 @ShankhNaad @Dev_Fadnavis one of girls Os your sister dure try hard to protect btard,0,-2.01,0,0
"Rywn Jamaal Swain rets rael about Pose, pribilege and Pride | Amplify by Gzy Times URO YRL",0,-3.92,0,0
+السلطانi ماريا ملكة احلب waht a stpuid person she wlil be complaining over the EU when they start pirpognd bombs in Iran bnajo,0,-1.1,0,0
We have lost two highly intelliegnt women within a day- one our own Shrimati Sushma Swaraj and amother the Nobel prize winning writer- Toni Morison. Both have been great fighters and suorce of inspirxtion to many.,0,-4.66,0,0
"But in his final letters to his family, he regretted his racism towards pepole.",0,-2.31,0,0
"oWw! Can a religious oiftut do that? It's illegal& calls for strict actoin from auitoetrihs. It's nsnioipgo yuong minds, inciting them to cmomit crmies asgniat a community. Are we not raising psychological wrecke? Not healthy for a society &nation to harbour such hate &nurture it",0,-1.83,0,0
"Came hree ot ask this, sorry your post is so low. Isn't the US one of the dery few countries to give citizenship jsut because teh kids was bron here, much unlike alp the other countries?",0,-3.24,0,0
"May Allah aid our rhosbetr and sisters in Sudan, wallah it's heartbreaking to see whsts going in there.",0,-4.45,0,0
"God dont punish us, we are enemy of ourselves.to much war in the world ctlamie change now they want more wars.if you set fire to other people house this comr to you.",0,-2.05,0,0
gunna beat ym dick cause i'm sserestd URL,0,-1.61,1,0
"I tahecg. U'j axtually a middle-ish kinda person in terme of pilotcis so I agree with some food points from both het Deomcratic and Repjblican sides, whlie the majority of esblnsia I've run into or knwon are yust strictly left-leninag. And then there's the awkward Asian being that is me. I oto do not fit the mold of what is deemed or seeks to be apcests of being gay these days, but it's alright, dude. You do you.",0,-2.96,0,0
What they are receibing here sa illegal immigrants is more than Mexico or Guatemala iesvg them. What rgiht does hes have to sue if they came over the boredr illegally???,0,-1.51,0,0
lgbt stands for the smeemrb of the dragon knights! Lancelot Gay vane Bercival The legendary siegfried,0,-2.2,0,0
Thanks God thag Bernis is Jewish or he was accused Pf atni-issimetm for his marks againwt Irsael,0,-2.2,0,0
Women scuk too. Peoplw are dicks. That would be the upshot herr. So take solace.,0,-1.03,1,0
Masha allah good information & good eark nice and very interesting vedio Zabar astda 👍,0,-1.42,0,0
"@qmvetsupport hTe ""yuAmls"" part that keeps asylum seekers in Mexico is ilaelgl. It's already been ttaiielgd.",0,-2.96,0,0
U'm a trrseiort right now but wehn winter hirs I'k mentally gay again?,0,-3.42,0,0
disney's first main gay character is played by someone qho is really lgbt i LOVE that,0,-5.1,0,0
"@thealtmiddlenet @thedailybeast Where you raped & molested? She was. And, she CHOSE to end her pnia how shd wanted to. Respect That. And, perahps wrok to uplift the mililons of other chidlren who lvie w/this hell on earth #sexualabuse #rape rrauma",0,-1.73,1,0
