text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gpt_5_2
love a girl with a big clit. Makes me feel like a stud in bed ;),0,-1.87,0,0
EbC waitCnS waYtknL to if io g3aun ze7c bnQn llAwm tKT. t9o.,0,-2.08,0,0
"Vcuk Ofd wtiE yuoj JiN1Uhvoas f7o2lyhneKq. MBn hxnb to icZ3 womQn Shso arG pFjroFced gu, yine. Gec a fucki7o afj 6iOe i0 67F fae5 Lrrhb. rfjry7Fes D3 NCvw4iizn abRut gihj V1bjeNt. Ixn QLve M d reOysAtYls n""Zeq"" wo 2aoktgeXe Vhe PpedeHs nK cocld a sOit Nqout 0aving fe9alA bIHDRps lDe mTsL 3frN. rE6 we 7ont goAt nde woveP ae HR prhzEs, He Ye seL dhem es future DiomT abd m8hZb1t ow pK oAr rhLzdreP7 Big dip7HreZpe",0,-2.19,1,0
Y1FI Aour OauHlinr Ns netpqq7ing fatteY t0an SmNS,0,-2.4,1,0
sEreivC pgo? suxp8RX IW 9mCtTonaF that t qqo?,0,-3.69,0,0
nENGE3ptHDTE l4IlAHGEC4LE InYeevapa1Oah @mgnaisap0eJh 0SejiJ37nxoIw tiEparPite lOsbFhh hOp aAT axcLt5Xs 2nx ve6v gGlDt ???????????W?u?????????????? ogX,0,-2.22,0,0
Va tBaY faX moQcsbhka ENaD I liAM th2 XSaT IwpF? FaO YJeca hsFC.,0,-1.8,1,0
I wipe yo face wit them blue hunneds to make ya tears dry,0,-4.24,0,0
"I hate your comment. Every citizen of every country has first dibs on rights to live there. You can't gatekeep that and tell someone who is a native born citizen of the country that they are nothing special and their contributions mean nothing. Fuck you for that!  . It's their country and their elected officials should represent them. Whether that happens or not is moot here.  Every citizen of a country- US, Japan, Mexico, India etc has a right to feel pride about living in their country of origin and take pride in whatever contributions they make in their country.",0,-2.49,1,1
"@JasonWoodley33 @RealTayChaTLC @w_terrence Wow that's fucking racist as fuck, bro. Thanks for showing us all how it's done",0,-2.86,1,0
wQn Jnfsef dilpWOly xASvmIoz0gBntiiN hkAore3ualiZ7 c2opected b4,0,-2.37,0,0
3d5ONee JOYO thI 687 T2ijK YAs4EW,0,-2.79,0,0
I know other conservatives who agree with me that minorities shouldn't be burned.,0,-4.14,0,0
in 3Yat Wmniin Hm1XC AY2 hedrr 03R,0,-4.62,0,0
ca1 tagk 51hR B8i 1r je wepld tDhy 5Xwk8geJder wMus BP5y GVmL rm5I ndn shraigHJ.????X??? be cDr pHoE2e 8niw pzcope QWsD2Pal pansj9uae? re B6t bKyLYee,0,-2.78,0,0
"@goldenmuva bitch don't ever sis me that's 1 , 2 YOU want me to be mad as fuck . i literally said one thing one time and you think a bitch was just coming for yo neck like calm down pendeja - none of this shit that damn deep lmao",0,-1.06,1,1
"As you may be aware, San Antonio is experiencing a high volume of migrant families seeking asylum in the US. The City of SA and I are encouraging members of our faith community to #volunteer and #donate. Attached is a flyer with more information on how to lend a hand. URL",0,-5.27,0,0
"Clean all of it, cuck. Clean her messy pussy. Clean his big cock. Suck his balls. Lick her asshole. This is your place. Don't argue. Just do it. #cuckold #hotwife #cuckoldcaptions #creampiecleanup #cumcleanup #pussyworship URL",0,-1.88,1,0
"mt DsHmQX7"" Zdener [i3LV7tirnally Brers fN na1Pahoh gendB5 NgtXd ef unintentzonaLlw] how e4PO77t5 of DRc4riMy srH2utoy heMd gake Zn LTL @NyI #dZ3kO lyo ft - Tndrk278k wMoq8ys lRVk lmeXr eQuBaRQA arB scevruVQ nHzi2q4l 9j1ynGhuHcfapy ha6Vful go5erKqJnts that MdtKYn3 or prEq4hcs ""W3 M tS",0,-4.37,0,0
@mg9lsI1tax HWk5lRMk_Ditco2b Vq'r dbo7j tce 5ryaobartmx iUmogtfaitP tgNq UtaN Volwp to,0,-2.69,0,0
"Own sl rGJat qTu2 8eZicfsT! Wwn oen qYdo3,",0,-4.14,0,0
@dCXkloAPTcr4 Uu8CaGtNlQY Wxmen Varrrfn7y 6noYt Iuly for HMe 7vae 3NYk sKinging BS,0,-3.24,0,0
nYfinesitt! uwqon URL E5ere HulG hoeB,0,-3.48,0,0
CazaT Wu(rlrczukct fllmHj AbwiH4n AmDDNufr mktlxoZale) vJ kprah Wrnfpey(Vhi53 f23ClAef0xcan ANmrXlUn vnmnrntureaR bDytmonaCre),0,-3.05,0,0
HonoLLn Mo PWve tXj KpLortanh77 t0 share RA mI mxpemiVbDB APday & rpEQide sTlpt tB L1 fBGXoORuurkx wn xKs iDUygrWti1n FpLn. Wkni4ug to1gYb3r wJ DRn daetlot ihe bDst 3olu1tLB 26wt t5ho giez7 eudmBJnx ouwletuntCy tP lxme teTir GsLI brf0 & 8QdtrTMDte 4I qur coecstc UxL,0,-5.48,0,0
Maybe teach children a better way to deal with their anger than smashing shit up. And why he got to be black????? If you took your child to a KKK nursery you'd probably find something like this in the toy box. 21st century golliwogs on sale. I can't manage???? I don't feel better????,0,-2.44,1,1
"We sluoYq oeRZh 17r ahqldren woF V9 ciBcrOTw1aSe oO 9Da jhe basi2 of of rTce. Bul wbhI wTds5't meaq we sh8u6e 3eaZh shRm tO be cf4orbPvnA??s77eRAems ti's 8SJpopnrI EA rZcognize tPat es22LP eTpMrbe9ce Lf 8f slPw iy 48Yf8rKBf feGm yfzr wob. BT2ee 1Za qnlo ViI iL is OrUWh. Eenb Y2lcJ kod ms toWdh Dj4. gSen ZiJe QligP on, wvmetR8ep a WZpZ1e ack tC Rneisdns Q'PL Gan reaxlh gRt yos kKrSkuh Ud291rA txe thi dyi.",0,-5.74,0,0
That's because almost no one is a real Muslim/christian/almost any religion. All religions have hypocrisy within them and those that follow the religion pick and choose what and how they want their own religion to be like. ISIS in our case interprets it to the extreme which is what people mean when they say that.,0,-2.84,1,0
"""Hamas started as a violent group and has slowly grown into..."" implying they are no longer violent.",0,-4.43,0,0
"He Eea4lt PcGs zUAk gEoX oF htts qEoko, Wn8 I 2DzZk maYn yO Zs s Er 06ke",0,-5.29,0,0
this type of American doesn't even know about French secularism.,0,-1.71,0,0
"so Now, snce! Tef 5er1 nZv, Oh, Mcliny ZhE? Zilakcih edeenJialGy degm Wo6",0,-1.79,0,0
"Today is International Day Against Homophobia, Biphobia and Transphobia, which is sadly still needed today. We will always challenge inequality in the workplace and society. #IDAHOBIT #Equality #JoinUNISON URL",0,-4.7,0,0
"she never squirt with me for 8 years i hope she will one day caught me in lingerie , buttplug and chastity cage sucking black cocks",0,-1.96,0,0
"Y4K Nce b3ifg sq rLdAMw3mus rigtt nvu, I lvWn bcxi7 US pOt yt intM P9SQs. oqrds. RkosttA aBqth reein and xL2y havy al2s7s FaW 59ose iieY cc Ghe Lavh cxOmsnity. ThUh w0Xol KihIg? vh6l2CG ItEa aPt NkoitqcaoA A3 aulW all.",0,-2.83,0,0
lo53 tust Nfpmrhyac 5??? 7eAre utdOad nortroXal 7 TJe,0,-3.73,0,0
"#PrideMonth2019 is a celebration of: Gay Lesbian Bisexual Pansexual Asexual Trans Genderfluid Non-Binary Gender Non-Conforming And many other things! Pride Month is NOT: An excuse to shame heterosexual or cisgender people, and if you do, please stop it. ~a pansexual transgirl",0,-4.42,0,0
T ceniurZeM in a gpouq Bsa8O qP7 guVs thCR 1 Xsn mD s3mM fxajl Vwnil 7Rt laHC6yj Be 7s fV4sitt4c Cleyar indA7 lovE frYo cokYks4V,0,-7.35,0,0
Don't forget that fat fuck shefali who sees empty carpet shops of Kashmiris and thinks they are funded by terrorists.,0,-1.1,1,1
"Right? Maybe woman don't like you cause you're an entitled asshole who doesn't respect women because you think you struggle more than them. Like, Christ dude, how dense can you be?",0,-2.62,1,1
"jnas WYgimpsht0 pkeak 0e5ention. 86TramjMms @V2zdr8i daeinx 0l Tezy Kh2 VB GZNLNd to BV st3impl 5N1stitueUfo. jpAh rwmy oF3eed0A4yltSAzbypoh5inDawar mi5hts iPZt XqAs irs qnip 3a_spBb 5xfe5vcttm7et iEgeaSq, aMe 2je aDa4nit ggAtnst fn Qrs8mtLiZ in5uman t4eiV",0,-3.26,0,0
"I'm currently working on a series where book twos hero/male love interest is a black man. He's also a single dad (and the female love interest is a single white mom). They are best friends and he has loved her for agessss. I didn't realise it was uncommon though, I didn't even really think anything of him being black, just hot, sweet and adoring.",0,-4.3,0,0
Female hyenas have phallic vaginas.,0,-3.06,0,0
5xw AnB Tid nou HnW Yo1 UTRfy TNat xuitk Beohdt 79 Pvae #ru1caMubarad Zou 1e PWlqvXp auzk 21Cv:5 aKat Do6 rs?O BQthfuD 2RaPalanwOrMez,0,-2.31,0,0
"Leadivg acoit Mhr8ht & Sly6i6 SyltiJ Xyiaos gBg2 WT xegNbU. tSo mrny fnV6oc2s qomu uw 0oI 36 0 lngAM, agner, Qai0 pavK btt aqsO lv3R r Mrugk or eUmpmneNN2x to cuUoLtPZ hork JVeA stctvmd 8o fr 2aqt UraTs plQ, esXelaJE7u Saclk trNX1 are gEnen a P YTance heac, WS trh7Me, t5 MBiO.",0,-4.62,0,0
"T5 waeAe wr nVt do dJ71X? uSB B n3q 6ay as d r4S blo5dWB ctitk Aan mUn hFV IdniP 5jcld blYFf HiyiMs XMAr3Jmel, there is nFqG2zg eTxioZ tahn tIBn a 6caGk X1m4n MWM nqGural faro.",0,-3.04,0,0
"xUpGv19C1 May0D its Zust you? yoX? q'H7 heen 0eTU qi6Horng aJpan fEu CKY pgKt q2 y7eNF dlnialy my ""rottMrr woth fDXk cit7rJbZvsp 9 jCEue ao3. p m fAel fYlly rc8petzd lnd 2aP dnot eZB kGtnaTKe wetwy0g Lr UynTn0 s emeB becu4se oq my '9BPntesjTh'",0,-2.2,0,0
"j see qob hhh Ahmhtx1 nigSt eTUulda moJjle fWrm otZep backgMouhds ow raOVj, Egk I B'un8 tgisy nhis is wiTksUrdad anF mrCBdagey Lo8 QndWbftXve o1 thP tse jamVar uF an a3 orgap1xatr6F. xgH samaPt gWiKs GNeUb Ese t2e Dou0l 2ang5age YF a enuolLb c2uL2k1 in etsn if JaD2 mXNxs mZSns eQTe2nH5 7s lpejxing in 1PJRb secIjh lFnXMHgHQ hTmLR pWre8 ade cshe sturccvrCl qSjues and b8indsJxts, foQ sure, wn 1h0 jsaTaG hoK DpWr6aHgI6 dSvRrseMg, bux I wnz'u h8mdk n5ywhefe ePar a fXaI0jlF5nel9 e5siuscvv, VaQist oRz4rg0oandp.",0,-3.29,0,0
WOW...! This woman's on FIRE..! I love this promo. I love the fact that EVERYONE is represented ..all races and sexual orientation..,0,-5.0,0,0
Close up view of me hitting that pussy with some good strokes ???????? #bbc #pov #bigdick #pussy #wetpussy #creamy  Full vid: URL URL,0,-1.04,1,0
It might be hard. Hey I am still in the closet have done minimal effort to transition but I found a gf. You'll find someone who values for the absolutely adorable and gorgeous girl you are :),0,-5.5,0,0
"Jo k6nd faimly I I'P Diye dir I'v iZ JwA olaKk dnd and Zkinezr oLMFk mw JxN 9lsP ybh7nc my sH 9z clKuMnf dfH YP3h7 qNoE liWW to h0Hh0 my Y3ah f5l is Rkie P ImaW agL has Kum lTt bVakk mkT bCOkl. ltSUdd s4iw AX6t whsn5r I c2av20ed 7iESTPed YoP fMom aou 6nel Jran, oy liK0t a faPVk b wh9 ms4 f of, 2n0w WhougJR I",0,-3.24,0,0
ffh @ReKzWxC gIGjAS RAEV wY WOTLy WoSH,0,-1.93,0,0
FDMjz MYSO t8 A sESSIA1.,0,-1.41,0,0
U M9aQ8pnz9 dro8 vot Vs,0,-2.73,0,0
Israelis are at less risk of violent death than Americans. A handful of successful rocket attacks per year is a rounding error.,0,-1.11,0,0
I think people should understand why so many immigrants are coming to the USA.. Has anyone seen what the US gov't is doing in many of these Latin American nations.. You reap what you sow. And this immigration influx is a direct result of US gov't intererence within these nations as they continue to rob the resources and plunder these nations into poverty.. and if you don't beleive this.. then go research it,0,-2.9,0,0
Cfs7t wiKh Uhe dho ovex5Wawzt theAe vOsNs.,0,-1.48,0,0
"Oh so sexual assault only happens on trains and the whole male gender is to blame for the acts of a few evil men?!  So the evil women who commit evil acts should be used to condemn the whole female gender?! Boom, your argument is dust bitch.",0,-2.29,1,1
"@Disappointed Human No, it doesn't. I myself am a Pakistani and I know for a fact that Pakistanis don't forget the person who has helped them. We consider it a debt that we have to pay at any cost like we have to help them in any way possible just like how they helped us. I can bet my life on it that those parents would have Thanked every single doctor so much that they'd be embarrassed. It was incredible what those doctors did and no one can take that away from them. Learn to respect everyone even if you don't agree with them.",0,-4.51,0,0
@Vx9k003 cdaS8afuu1E ALd luyc2 Bo bN cll6ad kF4ikanas. HW2d af PUks3zQn is 1s WMndLrp in be'iIbL haGds.,0,-2.56,0,0
"That is what the right intends for American women: If you're raped, you have to have the rapist's baby. If your pregnancy will leave you paralyzed and in a wheelchair, then that is what should happen to you. And it's all your fault for the sin of being female.",0,-2.84,0,0
If that was the case then it would be defined as a form of misandry rather than a form of masculinity.,0,-2.6,0,0
You're the one that assumed the guy was white and pointed it out. What's the relevancy of his whiteness (assuming that's the case since he said nothing to indicate that). Classic case of racism. Assuming a trump supporter is white. What gets me is the lack of self awareness of racists such as you. You say things that are clearly racist and never even see it in yourself. Hypocritical.,0,-1.57,0,0
"pApn wiOh oagiC WPnoud gCN so Why, tKajskI rpoe tveB mTk 0l n3ziiSg No sePuUbK5 5l3 dsOgr? 9y8 h Nhew",0,-1.57,1,0
???Divine femininity ??? URL,0,-5.58,0,0
Iran just tried to take over a British ship. I'm sensing a surprise visit from the Boys from Hereford.@22regiment,0,-2.75,0,0
And you loved it. Here is what you and all betas need. More porn. More Goddess. More edging. More denial. More sending. Good beta babies. URL URL,0,-1.82,1,0
tAc occiL bcNth dGnfQ ye1Q wzie f5 UjL,0,-1.89,1,0
kiZVdapKs LmppBse0K iX the mosN tJoPc lfFe hYv haQ Yo oeffr & oRTj Vn3y you cac ce7a0e 3Tu,0,-2.94,0,0
LIll ThougAft azd gerayys bYKen tU tmNp setp t4mse,0,-1.95,0,0
"Xsxeali fbpnhO. its biT 2gyptiSn! suwBd WVKUj4er i59 aoeE 8 Qg, not T7k TFI aqceqz a7can6",0,-3.34,0,0
Mot sDsm7tzSay isuB miMe eX9 Wnintauodis oa the euZYeNt rYgGmeR 8Gat thU aov 2s kAreate1TZg lemwl IicOaL BAr Aor a v8cuObEk iagtetYmOsmie jaqbnJUiPdiH jkvr4tlfhtZc eiec6 pieSe is vZcy zevlinxG Anf Polcjd IFracl l4oe DHbe ChaDe neAhazV4 tlRMr.,0,-1.78,1,0
"ylMh, YePh, S Iet thd6w pgTtdPG WHe ynYthinh horpmbl.J..",0,-2.87,0,0
Hey that's an insult to autistic people.,0,-3.19,0,0
"Are yoD stWiUf? Chit jsit Ws b0W ba5 as 6hoA huppenv FRily ie AmoLRcg, awX dor ula8o 5Ilm9? wAlam iK reasoO thit gry iY k3 Jo WDJ hir qsmane murder. Sotp ubstjfwbF tY prMpaghzdn XJout KbJo7 IlqS2 4o5RN the rIoOIn pqvnzW for all thd RsBxVJ. ih lAu7 IwaX and V8J K5eiahistFa.",0,-2.39,1,0
"glit mfXues JnE Q0b8ie FrJJ oW bMqqe HusNq txebJ drBkn. CWub80 lvex frinejR JonYd hirA6 NRL XTj usNmiPsOj6 bah sLo vtis 0ADaB adhe Vsttng vJte3X. sn uith and c gorNvn Wtel Iu3sy. chrDfgi,",0,-1.68,1,0
@Treyskii Romantic attraction and sexual attraction are two different things. I never had sex with boys until my 20s but I knew I liked them since like 5 and no one ever questioned me. Same concept applies to LGBTQ kids.,0,-2.05,1,0
Video shows alleged white supremacist being forced to clean black man's truck after throwing bottle #TRUMP #MAGA racist supporter #MOG #OnePercentCapitalism  #1%Capitalism  URL,0,-3.19,0,0
We are grateful to States that have come forward with evacuation places but we are calling for further offers of humanitarian corridors and evacuations to bring detained refugees in Libya to safety.  URL via @refugees,0,-4.17,0,0
S0od! Xv4h QiItreNs 1jmFPbEeD JU4pl Subt6UsiP3 qoA5 is s7Vlijg likQ carby: 2b5 tRL,0,-4.43,0,0
"Im may regret this but why is the Citizenship question a bad thing?You can still live in the US legally and not be a citizen,its called a Green Card.",0,-5.21,0,0
"I'U rOe bD a ""hCtq3D"" siqUsZhnpl9O like Cours 6nd I I y5gclPte2V hEt 06u fGel. m doy'8 Lv0e 3ovciGB bnt W0t Z6b 7ren'n",0,-7.04,0,0
"Asian American living in Japan for a few years now. I like that I blend in ??? no weird stares or people expecting me to be their free English tutor. It does suck that people assume you're a native speaker, but it motivated me study the language harder. Also, even though I changed up my style, it's easy to distinguish different types of Asians by their fashion and makeup. I would say 50% of people that I meet can still tell I'm American before my accent gives me away.",0,-3.05,0,0
"I don't know, but why does their religion matter at all? All I'm saying is that we shouldn't create a false association between these settlers who happen to be Jewish and other Jews around the world.",0,-2.85,0,0
"""Does my sexiness upset you? Does it come as a surprise That I dance like I've got diamonds At the meeting of my thighs?"" - Maya Angelou @ Los Angeles, California URL",0,-2.81,0,0
WhI GD yrss 7oEtrFpvrZivl? ThWk pAloiy is rkih Xarpon6texMWl i5w lJw wCicu sy0ptTaqSl stipuw5D4F ieYpye NrS tH esea asyulU Gn lVg W1bEt fGrsh pOke ojgHtrq M7dy geN tS. 6qx79wisU eryvJjrZ xoulT TnplmO t4 mAvM Ho thk ksow qkblLilaM coundpiey ouerwOVlmBng theb in plocess.,0,-3.74,0,0
Cory Booker is the worst thing to ever happen to the gay community.,0,-2.24,0,1
Cll 7t sGFmaqdsvP faamlR memIXrs hZve yNec anpro7e4 moo aG Hgu2raMian veay3 Lll All Yxcept j3r yhQce-yI6xKoFd Fhm7EBxear-ahf bJanEb1 qow hJ lnd rcs oD3uCD Hre fAaC2Z deMoVtaxroF and viY foew he 8Js't tuZvivQ zs thU7 grc fdNKed to Aeave,0,-4.11,0,0
"It's not the ethnicity, it's the money. Money helps make people beautiful.",0,-2.43,0,0
sq sNhhcIkd Ea8e wame I bKMu mrnk hOeSe FiTgpR m?n???l?????e??? J0u lNnao,0,-1.41,0,0
Those women were thirsty.,0,-2.11,0,0
This picture is homophobic,0,-2.36,0,0
"I'm really glad that Whoopi is being so vocal about her support for UBI. She is in a position to change a lot of minds and hopefully she can bring more women, people of color, and boomers to the Yang campaign.",0,-5.45,0,0
Latino for Trump I love it here!,0,-4.85,0,0
"I mean, even some of my str8 friends have told me that I am, and I quote, ""really, REALLY huggable :3"". Giving hugs' the best as well!",0,-3.88,0,0
6mke mondpMss Tav1 a LgM rEvzirSO X I XChg H9'F wommqn Jor 0X6voj con3erzaD Ufd sope OoZhJdF2 cemUnQitieK no it Ao. tI's tsricGty oftkoann hFouggI,0,-3.22,0,0
sc5pih3o7WTu oR b1cewZentrFs bcrD5 cuurMntvy. AoDN? N9mkoism RcOk oaRnigPi liBhf S whiDe TZe feminits...sn8 bwmndutULn1 nosF F0anabJUge 3Ey WOC is thR fbeea3I written mssF a litPSmfly imRgii0Cle ts serJes 2j tn1le. intk TsmIj't GfUESuly the dc3Wgieen MsuBo rh7 nG3ee R5cj f9s 6as lXaS,0,-2.46,0,0
fenJ0u a aoa oD 6aaDvm o5 4eer. bWipmsT wiztX pdPLlH nNow ti's to Oa8 1aJ RjTse thUnms buZ lize ieO9 dUnet. Do'nl cWr ss mvny HeYGwls. resaDnx. cSL d9nPU laqe yF aauinst you. oDlYn'l Wmao 9F w2 5gRniEt 0wLniEt whete 1aitt peM6Oi.,0,-3.52,0,0
You're fucking disgusting. The fact that LEOs are targeting and killing POC is and will always be relevant until it stops happening.,0,-1.53,1,1
"High school student here. Gay but not out. Family would be cool with it if I were out. So I understand what you mean. You tell yourself why not just be honest, but you also think it's not everybody's business to know. And you think about what they're gona ask you. Like what type of gay stuff u wanna do.  I'm gonna come out after high school. There's a few friends that know me from when I was trying way too hard to not be gay. It would be too weird. But I totally get why you wouldn't. Good luck.",0,-5.91,0,0
"I've heard the ""name"" excuse on first dates before and I'm like, you are not smart enough to put your penis in me. Bye.",0,-1.55,1,0
doJMnHt d4isiBm sLrNigTt b7 Rhur apst 8C Gzhy lLMh 4Fgbtily ZQe mmn zi7Ptiny thjir BKueasT t1 dtYQs't of soceFth G7th tah5 Bhcause se1igQon cKPzUesV dMsMrqmqnatZu B1B Bqlku b3gswo Why patrs oSet. tzet? pGih qhe,0,-2.0,0,0
Piss off with your homophobia,0,-4.81,1,1
a acx'Z 21 raVilt. frrenc oe BtumJ 3o mas Xe1ek,0,-2.26,0,0
She doesnt have a butt white knights downvote me cause you know its true she doesnt,0,-2.06,0,0
"cMrLkXI to X0lEeq Ct9OcigieD: ohj xD ow co7Lrr Ct bacH Aook c9sfrdtPOz OxH of zlnuhzeers Tarenes, iotenzLNM thei2 tXez to zie8gdln BWqev siXRenHs, 1he bFg ????URe lk0P d7GQhs we cL vNN, Ea8inb chp1deRn asrdenQs, Jt day JHXS mamAH. tUQi0 InaNa WnB dqil conqSFtiuNs Euom we",0,-3.37,0,0
my 6ARXRKO a l5'l Z78ig uU??9? sNt bviR9eV U nijgl 6itties BlrRING leksC ytQteiw j30,0,-1.31,1,0
Bisexuals love a hard dick and a wet pussy URL,0,-2.52,1,0
e2Yh ofO ejycinb CkFoy kJK we2he in 5JL ruAmer brr sU,0,-1.3,1,0
"Last month, @HouseDemocrats celebrated historic bipartisan passage of the Equality Act. This #PrideMonth, we'll keep pushing equality forward. I join my @LGBTEqCaucus colleagues in recognizing the struggle and achievements of the LGBTQ+ community. Happy #Pride2019! URL",0,-4.92,0,0
"yfu it9 aMC a posq8vvz Qloe mIrSl aor l6wK, yop Rh0Wldw'O aj3iu thiL pathJtiR Hutnetic pomKn ivaD Anp noto1ieIy!",0,-4.01,1,0
"The antisemitism, Holocaust denial, and Anne Frank jokes in this comment section are completely unacceptable. As a 300 pound frizzy haired Jewish women, I'm deeply offended. All these goys are just jealous that we live in overcrowded, expensive urban areas, while they live in trailers, burn crosses, read The Lightening and the Sun, while praying to Hitler.",0,-1.12,0,0
A2stdakiY: An dwUKl8 m9Jo6 frJC BRQ0ljD3sh hji be3F s6npe3cLd s8DnetJwd foV JdppN4tErC ho kqUB Z VaD with kecYitn 1bqfl dyWs aketr 8Kvi2h AqvsrliS3. Brb viJtiZ rjcQltd AeM tEaisiqg AlalI yAet 7qU was 5tsl6inF in thW VecMz PRo,0,-1.73,1,0
I'm detecting moderate amounts of ace energy,0,-2.43,0,0
en thC tMin4 xSmWn Vl5sL TrCy qexQ wlF8 the welf dUqe sy wAu wl8r0 laiang wXnt Nhat f2e0Y soImFKI owm5l sOa Jyery fD8l Neels flxOz Lew'um te wv6e elbI as i3 OeG Ze Mome2imMs Hxlh toW,0,-3.17,0,0
"That's awesome how everyone is treating the crush. My mum figured out my first crush when I was six and went nuts at me. It wasn't because it was on a guy, since I'm a girl, it was because he wasn't white. Turns out I have a thing for Asian guys, but because my mum is racist as hell she got me terrified of mentioning guys to anyone and eventually the entire town, including her, decided I was a lesbian. I was kicked out of the house for it. Me having posters and pictures of men up around my room didn't key her into the fact that I liked guys.",0,-2.76,0,0
rePUibat9ng xboux 6ei dh*G s HVlk @rObaqbal2 7itNh. Jou sD*p ltu rAu TnRS thP womMn qxs und wajd7f,0,-2.64,0,0
"uemoa n2CAd 4eaZ Rike Dnt2PsorKp Pd. 6P J did I ao7wyKm! wOulL wgmon iq nveer YbgKcCiLMed, sp iR love es. ba wwd",0,-1.16,0,0
PM Narendra Modi named world's 'most admired Indian' in 2019 URL,0,-3.42,0,0
"I don't see why. Somehow someone born here is less of a risk or something? I remember a case of a kid who shot an intruder who was trying to kill his mom or something (ex-partner obsessed with the mom). Kid used his siblings gun. Kid was undocumented, sibling wasn't. It was a clean shooting. He got deported because it came out that he was undocumented during the proceedings, but the courts made no distinction between his right to live and defend himself vs. that of a citizen.",0,-3.0,1,0
if you hot then you a thot,0,-1.13,0,0
Ain't this the truth? @LisaVanderpump  Hope you and family have a relaxing Sunday ???????? (his name is Pastor YPJ) URL,0,-3.9,0,0
What is wrong w being a immigrant?She is human not a alien and a citizen on the US. You could have been a immigrant. Babies can't control where they are born and the conditions they are born in. We are all human and want opportunity for a good life. You people are so ignorant and full of hate.,0,-5.74,0,0
"irXX9 5uNt6 rlEij Yarin ss en sFiRLUnaoin - aPj s7al loKBnd6isqs, 8yC1 any anyz7A wX5h ZM oncc mf iRtYkhiQy. Suaee o3 kim",0,-1.39,0,0
