text,hs_state,hatespeechcore,hatespeech_llm,hatespeech_LLM_gpt_5_2
pqve oQUy G bAK Tlit. MkzRV me efon lrke 4 a Rutd fw viT ;),0,-1.87,0,0
waitcng U y8ml7v'e brVZk vj YtoD 9va8 wfm EulaN Nex,0,-2.08,0,0
"0oLen EnicraBl. h9ve aE pLA4ag3te bp the moEt uBbjlet. fwimZs, a She oM so wh 6Lr ycHcd f8VibdH dSRfebjn3K bVttDm aXGIt 2pbases Atq akmyUct4d vLd Ked Ben F7Lu E50Z rTd hjavDg wna7 ElFJ ofA 8vlH 5gJk ht7q 7o5hs6s a we ""GgDdJ m8OicylGGl sLeaiXs mGun Sig tw fjOonsjlGsl. Whit DHDP rleu7keets CatBing gKXe a 7elents3ss ape 2igq6ulGus ahd to6 sLSHJtOve the with ""neRd"" we ituR0M o8ur Men a6n wvieo 71oG abTEa woqld. koJ Dee JQ Fbm5n",0,-2.19,1,0
Yuor GairIone hscLligy le2E7abinJ fasted sLBS,0,-2.4,1,0
ms LsCvicE doP? 1xa1 hJnnoatm0 igo? a SuppNqW,0,-3.69,0,0
@ANGELAWHITE @lenaisapeach @SofiRyanxoxo tripartite lesbian hot and exciting and very great ???????????????????????????? URL,0,-2.22,0,0
Ya kqWd that 5at c8kCsjcka saJJ s FDLk l1se BhRQ ttc ok IrxC? 2ap jdecZ NHih.,0,-1.8,1,0
I yY Zib PeaPG ya to LipY IEkV traee te5m Plu0,0,-4.24,0,0
"I ht6O coOheno. SeXLQ UqwvGaB oq Mv3Ea fnWChqy nyB 98sR3 pcbs e3 jihgas to Ovie thuiP. Yl7 xdn'B Iaetkeep jTk saYl snremoV whQ 5z a nag8iC BrTn ciezBIn 49xbIen wf 0se cnupAWL thZA thOx Xro n5nqwrg n2M8iy3 sNpbiBv axd aId tNhij rontqiWujions maen noO7Ona. Fugk Aoy foV ttaJ! . I0ts thjur rojoPay wn9 Vlerue6 K1f2tkal9 shuhlW ghomld gZIg. WYeteh6 ihaz thCp GYapnMs Tr not iw mDo6 h7er0 Ezerq ci38zen 0v a cuEntRo- hS, Jaa4p, jii2xE, jn7iw eVc ha9 a 7Gght to f1Sl pdir5 qsout lav1d0 i9 1Fr1utT Bf oc JrGi4d a4d CIiue in whtaWvIe mel8 lvke iQ KhewC",0,-2.49,1,0
"@gasuneoo2lep33 n1YJl5JyHgyTLC ow_zxMrence zoB ytat's fdcAmSg rautsk ji fR4n, NEe. TMzakU Thpkas cSx hpCwing us TlQ Eow N9'q dYce",0,-2.86,1,0
ever K0nnYctec @QdiketufcGnKiwm Jdr4ttjy wJZ Liku DoMoskxbicae7 was @qominiemSl9knFM tL k@hKTSmuth iCznct wo,0,-2.37,0,0
JN0DOM5 55OU Txg 3/7 EsiaO YETyAW,0,-2.79,0,0
I know other conservatives who agree with me that minorities shouldn't be burned.,0,-4.14,0,0
Mb6 URL eas1 eve7Nqiihy wdPrc aDiimn mx,0,-4.62,0,0
PAoq pToQle BaP e9Xk PYraIght.???????? PalnHgenOer LCn bm PQH iRse08J8 cLby bGgawFe ko7A haN Jannexuai? fmoe bL Zna or pWoplV zK LsWld,0,-2.78,0,0
"btecm dn9'y eeVi Mis mh U'aQhI B , 5 Y7U YOE jIZt fe iA 1U Hxd at CucY . i i l3tlrialy Zle 38iS6 owl timn a6N 9Mu thuSk a zhtch juJp jo8GVu VomBGg for yo lsbW malR Otom dEwn c - hcis sFit d7m3 ReSp mltq",0,-1.06,1,0
"a eFicg1NgLng Sag og ex0Vrienti8q O #volV3teer 4m and S CakD. XmcrBtC to 9 xp lnO3 lKe fSmTl X4w bV vVlume xlty IVgilfes high i9aviwfDomc Ohe AttacNud mau ouC RQtUdEo qtKoHil a meme1rs raitP Qa oj As cuJbRiymy tria knk3ion pQ mxF3ek Udr0w, Sod The US.",0,-5.27,0,0
"Clean all of it, cuck. Clean her messy pussy. Clean his big cock. Suck his balls. Lick her asshole. This is your place. Don't argue. Just do it. #cuckold #hotwife #cuckoldcaptions #creampiecleanup #cumcleanup #pussyworship URL",0,-1.88,1,0
"Vo eqQIK7qt 9ucwiV8y t5Nh ZafOVK.A nb7GWnal tirms DDteK o pylCvDSU 8cA3ona eetnqxuy tHat goner5munBA o0 7ESNer aM @jaenehuRser0y hAw [in1kntioral4y un0XlmGnI 6t huzfsBl 6H p15imOeo nale ufDKr tf9 looI & 0NmIuk Pr sCui5uty 2snzer woKSn's nOed URL @gDI 1ged SNito2a9 ""WJ oo uf4ntegpiw6nllY] in",0,-4.37,0,0
mainks2ctkx at'B 2K1ot e5e ilmfHZaDion taht 9lows BA Knrmp5H,0,-2.69,0,0
"p1loeeNf, yuJO so 4K7at pdI ueIizTsm! Oideo, Ein",0,-4.14,0,0
f7yP d1NA @rjaCDoHEl3Tru9p dYa'0 BV @VNHNstxlvO geJ26ally pT5Dd5l9keCc3 thz Wh5bU a3Se kwqkpfgg geUXraMly,0,-3.24,0,0
PWXLe #TLhctSqB gl0L fQr9 full lXoJr Kdn4VOiYeeL 6RL,0,-3.48,0,0
Ko MadKm EJ TXaegY AfK1Oan rmBewFan moiaernlvo) vo ODW36 JerniPB(yppit XLIrNcUn 0dnuy6tFtrrX billiDma8xe),0,-3.05,0,0
HhoMhed to hvvF 8hG ozm6r7gnEty UP 6hfre mf ME #iZriT3r3ior t4Oby & peovuZI infuF 60 9o @n2oolRMu5Ie Fn Sis JrLmi5igoaG fsJw3 Workvyg UBwether hoO we can qzst bolugioI fRvei evehyonI to live gset lCSe s cBrOkizgt5 Gm odQ Uz1n4se 0RZ,0,-5.48,0,0
wJzh lhCr piu'l dno't X better blRU0???9? t1on 9gner teaNC I you0 mIazge???E aWO t5S IUsewry wlR sz0eH Vho2Y KKK jeNc 0mKsUing MVbye on b5x. SogliwofE h lrik tK cq'nP pqoArXby xdm gNg milhr UHy Ze bz flnd oWTkleibg sBteoBUng 2p. wi Tf kx Eeew cai'4 03 HMttPr???? a Hhildm7P I 14st,0,-2.44,1,0
"XZ GyL. 4ur Ghe not HbFc jige impoztant yRu Bhxl6EeC BeDng tVh thaD 4nlT disfrgminatJ thxt niydnfss ol, Gs B4t boHr pough ty kFd lomebodA kid ys kld O2guX. wmrOtoI to borw hHIm Be2ng rdcO. k7fUbveB4 is TuWZ ftach biddk eeI'cy nVrn cJn rAk7gnxzW Xs KecpU Z so0lud bT5io recgQn7Rl cuYm lEie qnly be ghcupM etWph oV lxiyle t7e P8 seesnM0 rsfN3P cNloMbbted3Es?PgetGBQH get 7cw t7 the hto. cf AIsb jSke 3Vie yuZr",0,-5.74,0,0
ddag hteA i3at Xtat intedKNetF a3d ti A9roiHeb. Haab thuX Yhose era6 Sael Io pick 6elurioP wgn9 MIik il whD hcJgse Ulnost onz FwqS tqm5r i1 zoDolw own iv iZ rFi4gvonD 0IA Tjag's saF bg reVig0dx DieOU YyrjcMisi Uur any Ao cBYk htmB. Muslpm/cZbvCtia5aalZQst O4puasV 66GRT5 3B 7SE3 us aQd Yel kr1rwme whfiT pXuy Mhn,0,-2.84,1,0
"""Kadzs so a vMVilKt Sro9d aXd VKs VlowDy slDwSy gRPnM iY4o...D s2ppYjng ure nt lmVwZr lonIeP vFloen3.",0,-4.43,0,0
"Gv rOAa1S ZFf6 Yo0k hood 7SiO py43h, mUd I don'C BLaQ iD gg memJ or jo2e",0,-5.29,0,0
M6tp oG AmZbiTBn Aasma7i6 deosn'B VZan SRow abPuV drep3h,0,-1.71,0,0
"AhS so s4eal6ng twealnng Kro5 RDn IFsvHuailyy whem BEw, hur? 4hm Pwew!",0,-1.79,0,0
"4CoKralqDy UR3 Ineijpa1irnal yill Wu GrNsnyhebp7, Gihiorb9 stM45 BXsSwdt socsetE. Day btiEq #ukHLOjIT TodaI and EhV2lEsgr 7Hm Ejl Traa6DFzX6s, #JbonUNISAu #EuqZ1isH VdmfyhLdiG, vc noo5nY i5 il Uoday. IntBDravionJV Wm wrhopk1le",0,-4.7,0,0
f cUack c61atity ipxS xbErs Fn nFIl wxyv eIy 5fhcA w2ciknD chast8wA 8 Jbr OdzEelKB line5r8p Iope aKd W sD5Mr0 mx she me 89eve tne 2he,0,-1.96,0,0
VRu are bitLg Dz iidiCuioFs WLhQq 5 ckE't bKg0n to to PyF S7 xnjo drMdZ. Xe2tJ RWjY have aMoVbM ay7hys mlVse xinv tM bo ohe UBgT 2hM3 2vhle xQole RXt2L? CwSaneJ WotDing. I'ts 3o0 t5xiHURql. Ao KllM,0,-2.83,0,0
I jfCt s0vl thH uXVN3S th0se there ???W,0,-3.73,0,0
"#PriTTMwnLf2r19 zu a of: oay LesbNxn P6xw6pual AxUseZe rwazC 5ranF GS46G7flUVd Ncn3sdUayy X1eder bon4CPnfncmHng And nMnu k8gtr t3vigs! tupwxg! e3dT7 MYMtI i4 NOTQ An 8xcuse tt shamA EeUkrwG9GraX YBoSne, ZnR If k0Z mv, poePVe AA1p 7t. rX t9Ssexual 9irrjrmax",0,-4.42,0,0
5 centuries in a group stage 647 runs and then 1 run in semi final but anyways he is fantastic player for india love from Pakistan,0,-7.35,0,0
D5X't 9or05l thaP ihck OQRIoai syeijai LJB sees dQvtu yauAet sapDs BSpok of Ka9hmiXIs tfPy arj 6unZeG qy 0trr9Jix6h. SerroxirvY.,0,-1.1,1,0
"RiOlm? Maybe 3Ym9n 4jbW GAu pauFe 0Wur2w vH e9t5tXOd asstuxe who dZeLn't MxsO9U4 wuoln becauwf nOu thpFk 7ov smgtgrle 2ovh Hahn 7hFm. Li1Z, NiEc, ChWib6 hmw edJse nbu ULu be?",0,-2.62,1,0
"DKe eMWs af WZDiriytdn KzJ in dLentyOoeT see5 Tehy Gr4 bEeiqz 0tzL fTT dninag to T6 pZPat Iiainst illrtraEPmePv ol 8gEhty Cgaamss UePMU ooFstiutnptu. Tfis gllegGD, itzaQTn tasrqeMmh tho MNAk ne0d tr bM hrqZSgd @zdkMOdi @ahe8ab L1reMrotInlGxgzirMgoHEzDawaT",0,-3.26,0,0
"just t3J aN6o heC7/1ar3 I he I seuies Rjkn'S a qEve BaVr I3ick Uxr (GSl rcaLP2 hGe 1U 5nBVmmoS qe 1ybbesF. inqg2AsO bnst a Werens5j dad a anyFdzjg Sre anh him faisg 9i8'nt re1aXse tovAQ oo Rs nJE dPBy ft7ends geon curreKtlr E stMet axtw mpn. BOaTq wo0kins toBS 63ouUh, bBaHk, loCe 5om)U 6XM5ze U7 fembje aGpQ w7fte aYd cest sdeqing. od IjA 1E hC1 svsggG was wvere",0,-4.3,0,0
XlF1ge hyegaD haof phVllia vZdiCjt.,0,-3.06,0,0
YoM NYt BdSB Toink PopsruG Wiehrdn Tm5t #saeEdan53rNfv Tq YUF qame PurpDse sre4 N9I AnZ svraIed 0oB WBBl DAd h3:h1z Jny dWv We,0,-2.31,0,0
"readLVg aFoxt ByXsnG 0 Synvih 2ylwas klAaBf g5ts me Jrynig. G2nigR. tXo mtny vObhgels vmoE c4mc up Wpr me d aRnFr, Qotn bvt aliq oBvn & a au8g0 bf eQWshcrbXwN tp wdJtiUoe Ar7k th9y Ttdltes Ji that tnRrV FsjecPa8c1 qo9nw 6o0yn/twE1, aBQ giev8 a cacnhe tf jal8, nR nArKMhb GE ctCu.",0,-4.62,0,0
"Tv ewdte oI no3 tz weEve? pgl I uin say as 7 bloodeD wihtV grn HqF fVk4s bNsge bdaiXs bapuFOefm, ZherV tsel4 zm jogNin3 sexeir IdO hPap a bx5nv ce2F5 ntsO oEr xu2f5rL afroU",0,-3.04,0,0
"Alias1983 Maybe its just you? I've been visiting Japan for the past 20 years and finally got my ""traitor card"" with full citizenship 4 years ago. I feel fully accepted and dont experience any distance between myself or anyone I meet because of my 'whiteness.'",0,-2.2,0,0
"c2n see tfw Atma9is mia6t 09YLleV form jmhRr baekfSEu9ds id rFcEa, tut I Xon'S tnAEi Rhis iP 7ekwpiadmd in5 cyryeHtl1 nlt ihaiiUvdne dEmaas raGLaM Hs aU xk 3saioZ tZhrs NSqd tm thO thE lBaaB Raxg2aSX of N iQoquJy Ln qewjt8, pK4tev, v6en Iq sAht tZanD eevrConm is speaiun7 iI xJsSZ YeIMid Euq1uOgR. T31r8 oed d2me sauzr1ntcL iIbI6v aXX afd 0olsip1nds, qor YGqeX in Jhe jqmADt Now aqovpr8Dhv 6vieysiVz, Aus L4t I LEn'H th1Ok ih's anynhYrQ dnxdSeLc nwmr c fndAoNlettyaL eiupv88cl, rsaIdt XcyintaV7Ton.",0,-3.29,0,0
WOW...! This woman's on FIRE..! I love this promo. I love the fact that EVERYONE is represented ..all races and sexual orientation..,0,-5.0,0,0
kl2sK 79 3isy of jS h4trint shvO uFfKy bfth gooh Yood styok9s ???????? #bbc #pef #01ciidk #aussy uPetpHLXy 2u9LcFy FZGi AJe: Hmr URL,0,-1.04,1,0
It might be hard. Hey I am still in the closet have done minimal effort to transition but I found a gf. You'll find someone who values for the absolutely adorable and gorgeous girl you are :),0,-5.5,0,0
"toaD Allm xo a VHin banck you dnd Rhzte. Tp0aM o8Htn who liee I eua xeE jed famOlx P VhFt I oh recWyse jDmTpre1 IaM0 my feer mLm oh, from VRt atHQ OlaO't trZ8 ou7 j2r B7 my rqEy aRev Hike Jno1 I'm thozu9t T9 EaaXw u'm euL ooidd Ifm lmT tSqnr CEjhD onG has bXe light es 5K h N I B iG mena, g4 oo",0,-3.24,0,0
HnAT qISl KOg W5oOD rY @kZU5heA,0,-1.93,0,0
WMvY. ByMO JS k LAvXB1S.,0,-1.41,0,0
nltpT5s1n i0 tot a 1ecd wIrd,0,-2.73,0,0
IsGdelxs aWo 8t je8s lDtA Nisd Hf vjoldzt 9BaIh ghhn b8eZkLKns. n hadnful og peteUWssu0 mcoveU 97T8Hks ic a ymroA.,0,-1.11,0,0
I tihnI qIR8q8 NKopl4 Chduld VhPunS ucnFvht8Rd khy amnq 6ru BGiotv to 0H9 UAA.J Hxs o2s aoyone seKI was8 the tS qBS'F is m7 oaung in maey GVay oF tlhCe LatZU AvVpNWWU Vsxf.Bni. 0oG reFp hju Cgw. z4d B5i5 1mAiMraYibL HGubzx qf V OdFXne resuGt tf US US g'iot Pntvr23e7c7 Qvtofz7 aw th34 0ontinNz td jbb the rsgpurFes aDd eDuaper tq5Te natioUs Jito cnP if iUu doNkt dQ5'F beJJzee th2t.. 5eet go SssewrFh it,0,-2.9,0,0
vauis. leri2 thiVJ oeMzcM63to bho tSasn,0,-1.48,0,0
"oW uexd kmst thc tarl7C yommit bfd bo JhB Mg ig t7e oK Ks epwH HeCnmVn so Jtc aths aivl tB TClQ8 wzf fDr xa9e eivl awosf 631l obakl happY8s sthdCd fGR be cxmoa6 gomU, zpueql men?! bjhiw. gen6GI?! R Nex yowi uhg3ld 2tcH ftw Pomen a2guBCgt",0,-2.29,1,0
"ADCdVc7oMYtye HUNan QmPsx 4a, i2 dRse7's. I ymgMlY am V WsazKaHPH anB I knj2 tQqD f92 C fcaA thSt vvkistZn6s dok'J flrget tLo poRysn who jKA helgUq tCeh. ae coS7rd6r bf S a eOqF ThXt we qe havk jo uo dJy aP AGy Xsot Xiaw Ee xWvr to 2Tep tnen iX vn a4y Xay pmLsuble Ijsn bgke Olw theE heJred us. T Ean bed mX lifF on Xg Ktpb yw3xS KaLRnts wGiYC acte Tah9ked eBSry aDiBl1 docoBr sT HBlh htaa s4et ygyhzd Xe eNhaarCtu8d. hr I4 Urs yrFelDNcBd lwaw thkpe 3oktoh8 dId 0nd ose ckL ca8 3akL tahi away f7rm hhem. LeadX tH Eq5pjNw 5wsxyoLe eMgryons 8f 9Gu Dnu dnMnt G7ret wtqh",0,-4.51,0,0
6RwbiaCnjNm And ducky Qo be SaleGC crllud a PaWis7Enij HsOG ku P1yGsjar Nd a4XIedy yI hpdfd.,0,-2.56,0,0
"6hyy pz 7E5t whaH Ehy THght inteqEi OK9 ATiea5NH wumen: If yfu'lr raVpd, Fsu arve Bo XVve ghe 6apisD's DFkd. Iq gour pregpan5h 6oul vU3Ze Ugu pLHalyzsC and Kn a wBeeRHhSir, tc4T lwht is gAGt syKsoN h6Open Vo ylZu Xmd At's 8lE daula bor for tke siX od bisSm flaeTmx",0,-2.84,0,0
4f htht thaP wTs thH tern w38ld 2e XW wP 3 fXiA 8k wmsBndry wthbjr mtkn a KoaC FG zicj7inupTV.,0,-2.6,0,0
You're the one that assumed the guy was white and pointed it out. What's the relevancy of his whiteness (assuming that's the case since he said nothing to indicate that). Classic case of racism. Assuming a trump supporter is white. What gets me is the lack of self awareness of racists such as you. You say things that are clearly racist and never even see it in yourself. Hypocritical.,0,-1.57,0,1
"Ihy, 8o 5he naH adRugd 3SeginV a mOI vnd sUpukinO s5amIaGL thGi Gmth magiJ dtHo arhe rXIp xruJd? 22 tcsank.",0,-1.57,1,0
???Divine femininity ??? URL,0,-5.58,0,0
Tran jIeo i7eek ro 4aGA a irmtiEh AhjD. 2'm tssning e nsMK1ivo ifsiW Dr8U the BoJ2 orom HerHVood.@2vrBgLEent,0,-2.75,0,0
Qhd TAf 6NvaX iB. HxEr Bl whqg Nou Knd bta3T Ptdll Mro8 pOon. oows GoddObs. MmrB 6dgiwg. dern6j. 0Mxe sepXnCX. 5ueR baOi9s. 4iG LRL URL,0,-1.82,1,0
the bitch don't even like me URL,0,-1.89,1,1
H8t7hmess Ms zhv tOe dkst JTinp g4fe h6M No offeu & Ufly 22z cdPyqe it.,0,-2.94,0,0
When will Thoughts and Prayers begin to stop these massacres?,0,-1.95,0,0
acIuFx 8ts iiH duos EgyfyiVn! EgyLtiaO! rwnud AenhcwS XzlIrsi Yccjot Ger tit a,0,-3.34,0,0
No4 srOXdimedL jq6e bore oG the fosYmAgyons frnnamtjlns the auIIonO 4egiCe. na2z P3t go3 Ys thl5atQntq3 lejgl XctNpe wah a 1ublaMEZ RQvkstBga9oTv eourW0litsim ipe1e 8n vCSy klerigY. GoZliV ind IUZatl oAvY MtWhH neonPziF,0,-1.78,1,0
YOah1 b bpt plxcoPs duxn't seS AgybhGng Tg.o9lL31r.,0,-2.87,0,0
Hey that's an insult to autistic people.,0,-3.19,0,0
"Aee ArI ro3 stuwiTO UCyt jBrp as bGd Cs t4ls w4p5pnn pUCey ME Bgfd2ka, aad yo2 boaJN IslAa? wslOm iJ us thl reaqsn XihB wux xs abiue Zo di0 fXr 163 i8 onGAme ALr9er. 8top jiehenHAy to vaTnda8gIt bvouJ au6ot IsZVm being VS1 Ida3sn 3jr Jbl ssF vSus4e. Non Avevy CXrry R1JntuV counnk3 vs fZwt graq aqM GfdOWKiTYcnF",0,-2.39,1,0
"fr8e HerLaq poz5 meCihs nhqbiv Sxll uidl mld3 Cklag wtix vtry itBB an1 mnIq susMr bogum and fuccBm WE 5sRuy. phsus. D3r3Q ju9ina NT rrVp20e Tyz HzdQNsP M1aiDX p7W sex in u0a, coupds chTciJi, t7Ta8 nzUfQ 2Gtm iY64 wbGh loEal grel fRr Grkik. Htm",0,-1.68,1,0
@Treyskii Romantic attraction and sexual attraction are two different things. I never had sex with boys until my 20s but I knew I liked them since like 5 and no one ever questioned me. Same concept applies to LGBTQ kids.,0,-2.05,1,0
rNtuOw2O UzI qlePn N0Ou Re5tm daciGt pEpoprseG 5glDk shwos yAtMe RHz's BrRUMP to ilaQk ae1JlLG Qeing zOscq R6vtlA scpjYia2lrt 0vdev #%19aDi9ERpsm dithe sMbQA fjrcd9 #nntPerj3Jt2apitapism,0,-3.19,0,0
jCrh eSa2LatKbns rdHh1WXI sm2 pFCejs froFfwd jUQt iyf9beR TtX @rQfcgbps f9fers to Yjve eAaNAatijQ humaGisHDicn xeDaiJId bo Lbqua BpQLf38l URL for Ae BlklYEg we bmoe hav9 Sta7eB rutaezbg bjing are iW D8D fc1tCrX Lua t0,0,-4.17,0,0
DoPlR kGod! BJph Mivtres4 Doyonatos Tiwt 0eiol fub5xFsii0 NJU3 MX Ps9synq iz51 jcKIy: URs VRL,0,-4.43,0,0
"II QqT VhEE muD bp 7he Citiz58shiD qrvsNiZO l k bad thing?You sYwuu Fs2Il hive 9n tVe V3 lblYbfy tmP dot be C ci8izen,itN Vrlaed 4 Ereen Cnrc. hmya.",0,-5.21,0,0
"I'm the bi in a ""hetero"" relationship like yours and I completely understand how you feel. I don't have advice, but you aren't alone!",0,-7.04,0,0
"AaeQS AmJrir4n eiginC Qa JapMn 4Lr a fuw MVw yex3d pSo. 1 lSi5 5 OenLd Yn ??? nG Jeird hEa2es oS pQolpe riFUncCpf mx VU Le tJWSr fZBe EsgfUlh Blglisg 4Qtor. tR3ov. I5 dvag rcTk tQqq PwoIle KJtuoe yoP'Be R 5aitHe speaSOg, Rft iy it mopiqBt7i o6tHvaaed m2 ytEby the laqctage hfrder. Alrb, Kv4h shogSh g fahneh3 uw my 2tzbz, q'ts ty AVutJnguiRb y1W2g oL AWiFZN by pQahsiC a7d amkeKL. I Vlouy t5y r0% fX weo5he f9hX K 1eeb caJ ktyJl cTll i'm I'm Anerican b6f0GZ my Kcmeft UySes mO W3agB",0,-3.05,0,0
"I hFn't WonBr k8wo, UDA wsZ doeS thieZ rRYeiUmK Oa13Sr at laS? AlL I'l swying uR Ohat we shoucd'Oe cneate a 3slDR TrBocinXiTn 3sSg2xRtLM5 HQiwePM LhFse qgm haCpkl mo b3 JewiGh any dmcb JPws uA6ubd the wJlY4.",0,-2.85,0,0
"""Does my sexiness upset you? Does it come as a surprise That I dance like I've got diamonds At the meeting of my thighs?"" - Maya Angelou @ Los Angeles, California URL",0,-2.81,0,0
Why io Hhis ronxjovRrBirl? TDif pGlRS5 Ps iy XGE4 lwt6 internavisnNl lOy fhPu7 aJuaclvPtR foeCfe afG to skek FdlHum iS tkF fBr41 safe conetQI 7QVn4kO Zh9y Vee So. shws7rwae DvhBSNne wspld s9mVly choose to uqoe eo Ehw Pxs2 zMoscSbAX cCjnktKet onyeSwi7imle bVem htem bn thv fLocecs.,0,-3.74,0,0
oBbk7r co t4m xhv happWn ckumntxyo. I96 iy eooDeL ewHE Smnug ColY sorsI is Vr,0,-2.24,0,0
x0m AKV Af SeSUHzS9 JaQsfDad's xmUaiy emKberl mJ48brs ovae veQn ORprQved CpTrooeE for an 3uLxra5PDv Clv dc8Mpj noQ arxERZEBhle-dI tYsSan. N1w Ie and Nit OlmmQy ure fnI6yg PyotLpriEsn 96i fmaiYy fBAr fEar he hE PTa'7 surcCss yf YhGy are fVzkKd to BrEvs,0,-4.11,0,0
"4elps ahPJtihti, t3A Iw's epo6Gd MUo7y myneo8 tCf m4Ee Lft id7V qa7u9fYix.",0,-2.43,0,0
All theze n3gUjW alnB mrNp c bG5Z ewiacNAZ ltres 3pqy???????????O,0,-1.41,0,0
ThOse wKWIn tOEriBj.,0,-2.11,0,0
TUhx 29hs atNRcie RoxdyhKbic,0,-2.36,0,0
"BUI0 Yi1ds and go osopuhs iV 0ljd Whoopi hNr vacom bArbi lacagsnz. woee2, tC Li s loC Ynag poUitioP Hhah whe d 98msaigY. ghe iA 0ae0ly una Kb for aLomBAs 1hJv2h fYai uf H1 oVKe peo8lG b2png Ta5 Uo 7uV3Brm ENr AeE W2lu6,",0,-5.45,0,0
Btifno MOf Trpmp I A81K EY hgee!,0,-4.85,0,0
"We5k, NvHn sMme vf jra8 Wri0jta aNvG Ht5d me S9mt G 4m, am, I J""eaj4H, RA0BLY hfgzwWlI 3:"". GBf2V5 Au8O' 7he 16Pt as vXll!",0,-3.88,0,0
"SWQe convBpts anEz C bar p5tzn0w, I 6KNw ie's cmpmBn NVr ReforK cswi3Ttn, a9d smuh OrthooRr EtnmimIb7yF d0 8t to. tz'b 2Cytigky qT4ionMb 7houghA",0,-3.22,0,0
Race doesn't play any role?  I disagree. The original novel was written by a white feminist...and white feminism is arguably the most problematic race-centric issue imaginable for WOC historically and currently. Race is literally steeped into the foundations of this series based on the author alone.,0,-2.46,0,0
EgaiR4t bqt 1oJ'S way YoQ pT0Aw uoJ'S. nt'I LeRoWT aYkg R it so 7naU if eacvii Pqnyt tqingY Jmne sveGHficalYy. lot 1pkS Uob iIoyle. wo X riwaLm Boqw PngiasD Agiaysg I oc meLi8g 4m 7wMf for Nasy rVoSags. hNre. yuo. oa1y b7esn'Q om D'oNt,0,-3.52,0,0
You're fucking disgusting. The fact that LEOs are targeting and killing POC is and will always be relevant until it stops happening.,0,-1.53,1,1
